,Authors,Title,Year,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Use in Thesis,Priority,Use for Thesis,DOI Link
0,"Bertin, Ingrid; Mesnil, Romain; Jaeger, Jean-Marc; Feraille, Adélaïde; Le Roy, Robert",A BIM-Based Framework and Databank for Reusing Load-Bearing Structural Elements,,10.3390/su12083147,,,,,,,2.0,Integration of MP in BIM (?) - look at method and is it for new or existing buildings? ,
1,"Bertin I., Mesnil R., Jaeger J.-M., Feraille A., Le Roy R.",A BIM-based framework and databank for reusing load-bearing structural elements,2020.0,10.3390/SU12083147,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084547037&doi=10.3390%2fSU12083147&partnerID=40&md5=baeed248a596eaed5814397fae95138e,"In a context of intense environmental pressure where the construction sector has the greatest impact on several indicators, the reuse of load-bearing elements is the most promising by avoiding the production of waste, preserving natural resources and reducing greenhouse gas emissions by decreasing embodied energy. This study proposes a methodology based on a chain of tools to enable structural engineers to anticipate future reuse. This methodology describes the design of reversible assemblies, the addition of complementary information in the building information modeling (BIM), reinforced traceability, and the development of a material bank. At the same time, controlling the environmental impacts of reuse is planned by carrying out a life cycle assessment (LCA) at all stages of the project. Two scenarios for reuse design are applied with the toolchain proposed. A. ""design from a stock"" scenario, which leads to 100% of elements being reused, using only elements from stock. B. ""design with a stock"" scenario, which seeks to integrate as many reused elements available in the stock as possible. The case study of a high-rise building deconstructed to rebuild a medium-rise building demonstrated that the developed toolchain allowed the inclusion of all reuse elements in a new structural calculation model. © 2020 by the authors.",Building circular economy; Building information modeling (BIM); Design for reuse; Embodied energy; Greenhouse gas emissions; Life cycle assessment (LCA); Reuse of materials; Sustainable construction,bearing capacity; building construction; database; design method; greenhouse gas; life cycle analysis; loading test; structural analysis,Article,,2.0,Reuse of structural/ load bearing elements and BIM,
2,"Zhao, Qin; Li, Yuchao; Hei, Xinhong; Yang, Mingsong",A Graph-Based Method for IFC Data Merging,,10.1155/2020/8782740,,,,,,,3.0,Look at conclusion. Pro for using GraphBased DB? ,
3,"Kedir, Firehiwot; Bucher, David F.; Hall, Daniel M.",A Proposed Material Passport Ontology to Enable Circularity for Industrialized Construction,,10.35490/EC3.2021.159,,,,,,,2.0,Ontologies and Material Passports,
4,"Rezgui Y., Meziane F.",A Web Services Implementation of a User-Centered Knowledge Management Platform for the Construction Industry,2005.0,10.4018/jiit.2005100101,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85001759497&doi=10.4018%2fjiit.2005100101&partnerID=40&md5=ad34831f93ee9de6867ead24233722ae,"The research described in this paper aims at specifying and developing an open model-based infrastructure and a set of tools that promote consistent knowledge management within collaborative environments in the construction sector. The specified solution emerged from a comprehensive analysis of the business and information/knowledge management practices of four construction organizations and makes use of a construction-specific ontology for specifying adaptive mechanisms that can organize documents according to their content and interdependencies while maintaining their overall consistency. The proposed Web-based infrastructure includes services allowing the creation, capture, indexing, retrieval, and dissemination of knowledge. It also promotes the integration of third-party services, including proprietary and legacy tools. The Web-services model is used as the underlying middleware technology that supports the solution. The research is sponsored by the European Commission under the Framework V Programme (Information Society and Technology). © 2005, IGI Global. All rights reserved.",Inernet-based services; information engineering; knowledge management; knowledge-based systems,,Article,,3.0,"Formalization of knowledge, Ontologies for Construction Industry",
5,"Guven, Gursans; Arceo, Aldrick; Bennett, Allison; Tham, Melanie; Olanrewaju, Bolaji; McGrail, Molly; Isin, Kaan; Olson, Alexander W.; Saxe, Shoshanna",A construction classification system database for understanding resource use in building construction,,10.1038/s41597-022-01141-8,,,,,,,1.0,Ontology UniFormat and MasterFormat; Dataset of building material data structure,
6,"Sanchez, Benjamin; Rausch, Christopher; Haas, Carl; Hartmann, Timo",A framework for BIM-based disassembly models to support reuse of building components,,10.1016/j.resconrec.2021.105825,,,,,,,3.0,Look at conclusion.,
7,"Ismail, A.; Scherer, R.J.",A graph-based approach for management and linking of BIM models with further AEC domain models,,,,,,,,,1.0,GraphDB and link to other DBs and models ,
8,"Cao, Jianpeng; Bucher, David F.; Hall, Daniel M.; Eggers, Mike",A graph-based approach for module library development in industrialized construction,,10.1016/j.compind.2022.103659,,,,,,,2.0,Look at GraphDatabase development. What has been used and why? ,
9,Geerts; Ghyoot; Naval,A guide for facilitating the integration of reclaimed building materials in large-scale projects and public tenders,,,,,,,,,3.0,Determine which information are needed to use reclaimed building elements; focus on first section. ,
