Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Dong S., Ding S., Han B., Ou J.","55839553900;56386599100;35743324500;57211125450;","Multifunctional Super-Fine Stainless Wires Reinforced UHPC for Smart Prefabricated Structures",2023,"Lecture Notes in Civil Engineering","253 LNCE",,,"794","804",,,"10.1007/978-3-031-07254-3_80","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134358615&doi=10.1007%2f978-3-031-07254-3_80&partnerID=40&md5=58ba3ce72f1e7a3afc6bf0a932d79ebb","School of Transportation and Logistics, Dalian University of Technology, Dalian, China; School of Civil and Environmental Engineering, Harbin University of Technology, Shenzhen, China; School of Civil Engineering, Dalian University of Technology, Dalian, China","Dong, S., School of Transportation and Logistics, Dalian University of Technology, Dalian, China; Ding, S., School of Civil and Environmental Engineering, Harbin University of Technology, Shenzhen, China; Han, B., School of Civil Engineering, Dalian University of Technology, Dalian, China; Ou, J., School of Civil Engineering, Dalian University of Technology, Dalian, China","Owing to their excellent mechanical, electrical, thermal, electromagnetic characteristics, micro diameter and high aspect ratio, super-fine stainless wires (SSWs) can form widely-distributed reinforcing and conductive network in ultra-high performance concrete (UHPC) at low dosage, thus endowing UHPC with multifunctional properties including enhanced mechanical performances and durability as well as smart property. In this paper, the mechanical, electrically conductive, and self-sensing performances of SSWs reinforced UHPC were investigated. The modification mechanisms of SSWs to UHPC were revealed by microstructure, electrochemical impedance spectroscopy and intrinsically electrical conductivity analysis. The results show that the 1.5 vol. % of SSWs can increase the flexural strength, flexural toughness of UHPC unnotched beams and equivalent flexural strength of UHPC notched beams by 103.2%, 146.5% and 80.0% respectively. Meanwhile, the dynamic impact toughness and dissipate energy of SSWs reinforced UHPC with the strain rate ranging from 94 /s to 926 /s are increased by 43.5% and 58.2%, respectively. The electrical resistivity is reduced by six orders of magnitudes and the electrochemical impedance spectroscopy only shows small flat arcs in the first quadrant in UHPC containing 0.5 vol.% of SSWs in diameter of 20 μm. The gauge factor of UHPC reinforced with SSWs in diameter of 8 μm can reach up to 22.5, 94.9 and 43.6 under cyclic compression, monotonic compression and flexure, respectively. The microstructure analysis indicates that the modification effect of SSWs on UHPC results from the extensive network of SSWs in UHPC, the inhibition on micro-cracks propagation and the pull-out and stripping of SSWs under loading. SSWs reinforced UHPC has great potential for developing pre-cast structural elements or cast-in-place joints for prefabricated structures, which will achieve the monitoring for structural key positions and can be efficiently used for health monitoring and safety assessment of prefabricated structures driven by the sensing information of multifunctional concrete. This will further avoid the issue concerning high cost of large scale application of multifunctional concrete. In addition, the smart pre-cast structural elements can be reusable and replaceable. Therefore, developing SSWs reinforced UHPC for prefabricated structures can make infrastructures safer, more durable and sustainable. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Multifunction; Prefabricated structures; Smart; Super-fine stainless wire; UHPC","Aspect ratio; Bending strength; Computer software reusability; Concrete buildings; Durability; Electric conductivity; Electric impedance; Electrochemical impedance spectroscopy; High performance concrete; Microstructure; Reinforcement; Software testing; Spectrum analysis; Strain rate; Strengthening (metal); Electrochemical-impedance spectroscopies; Electromagnetic characteristic; Mechanical; Multi-functions; Pre-cast; Prefabricated structures; Smart; Structural elements; Super-fine stainless wire; Thermal; Wire",Conference Paper,"Final","",Scopus,2-s2.0-85134358615
"Shulman S., Loss C.","57773529000;37098919100;","Performance of a Grout-Reinforced Hybrid Steel-Timber Shear Connection for Mass Timber Buildings",2023,"Lecture Notes in Civil Engineering","241",,,"341","352",,,"10.1007/978-981-19-0511-7_29","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133213438&doi=10.1007%2f978-981-19-0511-7_29&partnerID=40&md5=2e161496cc71b0fc1445215856dc66d7","Sustainable Engineered Structural Solutions Laboratory, Department of Wood Science, University of British Columbia, Vancouver, BC, Canada","Shulman, S., Sustainable Engineered Structural Solutions Laboratory, Department of Wood Science, University of British Columbia, Vancouver, BC, Canada; Loss, C., Sustainable Engineered Structural Solutions Laboratory, Department of Wood Science, University of British Columbia, Vancouver, BC, Canada","Mass timber has proven to be a sustainable alternative to steel and concrete and its use in construction has increased significantly in the last decade. With building codes relaxing height limitations, there is a need for novel connection solutions for the next generation of tall timber buildings. There is also a need to ensure that mass timber products are being used responsibly and sustainably, with deconstruction and reuse being identified as important factors in this pursuit. This paper presents and discusses a new hybrid shear connection for mass timber buildings that allows for easy construction, deconstruction, and reuse of the structural elements. The connection consists of a fully threaded steel rod embedded into a CLT panel and reinforced with a layer of epoxy-based grout. The structural performance of shear connections with varying rod diameter and steel strength-grade, grout thickness, and CLT grade is analyzed. An insight into the behaviour under quasi-static monotonic incremental loads is given based on a comprehensive experimental campaign, with a total of 84 push-out tests performed on squared CLT specimens. Experiments show that strong and stiff behaviour can be achieved and that the yield point is clearly identifiable, supporting optimum capacity design strategies. This allows for the connection to be protected from damage and therefore reusable. Observed failure modes suggest that load-carrying capacity and stiffness models, as per common wood bolted connections, can be developed. This high-performance shear connection has great potential for deconstruction and reuse and supports prefabricated hybrid CLT-based structural solutions for large-scale building construction. © 2023, Canadian Society for Civil Engineering.",,"Building codes; Concrete construction; Grouting; Mortar; Reinforcement; Structural analysis; Wooden buildings; Epoxy-based; Performance; Reuse; Shear connections; Steel rod; Steel strength; Structural elements; Structural performance; Timber buildings; Timber products; Timber",Conference Paper,"Final","",Scopus,2-s2.0-85133213438
"Schummer F., Hyba M.","57194469384;57425660600;","An approach for system analysis with model-based systems engineering and graph data engineering",2022,"Data-Centric Engineering","3","8","e33","","",,,"10.1017/dce.2022.33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142134296&doi=10.1017%2fdce.2022.33&partnerID=40&md5=9ab80da951846de8497204a097b65906","Chair of Astronautics, Technical University of Munich, Boltzmannstr 15, Bavaria, Garching, 85748, Germany","Schummer, F., Chair of Astronautics, Technical University of Munich, Boltzmannstr 15, Bavaria, Garching, 85748, Germany; Hyba, M., Chair of Astronautics, Technical University of Munich, Boltzmannstr 15, Bavaria, Garching, 85748, Germany","Model-based systems engineering (MBSE) aims at creating a model of a system under development, covering the complete system with a level of detail that allows to define and understand its behavior and enables to define any interface and work package based on the model. Once the model is established, further benefits can be reaped, such as the analysis of complex technical correlations within the system. Various insights can be gained by displaying the model as a formal graph and querying it. To enable such queries, a graph schema is necessary, which allows to transfer the model into a graph database. In the course of this paper, we discuss the design of a graph schema and MBSE modeling approach, enabling deep going system analysis and anomaly resolution in complex embedded systems with a focus on testing and anomaly resolution. The schema and modeling approach are designed to answer questions such as What happens if there is an electrical short in a component? Which other components are now offline and which data cannot be gathered anymore? If a component becomes unresponsive, which alternative routes can be established to obtain data processed by it. We build on the use case of qualification and operations of a small spacecraft. Structural elements of the MBSE model are transferred to a graph database where analyses are conducted on the system. The schema is implemented by means of an adapter for MagicDraw to Neo4J. A selection of complex analyses is shown in the example of the MOVE-II space mission. ©","Anomaly resolution; graph databases; MBSE; SysML; SysML graph schema","Curricula; Embedded systems; Query languages; Query processing; Reusability; Systems analysis; Systems engineering; Anomaly resolution; Data engineering; Graph data; Graph database; Model-based system engineerings; Modeling approach; SysML; SysML graph schema; Systems engineering data; Systems engineering model; Graph Databases",Article,"Final","",Scopus,2-s2.0-85142134296
"Dai X., Yang J., Lam D., Sheehan T., Zhou K.","36730858000;57251405700;7201749620;55357730300;56274217600;","Experiment and numerical modelling of a demountable steel connection system for reuse",2022,"Journal of Constructional Steel Research","198",,"107534","","",,,"10.1016/j.jcsr.2022.107534","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137171907&doi=10.1016%2fj.jcsr.2022.107534&partnerID=40&md5=08472ef350a54dbee1218ab345c4753f","Faculty of Engineering and Informatics, University of Bradford, Richmond Road, Bradford, BD71DP, United Kingdom","Dai, X., Faculty of Engineering and Informatics, University of Bradford, Richmond Road, Bradford, BD71DP, United Kingdom; Yang, J., Faculty of Engineering and Informatics, University of Bradford, Richmond Road, Bradford, BD71DP, United Kingdom; Lam, D., Faculty of Engineering and Informatics, University of Bradford, Richmond Road, Bradford, BD71DP, United Kingdom; Sheehan, T., Faculty of Engineering and Informatics, University of Bradford, Richmond Road, Bradford, BD71DP, United Kingdom; Zhou, K., Faculty of Engineering and Informatics, University of Bradford, Richmond Road, Bradford, BD71DP, United Kingdom","Currently, steel reuse is only a marginal practice. To facilitate deconstruction and efficient reuse of steel components, an innovative connection system was proposed. This system adopts a ‘Block Shear Connector (BSC)’ that allows beam length to be standardised and suitable for a wide range of different sizes of the supporting members within the same planning grid. This paper presents the experimental and numerical studies of a beam-to-beam connection using BSCs. The BSC used was made from a standard universal HE / UC section and was bolted to the beams by using partial depth end plates. The experimental results provided the shear resistance, moment-rotation, failure behaviour, demountability and reusability of the steel components. Further numerical simulation conducted investigated the effect of some key parameters (steel strength, thickness of BSC web, thickness of BSC flange, initial bolt stress) on the behaviour of the connections. The results obtained highlighted the demountability of this innovative bolted connection system and the reusability of structural components. © 2022 The Authors","Block shear connector; Demountable; Experimental study; Finite element modelling; Standardisation; Steel reuse","Bolts; Finite element method; Numerical models; Standardization; Block shear; Block shear connector; Demountable; Element models; Experimental study; Finite element modeling; Reuse; Shear connector; Steel components; Steel reuse; Reusability",Article,"Final","",Scopus,2-s2.0-85137171907
"Huang X., Tabkhi A.R., Sadeghian V., Kwon O.-S.","56480873800;57742836800;56748001300;56459431700;","Impact of loading rate during hybrid simulation on seismic response of steel structures",2022,"Earthquake Engineering and Structural Dynamics","51","12",,"2813","2836",,,"10.1002/eqe.3703","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132025640&doi=10.1002%2feqe.3703&partnerID=40&md5=cfa2e2d54bc42c63fc98d3dc08424184","Department of Civil & Mineral Engineering, University of Toronto, Toronto, Canada; Department of Civil & Environmental Engineering, Carleton University, Ottawa, Canada","Huang, X., Department of Civil & Mineral Engineering, University of Toronto, Toronto, Canada; Tabkhi, A.R., Department of Civil & Environmental Engineering, Carleton University, Ottawa, Canada; Sadeghian, V., Department of Civil & Environmental Engineering, Carleton University, Ottawa, Canada; Kwon, O.-S., Department of Civil & Mineral Engineering, University of Toronto, Toronto, Canada","This study investigates the influence of loading rates on the seismic response of steel structures. A series of coupon tests under typical earthquake-induced loading rates are carried out. In addition to the conventional monotonic tension test, the specimens are also tested under a discontinuous loading protocol that is analogous to the ramp-and-hold scheme employed in the pseudo-dynamic hybrid simulations. The test results are used to develop a uniaxial steel material model to account for the strain rate effect and stress relaxation. The material model facilitates the reuse of existing steel hysteresis models and can be used to model different structural components, such as columns, beams, braces, etc. The material model is then used for a parametric study to evaluate the impact of various loading rates on the global seismic response of a single degree of freedom structural system with different structural periods, and types and intensities of ground motions. It is found that the impact of loading rates is more significant for structures with a period of 0.5 s or less and it thus requires a fast control of the physical specimen in pseudo-dynamic hybrid testing. In addition, the material model is applied to a five-storey buckling restrained braced frame (BRBF) building with a structural period of 1.2 s. It is found that the earthquake-induced loading rates have a minor impact on the global response of the structure. © 2022 John Wiley & Sons Ltd.","loading rate; pseudo-dynamic simulation; seismic analysis; steel material; strain rate effect; stress relaxation","Degrees of freedom (mechanics); Earthquakes; Hysteresis; Steel structures; Strain rate; Stress relaxation; Structural frames; Tensile testing; Coupon tests; Dynamics simulation; Hybrid simulation; Loading rate; Material modeling; Pseudo-dynamic simulation; Pseudo-dynamics; Seismic analysis; Steel materials; Strain rate effect; Seismic response; computer simulation; dynamic response; loading test; seismic response; steel structure; strain rate; structural response",Article,"Final","",Scopus,2-s2.0-85132025640
"Abramczyk N., Drewing S., Panasiuk K., Żuk D.","57387053000;57221734256;57211916064;57225101544;","Application of Statistical Methods to Accurately Assess the Effect of Gamma Aluminum Oxide Nanopowder on the Hardness of Composite Materials with Polyester–Glass Recyclate",2022,"Materials","15","17","5957","","",,,"10.3390/ma15175957","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137921118&doi=10.3390%2fma15175957&partnerID=40&md5=200c8678683f83cdd9f02341a392ce3f","Faculty of Marine Engineering, Gdynia Maritime University, Gdynia, 81225, Poland","Abramczyk, N., Faculty of Marine Engineering, Gdynia Maritime University, Gdynia, 81225, Poland; Drewing, S., Faculty of Marine Engineering, Gdynia Maritime University, Gdynia, 81225, Poland; Panasiuk, K., Faculty of Marine Engineering, Gdynia Maritime University, Gdynia, 81225, Poland; Żuk, D., Faculty of Marine Engineering, Gdynia Maritime University, Gdynia, 81225, Poland","Polymer composites are materials that are used in many industries. Their wide application has a direct impact on the amount of post-production and post-consumer waste. The global problem with recycling, especially of fiber-reinforced polymeric materials, has prompted research into methods of their use. Previous research on composite materials with polyester–glass recyclate showed a decrease in mechanical properties. The construction material should have the highest mechanical properties. Based on the literature, it was found that the use of nanoadditives may have a positive effect on the parameters of the materials. The use of gamma aluminum nanopowder, in a small amount can significantly increase the mechanical properties of composites with polyester–glass recyclate, and thus can affect the application of these materials to structural elements. The article is devoted to the research on the hardness of composite materials with polyester–glass recyclate and gamma aluminum nanopowder. The main goal is to investigate the possibility of using a nanoadditive as a material, increasing the mechanical properties of composites with polyester–glass recyclate, so as to create a recycled material with the highest possible strength parameters. Hardness tests were performed using the Barcol method. For each composite material, 30 measurements were made in order to subject the results to a statistical analysis. Using parametric statistical tests it was shown that the obtained hardness values at the assumed level of statistical significance pv = 0.05 for comparisons for the samples of the reference material (B0) do not differ by chance, while for the comparisons in the configurations of the reference material (B0) with the modified materials, (R10, A2, R10A2) they do not differ by accident. Studies have shown that the addition of 2% gamma aluminum nanopowder slightly lowers the hardness of a pure polyester–glass composite, but the same additive allows the hardness of composite materials to be increased with the addition of glass recyclate. This is of particular importance for the development of the optimal composition of polyester–glass composites with the addition of recyclate, which will have good strength properties and at the same time enable the reuse of composite waste. © 2022 by the authors.","hardness; nanoadditives; nanocomposites; recycling; statistical analysis","Alumina; Aluminum oxide; Fiber reinforced plastics; Glass; Hardness; Nanostructured materials; Statistics; Aluminum nanopowders; Composites material; Gamma aluminum; Glass composites; Nano powders; Nanoadditives; Polymer composite; Properties of composites; Recyclates; Reference material; Recycling",Article,"Final","",Scopus,2-s2.0-85137921118
"Kröhnert H., Itten R., Stucki M.","36185560100;56556963900;36551457000;","Comparing flexible and conventional monolithic building design: Life cycle environmental impact and potential for material circulation",2022,"Building and Environment","222",,"109409","","",,,"10.1016/j.buildenv.2022.109409","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135388116&doi=10.1016%2fj.buildenv.2022.109409&partnerID=40&md5=37b58248e71b165f35c417bc5a12d715","Zurich University of Applied Sciences (ZHAW), Life Sciences and Facility Management, Institute of Natural Resource Sciences, Wadenswil, CH-8820, Switzerland","Kröhnert, H., Zurich University of Applied Sciences (ZHAW), Life Sciences and Facility Management, Institute of Natural Resource Sciences, Wadenswil, CH-8820, Switzerland; Itten, R., Zurich University of Applied Sciences (ZHAW), Life Sciences and Facility Management, Institute of Natural Resource Sciences, Wadenswil, CH-8820, Switzerland; Stucki, M., Zurich University of Applied Sciences (ZHAW), Life Sciences and Facility Management, Institute of Natural Resource Sciences, Wadenswil, CH-8820, Switzerland","Due to severe sustainability problems caused by the built environment, calls for adopting circular economy principles in building design, such as flexibility and reversibility, are increasing. However, there is still a lack of quantitative studies on the corresponding environmental benefits in this regard. In the present study, a life cycle assessment of a multi-storey residential reference building is carried out, comparing a flexible, reversible building design using a load-bearing steel structure and wooden ceiling elements to a conventional, monolithic design based on reinforced concrete. The assessment is carried out on a whole building level, including construction, operation, maintenance, and the end-of-life phase. Both building designs show similar results for a regular life cycle of 60 years without major refurbishment (13 and 14.5 kg CO2-eq/m2 per operational year). When longer building lifetimes are considered, the environmental impact of the reference building per operational year decreases significantly. In this context, flexible building design is advantageous as it facilitates the refurbishment of buildings, while monolithic building design often leads to premature demolition due to low adaptability. Further advantages of reversible building design include the increased potential of materials to be recirculated at the end-of-life stage of a building and in the potential reuse of structural elements. This study shows that 14% of the embodied greenhouse gas emissions of the flexible building can be avoided if the foundation, load-bearing structure and ceiling elements are kept in place for a subsequent building. Such direct reuse leads to a substantially higher environmental value retention than recycling of the same materials. © 2022 The Authors","Circular economy; Comparative LCA; Construction sector; Flexible building design; WBLCA; Whole building LCA","Architectural design; Construction industry; Ecodesign; Environmental impact; Gas emissions; Greenhouse gases; Reinforced concrete; Sustainable development; Building design; Circular economy; Comparative LCA; Construction sectors; End of lives; Flexible building; Flexible building design; Monolithics; WBLCA; Whole building LCA; Life cycle; architectural design; comparative study; construction industry; environmental impact; life cycle analysis; reinforced concrete; steel structure; sustainability",Article,"Final","",Scopus,2-s2.0-85135388116
"Bertin I., Saadé M., Le Roy R., Jaeger J.-M., Feraille A.","57211214999;57515763400;24783399500;57216765388;36657197300;","Environmental impacts of Design for Reuse practices in the building sector",2022,"Journal of Cleaner Production","349",,"131228","","",,1,"10.1016/j.jclepro.2022.131228","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126916036&doi=10.1016%2fj.jclepro.2022.131228&partnerID=40&md5=67550deb90e9ffb2281b644c44d69923","Setec, Paris, 75012, France; Navier Laboratory, Ecole des Ponts ParisTech, University Gustave Eiffel, CNRS, Marne-la-Vallée77455, France; ENSA Paris-Malaquais, PSL University, GSA Laboratory, Paris, 75006, France","Bertin, I., Setec, Paris, 75012, France, Navier Laboratory, Ecole des Ponts ParisTech, University Gustave Eiffel, CNRS, Marne-la-Vallée77455, France; Saadé, M., Navier Laboratory, Ecole des Ponts ParisTech, University Gustave Eiffel, CNRS, Marne-la-Vallée77455, France; Le Roy, R., Navier Laboratory, Ecole des Ponts ParisTech, University Gustave Eiffel, CNRS, Marne-la-Vallée77455, France, ENSA Paris-Malaquais, PSL University, GSA Laboratory, Paris, 75006, France; Jaeger, J.-M., Setec, Paris, 75012, France; Feraille, A., Navier Laboratory, Ecole des Ponts ParisTech, University Gustave Eiffel, CNRS, Marne-la-Vallée77455, France","Actors of the construction sector are facing the challenge of reducing their carbon footprint and ideally reaching carbon neutrality. Reuse of structural elements made of concrete is of particular interest, given the large use of this material worldwide and its high environmental impact. Reusing constructive concrete elements is however challenging, particularly because connections between concrete structural elements are difficult to disassemble. It is then worth designing reuse techniques for concrete load-bearing elements and to verify their environmental performance using comprehensive methods such as Life Cycle Assessment. Based on the Design for Reuse concept, this article assesses the environmental impacts of a reusable structural portal frame constitutive of a concrete building and compares it to a traditional design with new materials. It relies on data collected through an experimental protocol of reinforced concrete structures construction/deconstruction/reconstruction using hydrodemolition. Impact scores are significantly reduced for all environmental categories after a first reuse cycle, both at the scale of a portal frame or a building. Concrete, and particularly high performance concrete, has durability qualities allowing to undergo several usage cycles. The effectiveness of environmental benefits however depends on functional downgrading and material losses. Guidance should then be provided to insure that future reuse practices will actually provide the expected benefits. This has to be conducted in parallel to full-scale experiments of load-bearing elements disassembly to estimate the realistic rates that can be obtained when deconstructing a building. © 2022","Buildings; Circular economy; Concrete structures; Deconstruction; Design for reuse; Life cycle assessment","Architectural design; Carbon footprint; Concrete buildings; Concrete construction; Construction industry; Ecodesign; Emission control; Environmental management; High performance concrete; Reinforced concrete; Buildings sector; Circular economy; Construction sectors; Deconstruction; Design for reuse; Load-bearing elements; Portal frame; Reuse; Reuse practices; Structural elements; Life cycle",Article,"Final","",Scopus,2-s2.0-85126916036
"da Silva L.F., Junior P.A.P., Freire A.P.","57219868158;56203432700;12759927200;","Mobile User Interaction Design Patterns: A Systematic Mapping Study",2022,"Information (Switzerland)","13","5","236","","",,,"10.3390/info13050236","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130631354&doi=10.3390%2finfo13050236&partnerID=40&md5=c5a6e31a71f66dd3dcaf78aa6f3bef1c","Departamento de Ciência da Computação, Universidade Federal de Lavras, MG, Lavras, CEP 37200-900, Brazil","da Silva, L.F., Departamento de Ciência da Computação, Universidade Federal de Lavras, MG, Lavras, CEP 37200-900, Brazil; Junior, P.A.P., Departamento de Ciência da Computação, Universidade Federal de Lavras, MG, Lavras, CEP 37200-900, Brazil; Freire, A.P., Departamento de Ciência da Computação, Universidade Federal de Lavras, MG, Lavras, CEP 37200-900, Brazil","Interaction design patterns have evolved as a resource that facilitates documentation and the reuse of proven solutions. They provide a structured and understandable mechanism for what to do in the design. Mobile devices have characteristics, configurations, and restrictions that make the construction of their interfaces full of particularities to this environment, and problems that are often common to designers and developers. This study presented a systematic mapping of the state-of-the-art regarding interaction design patterns for mobile devices. A total of 23 studies that include articles and books met the selection criteria in this mapping, examining relevant scientific databases and books that were cited in relevant articles. As a main result, 336 patterns were compiled, with 261 of these problems and solutions being dissimilar from each other. The paper describes patterns in 18 categories covering different interaction aspects. Pattern structural elements with mentions in more than five papers included: Name, Solution, Problem, Context, Examples, Related Patterns, Forces, Consequences and Figure. Four studies reported empirical evaluation of the patterns with a limited number of users. The paper contributed with a categorization of existing patterns and the challenges for uniformization of structure and empirical evidence with user evaluation. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","design patterns; mobile interaction; systematic mapping","Characteristic configurations; Design Patterns; Interaction design patterns; Mobile interaction; Mobile users; Reuse; State of the art; Systematic mapping; Systematic mapping studies; User interaction design; Mapping",Article,"Final","",Scopus,2-s2.0-85130631354
"Chen H.-M., Wang Y., Zhou K., Lam D., Guo W., Li L., Ajayebi A., Hopkinson P.","57192534678;57203668865;57388585600;7201749620;56042838400;57854650300;55878481600;6701567820;","Reclaiming structural steels from the end of service life composite structures for reuse – An assessment of the viability of different methods",2022,"Developments in the Built Environment","10",,"100077","","",,,"10.1016/j.dibe.2022.100077","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129534698&doi=10.1016%2fj.dibe.2022.100077&partnerID=40&md5=31594f1a75695f8ece1895a8ba37f6de","Department of Mechanical, Aerospace and Civil Engineering, School of Engineering, University of Manchester, Oxford Rd, UK, Manchester, M13 9PL, United Kingdom; Faculty of Engineering and Informatics, University of Bradford, West Yorkshire, UK, Bradford, BD7 1DP, United Kingdom; Exeter Business School, University of Exeter, Northcote House, The Queen's Drive, UK, Exeter, EX4 4QJ, United Kingdom; School of Architecture, University of Liverpool, 19-23 Abercromby Square, UK, Liverpool, L69 7ZN, United Kingdom; School of Built Environment, Engineering and Computing, Leeds Beckett University, 211 Northern Terrace, UK, Leeds, LS1 3HE, United Kingdom","Chen, H.-M., Department of Mechanical, Aerospace and Civil Engineering, School of Engineering, University of Manchester, Oxford Rd, UK, Manchester, M13 9PL, United Kingdom, School of Architecture, University of Liverpool, 19-23 Abercromby Square, UK, Liverpool, L69 7ZN, United Kingdom; Wang, Y., Department of Mechanical, Aerospace and Civil Engineering, School of Engineering, University of Manchester, Oxford Rd, UK, Manchester, M13 9PL, United Kingdom; Zhou, K., Faculty of Engineering and Informatics, University of Bradford, West Yorkshire, UK, Bradford, BD7 1DP, United Kingdom, School of Built Environment, Engineering and Computing, Leeds Beckett University, 211 Northern Terrace, UK, Leeds, LS1 3HE, United Kingdom; Lam, D., Faculty of Engineering and Informatics, University of Bradford, West Yorkshire, UK, Bradford, BD7 1DP, United Kingdom; Guo, W., Department of Mechanical, Aerospace and Civil Engineering, School of Engineering, University of Manchester, Oxford Rd, UK, Manchester, M13 9PL, United Kingdom; Li, L., Department of Mechanical, Aerospace and Civil Engineering, School of Engineering, University of Manchester, Oxford Rd, UK, Manchester, M13 9PL, United Kingdom; Ajayebi, A., Exeter Business School, University of Exeter, Northcote House, The Queen's Drive, UK, Exeter, EX4 4QJ, United Kingdom; Hopkinson, P., Exeter Business School, University of Exeter, Northcote House, The Queen's Drive, UK, Exeter, EX4 4QJ, United Kingdom","The ability to separate structural steel sections from concrete slabs in composite beams without damage forms a key technical challenge for reclaim and direct re-use of composite structures as opposed to recycling. This paper addresses this technical challenge. It presents the results of a feasibility study using a variety of potential techniques, including laser cutting, band-saw cutting, wire-saw and wall-saw cutting, and diamond core drilling, to cut welded shear connectors in conventional steel-concrete composite beams with the steel sheeting perpendicular to the steel section. The most feasible reclaiming method was found to be wire-saw and wall-saw cutting. After reclaiming steel sections, steel tensile coupon tests were carried out on the recovered steel sections and their mechanical properties were compared to those of the original steel used in the composite beams. The coupon test results showed identical behaviour of the original and reclaimed steels. The energy use of the different methods of reclaiming was also recorded to calculate carbon emission and was found to be several orders of magnitude lower than manufacturing virgin steel or recycling steel. © 2022","Circular economy; Composite beam; Cutting; End of service life; Reclaiming; Reuse; Welded steel stud","Composite beams and girders; Recycling; Sawing; Timber; Welding; Circular economy; Composite beam; End of service life; Reclaiming; Reuse; Saw cutting; Steel sections; Steel studs; Welded steel stud; Welded steels; Concrete slabs",Article,"Final","",Scopus,2-s2.0-85129534698
