,Authors,Title,Year,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type
75,[No author name available],"16th International Conference on Knowledge-Based and Intelligent Information and Engineering Systems, KES 2012",2013,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904607120&partnerID=40&md5=e1218e1b2330de2db14440ab74d16c6f,The proceedings contain 21 papers. The special focus in this conference is on Information and Engineering Systems. The topics include: Brain activity measurement for the scores of on-line English grammar tests with white and blue backgrounds; loss aversion behavior utterances extraction in internet with expected utility; extracting market trends from the cross correlation between stock time series; text-shared collaboration in second language using groupware for an idea generation; capturing and scaling up concurrent transactions in uncertain databases; impact of circularity analysis on classification results; an evolved cellular automata based approach to hyperspectral image processing; bootstrapped dendritic classifiers in MRI analysis for Alzheimer's disease recognition; an analytic aggregation-based ontology alignment approach with multiple matchers; intelligent texture reconstruction of missing data in video sequences using neural networks; using multi-agent systems to enhance the level of autonomy in unmanned vehicles; experts' agreement support for distributed engineering knowledge modelling; teams of agents for solving the resource-constrained project scheduling problem; integrating ultra mobile devices in tactical defence environments through middleware; computational approach for measuring the tear film break-up time in an unsupervised manner; an efficient method of characterization of the bad debt customers in the mail order industry and wearable smart system for physical activity support.,,,Conference Review
50,[No author name available],"18th IFIP WG 6.11 Conference on e-Business, e-Services, and e-Society, I3E 2019",2019,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072883019&partnerID=40&md5=c73ea3264c35c8524665214724c676d1,"The proceedings contain 65 papers. The special focus in this conference is on e-Business, e-Services, and e-Society. The topics include: Big Data Value Chain: Making Sense of the Challenges; a Spatio-Temporal Data Imputation Model for Supporting Analytics at the Edge; the Role of Big Data in Addressing Societal Challenges: A Systematic Mapping Study; organizational Culture Challenges of Adopting Big Data: A Systematic Literature Review; Exploring the Relationship Between Data Science and Circular Economy: An Enhanced CRISP-DM Process Model; The Praxis of HR Analytics; decision Tree Analysis for Estimating the Costs and Benefits of Disclosing Data; predicting Parking Demand with Open Data; towards an Ontology for Public Procurement Based on the Open Contracting Data Standard; care About Your Customer: A Use and Gratification Study Regarding Co-creation and Customer Engagement on Facebook; designing Laboratory Forensics; the State of Artificial Intelligence Research in the Context of National Security: Bibliometric Analysis and Research Agenda; artificial Intelligence in the Public Sector: A Study of Challenges and Opportunities for Norwegian Municipalities; Internet of Things Business Models: The RAWFIE Case; the Internet of Things as Smart City Enabler: The Cases of Palo Alto, Nice and Stockholm; smart Home Technology Acceptance: An Empirical Investigation; designing at the Intersection of Gamification and Persuasive Technology to Incentivize Energy-Saving; D2C-SM: Designing a Distributed-to-Centralized Software Management Architecture for Smart Cities; use of Social Media by b2b Companies: Systematic Literature Review and Suggestions for Future Research; social Media Reporting and Firm Value; aggressive Social Media Post Detection System Containing Symbolic Images.",,,Conference Review
73,[No author name available],"2013 International Conference on Information Engineering, ICIE 2013",2014,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903382822&partnerID=40&md5=6ccbc87b64bb298ef5057cfd27c3a319,"The proceedings contain 192 papers. The special focus in this conference is on Information and Communication Engineering, Electronics Science, Technology, and Application, Computer science and Technology, ICT for Business and Management, and Information Engineering. The topics include: Bidirectional channel assignment for multiradio wireless mesh backhaul; application of neural networks in Taiwan train quali system performance evaluation; an evaluation of tourist attraction ranking methods; joint just noticeable distortion based stereo image watermarking method with self-recovery; decision fusion rule for dynamic large-scale wireless sensor networks; the research of black hole detection in AODV based on NS2; strumming pattern recognition from ukulele songs; shared optical infrastructure for precise time transfer; multicast management in OpenFlow network environment; a survey of code-based and social-based routing protocols in delay tolerant networks; learning strategies of domain ontology concepts from the web; domain-specific evolving network model for complex systems; a community partition algorithm for the network public opinion; spectral analysis of the moving system with multi-object based on V-system; the characteristics of APT attacks and strategies of countermeasure; research on serial assembling scheme for network coding in the internet; joint processing with local channel state information for heterogeneous networks; research on SVM-based securities time series; simulation and verification of high dynamic IF GPS signal; satellites selection method for high-dynamic vector GPS receiver; design and implementation of instant message system based on P2P in LAN; exploring the translation mode for scientific discourses under the framework of information dualism; extraction method for image region of interest based on visual attention model; analysis on the effect of channel transmission rate on communication efficiency; design of AMBA-compliant image scaler circuit for low bus bandwidth; design of improved 8 mm band multimode matching feed; overview of digital watermarking; design of the common framework of LIN low-level driver; image processing in research of the digital human; comparison of SVM and ANN classifier for mammogram classification using ICA features; note on scheduling with group technology and the effects of deterioration and learning; reliability analysis and development of microcontroller unit system; finding all approximate palindromes of the string; an improved algorithm of Cohen-Sutherland line clipping; an improved algorithm of the ID3 based on impact factors; computing semantic relatedness for domain entities from encyclopaedias of digital publishing resource; a new algorithm of generating a minimum spanning tree of a graph based on recursion; performance of adaptive proportional average delay index for scheduler in LTE-A systems; a method for compositing web services based on model-checking multiagent systems; survey on support vector machine algorithms; adaptive fuzzy de-interlacing algorithm with motion detection; a new SVM algorithm and selected application in sequence analysis; image resolution enhancement method using multiple interpolations; design and implementation of handheld wireless LAN analyzer system; a single-field deinterlacing method utilizing second-order derivative; analysis of computer image processing technology and pattern recognition technology; conjoint analysis of statistics and computer technology; application of computer information technology in library information management system; safety protection of computer network and multiport technology; research on partner selection in cloud services supply chain; research of CRB based on grey-relation analysis and its application in aviation fault diagnosis; detecting emotional diction in texts; research on entrepreneurial opportunity identification with technology acceptance model; on building an English website for Tujia traditional culture; enhancing bank reputation by centralizing bank debtor information system; research on promotion of grinding fineness on beneficiation indicators; about the transformation methods on the spectral moments of trees; design of secured U-health application middleware based on OTP; semiautomatic construction of lexicon for the recognition of restaurant attributes; building innovative design service model; developing the knowledge management platform in the APQP procedure; analysis on new enterprise marketing model in the internet age; research on the significance of enterprises human resource management in business process; analysis of tourism enterprises standardization and its long-term development; role of business English on business management; analysis of the relationship between corporate culture and performance management; music appreciation on the construction of enterprise culture; enterprise financial management innovation based on market economy; role of the motivation method in the physical education management of school; analysis on status and suggestion of competitive sports management system; application of humanistic management in sports club; influence of intangible cultural heritages on tourism; personalized management measures in educational reform; three-dimensional visualization technology in landscape design; management system of community sports in the new era; restriction of accounting computerization on financial management; applications of computer digital technology in sports competition; benign development of industry supply chain under financial system; enforcement of scientific management strategy in education; study of strategic enterprise management based on circular economy; role of human-based management in student; the research and implementation of bus monitoring card of fiber channel; legal sentencing as knowledge processing and design of college students personal physical health management system.",,,Conference Review
40,[No author name available],"20th International Conference on Computational Science and Its Applications, ICCSA 2020",2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092690755&partnerID=40&md5=a393ea4a06d4999197520444bc47c09a,The proceedings contain 498 papers. The special focus in this conference is on Computational Science and Its Applications. The topics include: Expressive Analysis of Gut Microbiota in Pre- and Post- Solid Organ Transplantation Using Bayesian Topic Models; detection of Thyroid Nodules Through Neural Networks and Processing of Echographic Images; a Novel Algorithm to Classify Hand Drawn Sketches with Respect to Content Quality; using Market Basket Analysis to Find Semantic Duplicates in Ontology; ioT Software by Dataflow Programming in Mruby Programming Environment; A Cloud VM Migration Control Mechanism Using Blockchain; Extended RTS/CTS Control Based on Transmission Request Distribution in Wireless Ad-Hoc Networks; interference of Overhearing by Eavesdropper Nodes for Secure Wireless Ad-Hoc Networks; towards Ontology Based Data Extraction for Organizational Goals Metrics Indicator; anomaly Detection for Data Streams Based on Isolation Forest Using Scikit-Multiflow; geodesign as Co-creation of Ideas to Face Challenges in Indigenous Land in the South of Brazil: Case Study Ibirama La Klano; Aerial Images and Three-Dimensional Models Generated by RPA to Support Geovisualization in Geodesign Workshops; Training Decision-Makers: GEODESIGN Workshop Paving the Way for New Urban Agenda; opportunities and Challenges of a Geodesign Based Platform for Waste Management in the Circular Economy Perspective; Brazilian Geodesign Platform: WebGis & SDI & Geodesign as Co-creation and Geo-Collaboration; a Text Mining Analysis on Big Data Extracted from Social Media; daily Spatial Footprint of Warsaw Metropolitan Area (Poland) Commuters in Light of Volunteered Geographic Information and Common Factors of Urban Sprawl. A Pilot Study; geovisualization for Energy Planning.,,,Conference Review
34,[No author name available],"21st IFIP WG 5.5 Working Conference on Virtual Enterprises, PRO-VE 2020",2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097448372&partnerID=40&md5=77031d111f48b538836e3b831f516106,The proceedings contain 53 papers. The special focus in this conference is on Virtual Enterprises. The topics include: Developing Digital Capabilities for SMEs: SMART4ALL’s Cross-Border Experiments for Emerging Technology Development and Adoption; a Framework for the Collaborative Evaluation of Service Outsourcing Contracts in Pharmaceutical Logistics; towards a Collaborative Ontology-Based Decision Support System to Foster Healthy and Tailored Diets; leveraging on Enterprise Building Information Models in Health Care Services: The Case of St. Olav University Hospital; green Virtual Enterprise Breeding Environment: A Proposal of Web Platform Model for a Circular Economy; for a Dynamic Web Services Discovery Model for Open Ecosystems of Software Providers; adoption of Digital Collaborative Networking Platforms in Companies: A Study of Twitter Usage in Finland; from Digital Platforms to Ecosystems: A Review of Horizon 2020 Platform Projects; preface; evaluating and Influencing the Performance of a Collaborative Business Ecosystem – A Simulation Study; towards a Reference Model for Knowledge Driven Data Provision Processes; A Semantic Data Model to Represent Building Material Data in AEC Collaborative Workflows; towards a Framework for Federated Interoperability to Implement an Automated Model Transformation; design Principles for Blockchain-Enabled Point Exchange Systems: An Action Design Research on a Polycentric Collaborative Network for Loyalty Programs; bitcoin Adoption as a New Technology for Payment Mechanism in a Tourism Collaborative Network; how to Effectively Make and Use Knowledge Graphs Through Collaborative Activities: A Socio-Technical Perspective; liability in Collaborative Maintenance of Critical System of Systems; applying Predictive Maintenance in Flexible Manufacturing; verification and Compliance in Collaborative Processes.,,,Conference Review
18,[No author name available],"22nd IFIP WG 5.5 Working Conference on Virtual Enterprises, PRO-VE 2021",2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120549395&partnerID=40&md5=ff1bbf4b10e1005ac72ac5fd6c32b15d,The proceedings contain 76 papers. The special focus in this conference is on Virtual Enterprises. The topics include: Collaborative Plan to Reduce Inequalities Among the Farms Through Optimization; working Beside Robots: A Glimpse into the Future; supporting Predictive Maintenance in Virtual Factory; reconfigurable Supply Chain Performance: A Bibliometric Analysis; A MILP Model for Reusable Containers Management in Automotive Plastic Components Supply Chain; end-of-Life Product Recovery Optimization of Disassembled Parts Based on Collaborative Decision-Making; analysis Model to Identify the Regional “Strategic Bets” of Startup Porto’s Network; behavior Data Collection in Collaborative Virtual Learning Environments; collaborative Trusted Digital Services for Citizens; a Systematic Review of Sustainable Supply Chain Management Practices in Food Industry; Collaborative Safety Requirements Engineering: An Approach for Modelling and Assessment of Nuclear Safety Requirements in MBSE Context; a Model to Manage Organizational Collaborative Networks in a Pandemic (Covid-19) Context; measuring Complexity for Collaborative Business Processes Management; research on Configuration Framework of Simulation Rules Based on Existing Simulation Teaching Platform; a Federated Simulation Framework for Cross-organisational Processes; robust Optimization for Collaborative Distribution Network Design Problem; simulating Impact of Smart Product-Service Systems; compliance Checking of Collaborative Processes for Sustainable Collaborative Network; identification of Service Platform Requirements from Value Propositions: A Service Systems Engineering Method; a Modular Ontology Framework for Building Renovation Domain; getting Collaborative Networks Sustainable: Drivers and Barriers Within a Digital Laboratories Network; value Co-creation in the Context of Digitally-Enabled Product-Service Systems; selling the Value of Complex Data-Based Solution for Industrial Customers; towards Sustainable Manufacturing Through Collaborative Circular Economy Strategies.,,,Conference Review
275,[No author name available],"8th International Conference on Cooperative Design, Visualization, and Engineering, CDVE 2011",2011,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037720685&partnerID=40&md5=3f8b5c2156160f0a28b6c9ca046c197f,The proceedings contain 33 papers. The special focus in this conference is on Cooperative Design. The topics include: Handling different format initial data in a cooperative decision making process; modeling decisional knowledge with the help of data quality information; adapting decision support to business requirements through data interpretation; multilayer automated methods for the system integration; active citizenship in the planning process: Information management vs. Creative participation; a “Live” interactive tagging interface for collaborative learning; ask friends for help: A collaborative query answering system; extended ontology-based process management architecture; information model for cooperative disassembly process planning; design offered up: Control and open outcomes in a digitally enabled design process; RFID Supported cooperation for construction waste management; planning for the environmental quality of urban microclimate: A multiagent-based approach; LabVIEW based cooperative design for control system implementation; improving collaboration in the construction industry through context-aware web services; From collaborative business practices to user’s adapted visualization services: Towards a usage-centered method dedicated to the AEC sector; an augmented reality application framework for complex equipment collaborative maintenance; faculty-wide information system for energy saving; cooperative visualization based on agent voting; comparing static load balancing algorithms in grid; a model for collaborative scheduling based on competencies; design interaction via multi-touch; towards a functional characterization of collaborative systems; efficient system for clustering of dynamic document database; proposition of a model using parametric operations to assist the creation of architectural forms; the digital design build studio; collaborative learning through cooperative design using a multitouch table.,,,Conference Review
14,"Qi J., Ding L., Lim S.",A Decision-Making Framework to Support Urban Heat Mitigation by Local Governments,2022,10.1016/j.resconrec.2022.106420,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131627499&doi=10.1016%2fj.resconrec.2022.106420&partnerID=40&md5=2f6f8b99d50e5681771ae2da829c239b,"Local governments have made extensive efforts to mitigate urban overheating, cool streetscapes and cities, and protect vulnerable people. However, there is uncertainty about which urban heat mitigation strategies (UHMSs) can provide better solutions for a specific urban context. There is a compelling need for local governments to automate the decision-making process and optimise the combination of UHMSs to maximise the mitigation outcomes for their cities. We develop a novel decision-making framework that incorporates artificial intelligence (AI) techniques into urban heat mitigation in the built environment to enable an automated process of decision making. The novel decision-making framework comprises: the ontology-based knowledge representation of UHMSs and their relationships with urban contexts and performance assessment to share knowledge in urban heat mitigation domain; sensitivity analysis of the environmental, social and economic performance of UHMSs to get key variables for UHMSs; and genetic algorithm-based multi-objective optimisation of UHMSs. The novel decision-making framework enables generating the context-based optimised UHMS combinations to support local governments’ decision-making. The research outcomes will advance interdisciplinary knowledge about using AI techniques in the decision-making process for urban heat mitigation. © 2022","Multi-objective optimisation; Sensitive planning and design variables; Urban contexts, Ontology; Urban heat mitigation strategies","Automation; Behavioral research; Decision making; Genetic algorithms; Knowledge representation; Ontology; Sensitivity analysis; Context ontology; Decision-making frameworks; Design variables; Mitigation strategy; Multi-objectives optimization; Planning and design; Sensitive planning and design variable; Urban context; Urban context, ontology; Urban heat mitigation strategy; Multiobjective optimization; artificial intelligence; decision making; genetic algorithm; knowledge; local government; optimization; planning process; urban design; urban planning; article; built environment; decision making; genetic algorithm; government; heat; human; multiobjective optimization; ontology; sensitivity analysis",Article
87,"Daneshfar M., Hartmann T., Rabe J.",A GIS-based Ontology for Representing the Surrounding Environment of Buildings to Support Building Renovation,2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092140615&partnerID=40&md5=eaf2d0be51ca9d94e7588e8efe7f20e4,"This research focuses on developing an ontology for representing knowledge about the surrounding environment of a building in an urban context, considering the geospatial objects and processes such as built environment, vegetation, population and so on. The ontology can be useful to create a knowledge management system for different experts involved in the process of the building renovation, to extend the information and stretch the domain from the individual building to the environment. Knowledge about what entities and attributes to select is captured based on literature and investigating the pilot demonstration sites. Such an ontology can help to structure the surrounding data to support processes in different stages of the renovation. The final goal is to support planners in decision making process namely in site planning and pre-data collection phase, energy modeling, comfort analysis and so on to control cost and quality. Moreover, it can be valuable in further studies of integrating data of various sources for construction purposes. Copyright © LDAC2020 for this paper by its authors.",Ontology; Residential building renovation; Surrounding environment,Data handling; Decision making; Geographic information systems; Knowledge based systems; Knowledge management; Linked data; Ontology; Quality control; Building renovation; Built environment; Comfort analysis; Decision making process; Geo-spatial objects; Knowledge management system; Pilot demonstrations; Surrounding environment; Buildings,Conference Paper
55,"Schlachter A., Rasmussen M.H., Karlshøj J.",A Linked Building Data Approach to Site Planning and Managing Temporary Construction Items,2021,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124431052&partnerID=40&md5=ab71e8d8103ed43e507b5ec354b79f4e,"Building Information Modeling (BIM) has brought great benefits to the construction industry by gathering all information in a project and making it available to the involved stakeholders. However, BIM has predominantly generated value in the design phase of a project, while the potential benefits in the construction phase have been disregarded for many years and are now gaining importance. Trending advancements try to utilize existing BIM data, e.g by linking a digital building model with planning efforts of the construction project and create new knowledge to improve construction. In this paper, we are interested in exploring how semantic models and Linked Building Data (LBD) can support value creation in the construction phase. The presented use case tries to answer the question how the planning of Temporary Construction Items (TCIs) can be improved by semantically describing and classifying TCIs in an ontology that allows to utilize TCI information with BIM data. TCIs only experience little attention in the current planning of construction projects but have a critical impact on the outcome of a project. Thus, the creation of an ontology in this field shall lead to a better and more automated consideration of TCIs in construction planning. Here, we follow the recommendation of the W3C - LBD community group to extend or develop new ontologies and propose the TCI ontology3 as the main contribution. We first introduce the TCI ontology and its relation to other ontologies. Then we demonstrate the value of the ontology by answering competency questions and finally provide a proof of concept of planning TCIs by utilizing the new ontology. The proposal of the TCI ontology is accompanied by a second ontology for Location-Based Scheduling (LBS) to consider the time dimension of planning. The main focus, however, lies on the development and presentation of the TCI ontology whereas the LBS ontology will be further developed in future research. © 2021 Copyright for this paper by its authors.",BIM; Linked building data; Ontology; Temporary construction items,Architectural design; Classification (of information); Construction; Construction industry; Semantics; Building Information Modelling; Construction phase; Design phase; Linked building data; Location based; Modeling data; Ontology's; Site planning; Temporary construction; Temporary construction item; Ontology,Conference Paper
