Authors,Title,Year,Source title,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Source
"Wang A., Guo S., Xu M., Meng C., Zhu H., Zheng T., Wang H., Wang K., Shi W., Liu X., Song X., Chang Z.","0D/3D CNQDs/CuFe2O4/Cu0 heterostructures as broad spectrum photocatalyst for efficient 5-fluorouracil degradation: Structural evolution and relay oxidation process",2023,"Applied Catalysis B: Environmental","10.1016/j.apcatb.2022.122117","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141315838&doi=10.1016%2fj.apcatb.2022.122117&partnerID=40&md5=3edacbbbf7fa19a95fe26ce0a3ee25d4","Undesirable solar energy absorption, poor charge transfer efficiency, and sluggish metallic ions redox cycle are three pressing problems, restricting the application of photocatalysis and peroxymonosulfate (PMS) techniques. Herein, an interface engineering of g-C3N4 quantum dots anchoring on the CuFe2O4/Cu0 hollow microspheres (CNQDs@CFO) was developed to construct a novel 0D/3D broad-spectrum-response photocatalyst. In the relaying PMS-photocatalysis process, 30 μM 5-fluorouracil (5-FLU, 50 mL) was degraded by 99.4 % in 60 min with 0.2 g L−1 1.0CNQDs@C1F1O and 0.3 mM PMS. The reusability test showed that 1.0CNQDs@C1F1O maintained superior performance with a 5-FLU removal of 92.6 % after the fifth run. Meanwhile, this newly-designed material can be applied in a large temperature and pH range, and even actual water bodies with strong environmental adaptability. Theoretic and experimental analysis demonstrated that the CNQDs and Cu0 sites on CNQDs@CFO promoted the earlier PMS activation, and then dual Z-scheme heterostructures (CNQDs/CuFe2O4/CuO) was established, boosting the follow-up photocatalytic activity. © 2022 Elsevier B.V.","Broad spectrum photoresponse; CNQDs/CuFe2O4/Cu0; DFT computation; Dual Z-scheme heterostructures; PMS induced strategy","Activation analysis; Charge transfer; Design for testability; Photocatalytic activity; Redox reactions; Reusability; Semiconductor quantum dots; Solar energy; 5-fluorouracil; Broad spectrum; Broad spectrum photoresponse; CNQD/cufe2O4/cu0; DFT computations; Dual Z-scheme heterostructure; Peroxymonosulfate; Peroxymonosulphate induced strategy; Photoresponses; Structural evolution; Copper compounds",Article,Scopus
"Yang C., Wang J., Wang R., Zhu W., Zhang L., Du T., Sun J., Zhu M.-Q., Shen Y., Wang J.","Efficient hollow cubic Co9S8@defective ZnS/g-C3N4 for multi-pollutants removal via cascade Z-scheme heterojunction",2023,"Applied Catalysis B: Environmental","10.1016/j.apcatb.2022.122084","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140381153&doi=10.1016%2fj.apcatb.2022.122084&partnerID=40&md5=1472ad5885dd621c34c971b8b909a039","Multi-pollutants environment coexisted organic and inorganic pollutants has become a common phenomenon, seriously affecting water biodiversity and human water security. Currently, the removal of organic and inorganic pollutants by photocatalysis are mostly in own single-pollutant environment, not in multi-pollutants system, where the common photocatalysts cannot achieve efficiently charge separate and transfer with low reactive oxygen species (ROS) efficiency. Herein, we constructed an efficient cascaded Z-scheme heterojunction Co9S8 @defective ZnS/g-C3N4 (C@DZ/N) composed of defective engineering in hollow nanocubes, which achieved excellent photodegradation activity (98.93 % for ciprofloxacin (CIP) and 97.18 % for Cr(VI) at 90 min) in multi-pollutants environment, significantly higher than the hollow cubic with Z-scheme heterojunction in single-pollutant environment (98.07 % for CIP and 98.72 % for Cr(VI) at 140 min). Defective ZnS acts as the core for direct charge transfer and separation to form a unique cascaded Z-scheme heterojunction system that blocks the type II charge transfer pathway to achieve ultra-efficient charge transfer. Furthermore, the structural characterization and ROS experimental results based on multi-pollutants models show that the cascade Z-scheme system greatly facilitates the ROS release kinetics and further leads to more electron-deficient cubic surfaces while increase the directional conversion to singlet oxygen (1O2) in multi-pollutants environment. Further tests of intermediates and reusability indicated its potential for the high-efficient treatment of multiple pollution systems. © 2022 Elsevier B.V.","Cascade Z-scheme heterojunction; Chromium; Ciprofloxacin; Defect interface; Hollow cubic structure","Antibiotics; Biodiversity; Charge transfer; Chromium compounds; Defects; II-VI semiconductors; Organic pollutants; Oxygen; Reusability; Water pollution; Water treatment; Zinc oxide; Zinc sulfide; Cascade Z-scheme heterojunction; Ciprofloxacin; Cubic structure; Defect interface; Hollow cubic structure; Inorganic pollutants; Organics; Pollutants removal; Reactive oxygen species; Water security; Heterojunctions",Article,Scopus
"Chen W., He H., Liang J., Wei X., Li X., Wang J., Li L.","A comprehensive review on metal based active sites and their interaction with O3 during heterogeneous catalytic ozonation process: Types, regulation and authentication",2023,"Journal of Hazardous Materials","10.1016/j.jhazmat.2022.130302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141242337&doi=10.1016%2fj.jhazmat.2022.130302&partnerID=40&md5=9a7ef0eda24e8ee901ecde7fae8e3e4c","Heterogeneous catalytic ozonation (HCO) was a promising water purification technology. Designing novel metal-based catalysts and exploring their structural-activity relationship continued to be a hot topic in HCO. Herein, we reviewed the recent development of metal-based catalysts (including monometallic and polymetallic catalysts) in HCO. Regulation of metal based active sites (surface hydroxyl groups, Lewis acid sites, metal redox cycle and surface defect) and their key roles in activating O3 were explored. Advantage and disadvantage of conventional characterization techniques on monitoring metal active sites were claimed. In situ electrochemical characterization and DFT simulation were recommended as supplement to reveal the metal active species. Though the ambiguous interfacial behaviors of O3 at these active sites, the existence of interfacial electron migration was beyond doubt. The reported metal-based catalysts mainly served as electron donator for O3, which resulted in the accumulation of oxidized metal and reduced their activity. Design of polymetallic catalysts could accelerate the interfacial electron migration, but they still faced with the dilemma of sluggish Me(n+m)+/Men+ redox cycle. Alternative strategies like coupling active metal species with mesoporous silicon materials, regulating surface hydrophobic/hydrophilic properties, polaring surface electron distribution, coupling HCO process with photocatalysis and H2O2 were proposed for future research. © 2022 Elsevier B.V.","Metal-based active sites; Ozone activation; Regulation and Authentication of active sites; Sluggish Me(n+m)+/Men+ redox cycle","Authentication; Catalysts; Design for testability; Electrons; Metals; Ozone; Ozonization; Redox reactions; Reusability; Surface defects; Active site; Heterogeneous catalytic ozonation; Metal-based active site; Metal-based catalysts; Ozonation process; Ozone activation; REDOX cycles; Regulation and authentication of active site; Sluggish me(n+m)+/men+ redox cycle; Chemical activation; ozonation; purification; simulation",Review,Scopus
"Chen Z., Zhu S., Zhang H., Wang F., Marszałek K., Zhu Z.","Multiple effects driven by pulsed electric field to enhance the catalytic efficiency of the mussel-inspired proteolytic membrane in protein hydrolysis",2023,"Chemical Engineering Journal","10.1016/j.cej.2022.139792","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140317122&doi=10.1016%2fj.cej.2022.139792&partnerID=40&md5=fdb74befba08d6feedcc3ba14562bd7a","Although the immobilization of enzymes on the membrane is an effective method to improve enzyme stability and reusability, the immobilized enzyme also causes low activity and reduces substrate accessibility. In order to overcome these shortcomings and provide a viable proteolytic membrane with increasing enzyme activity and substrate accessibility, a pulsed electric field (PEF)-assisted proteolytic membrane (PAPM) was constructed by immobilizing PEF-treated pepsin on PDA and PEI co-deposited ultrafiltration membrane. The PEF-treated pepsin endowed high activity (165.33 ± 2.31 %) and charge amount (−3.95 mV), with stable and uniform particle size (39 nm). These phenomena were attributed to the multiple effects driven by PEF, including the diffusion effect, electrolysis reactions, and microstructural regulation. Specifically, PAPM retained 80 % of original pepsin activity and enhanced 25 % pepsin activity compared to the conventional proteolytic membrane (PM). Such improvement can be ascribed to two factors: Firstly, PEF regulated pepsin microstructure to an optimal structure (4.6 % increase of the α-helix and 4.0 % reduction of the random coil) for pepsin immobilization. Secondly, PEF changed pepsin charge properties from positive (+1.62 mV) to negative (−3.95 mV), while substrate charges were positive. Heterogeneous charge interactions between pepsin and substrates increased the accessibility of the substrate to immobilized pepsin, effectively promoting enzymatic reactions. This study offers a feasible method to prepare the proteolytic membrane in protein hydrolysis. © 2022 Elsevier B.V.","Charge interaction; PDA and PEI co-deposition; Proteolytic membrane; Pulsed electric field","Deposition; Electric fields; Enzyme activity; Enzyme immobilization; Hydrolysis; Membranes; Particle size; Reusability; Structural optimization; Catalytic efficiencies; Charge interactions; Codeposition; Enzyme stability; Immobilisation; Multiple effect; PDA and PEI co-deposition; Protein hydrolysis; Proteolytic membrane; Pulsed electric field; Substrates",Article,Scopus
"You Q., Zhang C., Cao M., Wang B., Huang J., Wang Y., Deng S., Yu G.","Defects controlling, elements doping, and crystallinity improving triple-strategy modified carbon nitride for efficient photocatalytic diclofenac degradation and H2O2 production",2023,"Applied Catalysis B: Environmental","10.1016/j.apcatb.2022.121941","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139014735&doi=10.1016%2fj.apcatb.2022.121941&partnerID=40&md5=a0355ecd3913acf6f3ee18ae3a6f16e2","The development of an effective dual-function photocatalyst for refractory contaminant abatement and sacrificial-free in-situ H2O2 generation is a major challenge. Herein, defects controlling, elements doping, and crystallinity improving triple-strategy is established to synthesize modified g-C3N4 (SCBCN0.4). The triple-strategy of modification reconciles crystallinity improvement and the decoration of moderate cyano-group defects and B and O co-dopants. Characterization experiments and theoretical calculations reveal microstructure and electronic structure optimization, improved light-harvesting capability, and enhanced carrier separation efficiency. SCBCN0.4 performs admirably in the degradation of diclofenac and a variety of other pharmaceuticals. Through synchronous oxygen reduction and water oxidation processes, SCBCN0.4 has an excellent in-situ photocatalytic H2O2 generation rate of 620 μmol/g/h (309 μmol/g/h without sacrificial agents). SCBCN0.4's detoxification, reusability, and stability were validated in several experiments. Hence, this research offers a ground-breaking approach to manufacturing triple-strategy modified g-C3N4 for environmental remediation and (sacrificial-free) in-situ H2O2 production. © 2022","Carbon nitride; Defects; Doping; Photocatalytic degradation; Photocatalytic H2O2 production","Crystallinity; Defect engineering; Detoxification; Electrolytic reduction; Electronic structure; Industrial research; Photocatalytic activity; Reusability; Structural optimization; Co-dopants; Controlling elements; Cristallinity; Cyano-groups; Diclofenac; Dual function; Photo-catalytic; Photocatalytic degradation; Photocatalytic H2O2 production; Theoretical calculations; Carbon nitride",Article,Scopus
"Guo J., Fu K., Pei J., Qiu Z., Sun J., Yin K., Luo S.","Macro-constructing zeolitic imidazole frameworks functionalized sponge for enhanced removal of heavy metals: The significance of morphology and structure modulation",2023,"Journal of Colloid and Interface Science","10.1016/j.jcis.2022.10.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140045241&doi=10.1016%2fj.jcis.2022.10.019&partnerID=40&md5=14c27d4dacaea1a5066e20e412a02e88","Rational synthesis of metal–organic frameworks (MOFs) via structural and morphology engineering are fundamental for enhanced heavy metal removal. Beyond tuning intrinsic characteristics, it is essential to address inseparability and instability issues of MOFs to fulfill the practical applications. Herein, we successfully constructed macroscopic zeolitic imidazole frameworks-functionalized melamine sponge (MS@ZIFx, x represents the ultrasonication duration) using a facile dip-coating method. By varying ultrasonication duration, the morphology and structure of the loaded ZIF were modulated from leaf-shaped phase to hollow mixed phase to achieve the excellent adsorption performance. The optimized MS-ZIF10 exhibited significantly enhanced performance for Pb(II) and Cu(II) adsorption. Specifically, the MS-ZIF10 combined high adsorption capacities (624.8 and 588.6 mg g−1 for Pb(II) and Cu(II), respectively), rapid kinetics, excellent anti-interfering capability (e.g., cations, dissolved organic matters) with outstanding reusability (removal efficiency &gt; 91.8 % after 10 cycles). The MS-ZIF10 presented satisfactory performance on Pb(II) and Cu(II) removal in various real water matrices. Fixed-bed experiments were performed to assess the practicality of MS-ZIF10, and 1821 bed volumes (BVs) and 1630 BVs of feeding streams containing Pb(II) and Cu(II) were effectively treated. This work proposed a novel paradigm for promoting the MOF's performance and simultaneously boosting MOF's application in actual heavy metal removal. © 2022 Elsevier Inc.","Fixed bed; Heavy metal; MOFs; Morphology and structure; Water treatment","Adsorption; Chemicals removal (water treatment); Copper compounds; Lead compounds; Morphology; Reusability; Bed volume; Fixed bed; Functionalized; Heavy metal removal; Imidazol; Metalorganic frameworks (MOFs); Morphology and structures; Performance; Structure modulation; Ultra-sonication; Heavy metals; cation; cupric ion; dissolved organic matter; heavy metal; imidazole; lead; melamine; metal organic framework; zeolite; imidazole derivative; adsorption; adsorption kinetics; Article; chemisorption; crystal structure; dip coating; dispersity; enthalpy; entropy; environmental factor; heavy metal removal; hydration; hydrogen bond; hysteresis; isotherm; modulation; morphology; oxidation reduction reaction; partition coefficient; pH; porosity; surface area; surface property; synthesis; thermodynamics; water absorption; water permeability; chemistry; kinetics; water pollutant; Adsorption; Imidazoles; Kinetics; Lead; Metal-Organic Frameworks; Metals, Heavy; Water Pollutants, Chemical; Zeolites",Article,Scopus
"Zhai S., Chen Y., Ge M.","Efficient polyvinyl alcohol degradation via peroxymonosulfate activated by natural illite supported CoNi3O4 nanosheets",2023,"Chemical Engineering Journal","10.1016/j.cej.2022.139155","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138052248&doi=10.1016%2fj.cej.2022.139155&partnerID=40&md5=704f76f8aad1090dc2e15472c5fea761","In this study, natural illite supported CoNi3O4 nanosheets (CN@I) were fabricated using a simple one-step coprecipitation process and tested for their ability to activate peroxymonosulfate (PMS) for polyvinyl alcohol (PVA) degradation. The probable activation mechanism of PMS by CN@I might be ascribed to the natural mineral carrier effect, numerous surface-bonded and structural hydroxyl groups, and efficient bonding with Co or Ni ions, according to density function theory (DFT) calculations. It is deduced from the results of electron paramagnetic resonance (EPR) and radical quenching tests that both the radical (•OH and SO4•-) and non-radical (1O2) pathways were engaged in the CN@I/PMS degradation of PVA. In addition, the possible degradation pathways of PVA were proposed based on the DFT calculation. The optimum operational conditions, impacts of ions and the reusability of catalyst during CN@I/PMS degradation of PVA degradation were further investigated. This work provides an interesting direction for the use of natural mineral-based catalysts to activate PMS for the treatment of PVA wastewater. © 2022 Elsevier B.V.","CoNi3O4; DFT; Illite; PMS; PVA","Catalysts; Chemical bonds; Density functional theory; Design for testability; Electron spin resonance spectroscopy; Nanosheets; Paramagnetic resonance; Polyvinyl alcohols; Reusability; Wastewater treatment; Activation mechanisms; Carrier effects; Co-precipitation process; Density function theory; Density function theory calculations; Illite; Natural minerals; Peroxymonosulfate; Simple++; ]+ catalyst; Nickel compounds",Article,Scopus
"Silva N.G.S., Cortat L.I.C.O., Teixeira E.J.O., Baptista L., Orlando D., Mulinari D.R.","Influence of natural exposure on castor oil based polyurethane reinforced with waste tire rubber",2023,"Waste Management","10.1016/j.wasman.2022.11.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141921859&doi=10.1016%2fj.wasman.2022.11.004&partnerID=40&md5=f9dd8e9afd7df445f8ae095bd0fb1c27","Waste tire rubber (WTR) has been extensively generated worldwide due to mobility needs growth. About 1.5 billion units are generated annually, constantly discharged in the environment with a few reusability alternatives. Therefore, rubber recovery methods and these residues’ transformation into a cost-effective product have gained attention. Aiming to minimize the usage of fossil resources and contributes to a circular economy, it was analyzed the usage of WTR particles (5–20% by weight) in castor oil-based polyurethane foams under natural aging to promote a holistic view of all factors involved in the performance of the foams. Morphological, thermal, chemical, and mechanical properties were determined before and after exposure to open air to observe the impact of photo-oxidation and hydrolysis. The increase in viscosity of pre-polymer during the rubber loading produced greater density foams with smaller cell sizes than neat PU, in which the average cell size increased after the weathering. The rubber contributes to enhancing the compressive behavior in the non-exposed samples. After exposure, the results suggest that degradation may act to increase the crosslinking density even with the presented structural changes such as yellowing and voids. Regarding thermal stability, the rubber promotes a slight decay in the ability to resist a heat flow before and after weathering. Still, the char yield increased, showing a possibility of better fire retardancy for composites. FTIR and UV–vis showed chemical structure changes as Photo-Fries network rearrangement, Norrish I random chain scission, and Norrish II β-scission. Besides, UV–vis revealed the maximum absorbance in the UVB region, showing that the PU reinforced by WTR can be a promising material for civil coatings. © 2022 Elsevier Ltd","Aging; Composites; PU; Rubber powder; Weathering","Biomechanics; Cost effectiveness; Crosslinking; Polyurethanes; Reinforcement; Reusability; Rigid foamed plastics; Tires; Vegetable oils; Castor oil-based polyurethanes; Cell-size; Cost effective; Fossil resources; Mobility needs; Natural exposure; PU; Recovery methods; Rubber powders; Waste tyre rubbers; Weathering",Article,Scopus
"Parida L., Moharana S.","Monitoring Loading Effects of Construction Steel Structure Using Piezo Transducer for Electromechanical Impedance Techniques",2023,"Lecture Notes in Civil Engineering","10.1007/978-981-19-3371-4_33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140756562&doi=10.1007%2f978-981-19-3371-4_33&partnerID=40&md5=c418d35eadb15770796262f99b1770dc","In recent constructional practice, piezo sensor-based structural health monitoring (SHM) is one of the most extensively employed and reliable non-destructive evaluation technique in the mechanical, civil, and aerospace industries.With aid of proper installation, optimal location, and reusability, the piezoelectric sensors can be used for evaluation of the performance of a structure and damage identification.This paper addresses, the employability of the multiple piezo configuration approach for electromechanical impedance techniques (EMI) technique for better monitoring the construction steel for different force action and loading effects.The novelty of this study is mainly focused for reusable and non-bonded configuration to rib and curve surface of construction steel, i.e., steel bar.The different positions of the piezo sensor, i.e., surface bonded, metal wire-based and clamp-based arrangements, were chosen to monitor steel bar-imposed axial loads and it’s effect via piezo coupled admittance signatures are recorded.Statistical damage index (RMSD) is evaluated for better quantification for all three proposed sensor configurations.The overall results demonstrate the efficiency of non-bonded and reusable approach for identifying and localizing loading effects on the host structure. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Clamped; EMI; Metal wire; Structural health monitoring; The piezoelectric patch (PZT)","Aerospace industry; Damage detection; Loading; Nondestructive examination; Piezoelectricity; Reusability; Clamped; Construction steels; Electromechanical impedance techniques; Loading effects; Metal wires; Piezosensors; Piezotransducer; Steel bars; The piezoelectric patch; Structural health monitoring",Conference Paper,Scopus
"Latif S., Liaqat A., Imran M., Javaid A., Hussain N., Jesionowski T., Bilal M.","Development of zinc ferrite nanoparticles with enhanced photocatalytic performance for remediation of environmentally toxic pharmaceutical waste diclofenac sodium from wastewater",2023,"Environmental Research","10.1016/j.envres.2022.114500","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140595749&doi=10.1016%2fj.envres.2022.114500&partnerID=40&md5=027cb00017dcf47f6dbe6cd02007bc90","Diclofenac sodium is an anti-inflammatory drug commonly used to cure pain in various treatments. The remarkable potential of this pain-killer leads to its excessive use and, therefore, a persistent water contaminant. Its presence in aqueous bodies is hazardous for both humans and the environment because it causes the growth of harmful drug-resistant bacteria in water. Herein, we present a comparative study of the ZnO and ZnFe2O4 as photocatalysts for the degradation of diclofenac sodium, along with their structural and morphological studies. A simple co-precipitation method was used for the synthesis of ZnO and ZnFe2O4 and characterized by various analytical techniques. For instance, the UV–Vis study revealed the absorption maxima of ZnO at 320 nm, which was shifted to a longer wavelength region at 365 nm for zinc ferrite. The optical band gaps obtained from the Tauc plot indicated that the incorporation of iron has led to a decreased band gap of zinc ferrite (2.89 eV) than pure ZnO (3.14 eV). The metal-oxygen linkages shown by FTIR indicated the formation of desired ZnO and ZnFe2O4, which was further confirmed by XRD. It elucidated the typical hexagonal structure for ZnO and spinel cubic structure for ZnFe2O4 with an average crystallite of 31 nm and 44 nm for ZnO and ZnFe2O4, respectively. The micrographs obtained by SEM showed rough spherical particles of ZnO, whereas for ZnFe2O4 flower-like clustered particles were observed. The photocatalytic investigation against diclofenac sodium revealed the higher degradation efficiency of ZnFe2O4 (61.4%) in only 120 min, whereas ZnO degraded only 48.9% of the drug. Moreover, zinc ferrite has shown good recyclability and was stable up to five runs of photodegradation with a small loss (3.9%) of photocatalytic activity. The comparison of two catalysts has suggested the promising role of zinc ferrite in wastewater remediation to eliminate hazardous pharmaceuticals. © 2022 The Authors","Diclofenac sodium; Environmental pollutants; Photocatalyst; Reusability; Wastewater treatment; Zinc ferrite","diclofenac; iron; metal nanoparticle; unclassified drug; zinc ferrite nanoparticle; zinc oxide nanoparticle; catalysis; catalyst; environmental fate; ferrite; nanoparticle; performance assessment; photodegradation; remediation; sodium; wastewater treatment; absorption; analytic method; Article; chemical reaction kinetics; chemical structure; comparative study; controlled study; crystallization; drug degradation; Fourier transform infrared spectroscopy; morphology; optics; particle size; photocatalysis; photodegradation; precipitation; rate constant; scanning electron microscopy; synthesis; ultraviolet radiation; ultraviolet visible spectroscopy; waste water management; X ray diffraction; X ray powder diffraction",Article,Scopus
