,Authors,Title,Year,Source title,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type
2,[No author name available],"22nd IFIP WG 5.5 Working Conference on Virtual Enterprises, PRO-VE 2021",2021,IFIP Advances in Information and Communication Technology,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120549395&partnerID=40&md5=ff1bbf4b10e1005ac72ac5fd6c32b15d,The proceedings contain 76 papers. The special focus in this conference is on Virtual Enterprises. The topics include: Collaborative Plan to Reduce Inequalities Among the Farms Through Optimization; working Beside Robots: A Glimpse into the Future; supporting Predictive Maintenance in Virtual Factory; reconfigurable Supply Chain Performance: A Bibliometric Analysis; A MILP Model for Reusable Containers Management in Automotive Plastic Components Supply Chain; end-of-Life Product Recovery Optimization of Disassembled Parts Based on Collaborative Decision-Making; analysis Model to Identify the Regional “Strategic Bets” of Startup Porto’s Network; behavior Data Collection in Collaborative Virtual Learning Environments; collaborative Trusted Digital Services for Citizens; a Systematic Review of Sustainable Supply Chain Management Practices in Food Industry; Collaborative Safety Requirements Engineering: An Approach for Modelling and Assessment of Nuclear Safety Requirements in MBSE Context; a Model to Manage Organizational Collaborative Networks in a Pandemic (Covid-19) Context; measuring Complexity for Collaborative Business Processes Management; research on Configuration Framework of Simulation Rules Based on Existing Simulation Teaching Platform; a Federated Simulation Framework for Cross-organisational Processes; robust Optimization for Collaborative Distribution Network Design Problem; simulating Impact of Smart Product-Service Systems; compliance Checking of Collaborative Processes for Sustainable Collaborative Network; identification of Service Platform Requirements from Value Propositions: A Service Systems Engineering Method; a Modular Ontology Framework for Building Renovation Domain; getting Collaborative Networks Sustainable: Drivers and Barriers Within a Digital Laboratories Network; value Co-creation in the Context of Digitally-Enabled Product-Service Systems; selling the Value of Complex Data-Based Solution for Industrial Customers; towards Sustainable Manufacturing Through Collaborative Circular Economy Strategies.,,,Conference Review
226,[No author name available],"8th International Conference on Cooperative Design, Visualization, and Engineering, CDVE 2011",2011,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037720685&partnerID=40&md5=3f8b5c2156160f0a28b6c9ca046c197f,The proceedings contain 33 papers. The special focus in this conference is on Cooperative Design. The topics include: Handling different format initial data in a cooperative decision making process; modeling decisional knowledge with the help of data quality information; adapting decision support to business requirements through data interpretation; multilayer automated methods for the system integration; active citizenship in the planning process: Information management vs. Creative participation; a “Live” interactive tagging interface for collaborative learning; ask friends for help: A collaborative query answering system; extended ontology-based process management architecture; information model for cooperative disassembly process planning; design offered up: Control and open outcomes in a digitally enabled design process; RFID Supported cooperation for construction waste management; planning for the environmental quality of urban microclimate: A multiagent-based approach; LabVIEW based cooperative design for control system implementation; improving collaboration in the construction industry through context-aware web services; From collaborative business practices to user’s adapted visualization services: Towards a usage-centered method dedicated to the AEC sector; an augmented reality application framework for complex equipment collaborative maintenance; faculty-wide information system for energy saving; cooperative visualization based on agent voting; comparing static load balancing algorithms in grid; a model for collaborative scheduling based on competencies; design interaction via multi-touch; towards a functional characterization of collaborative systems; efficient system for clustering of dynamic document database; proposition of a model using parametric operations to assist the creation of architectural forms; the digital design build studio; collaborative learning through cooperative design using a multitouch table.,,,Conference Review
13,"Qi J., Ding L., Lim S.",A Decision-Making Framework to Support Urban Heat Mitigation by Local Governments,2022,"Resources, Conservation and Recycling",10.1016/j.resconrec.2022.106420,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131627499&doi=10.1016%2fj.resconrec.2022.106420&partnerID=40&md5=2f6f8b99d50e5681771ae2da829c239b,"Local governments have made extensive efforts to mitigate urban overheating, cool streetscapes and cities, and protect vulnerable people. However, there is uncertainty about which urban heat mitigation strategies (UHMSs) can provide better solutions for a specific urban context. There is a compelling need for local governments to automate the decision-making process and optimise the combination of UHMSs to maximise the mitigation outcomes for their cities. We develop a novel decision-making framework that incorporates artificial intelligence (AI) techniques into urban heat mitigation in the built environment to enable an automated process of decision making. The novel decision-making framework comprises: the ontology-based knowledge representation of UHMSs and their relationships with urban contexts and performance assessment to share knowledge in urban heat mitigation domain; sensitivity analysis of the environmental, social and economic performance of UHMSs to get key variables for UHMSs; and genetic algorithm-based multi-objective optimisation of UHMSs. The novel decision-making framework enables generating the context-based optimised UHMS combinations to support local governments’ decision-making. The research outcomes will advance interdisciplinary knowledge about using AI techniques in the decision-making process for urban heat mitigation. © 2022","Multi-objective optimisation; Sensitive planning and design variables; Urban contexts, Ontology; Urban heat mitigation strategies","Automation; Behavioral research; Decision making; Genetic algorithms; Knowledge representation; Ontology; Sensitivity analysis; Context ontology; Decision-making frameworks; Design variables; Mitigation strategy; Multi-objectives optimization; Planning and design; Sensitive planning and design variable; Urban context; Urban context, ontology; Urban heat mitigation strategy; Multiobjective optimization; artificial intelligence; decision making; genetic algorithm; knowledge; local government; optimization; planning process; urban design; urban planning; article; built environment; decision making; genetic algorithm; government; heat; human; multiobjective optimization; ontology; sensitivity analysis",Article
72,"Daneshfar M., Hartmann T., Rabe J.",A GIS-based Ontology for Representing the Surrounding Environment of Buildings to Support Building Renovation,2020,CEUR Workshop Proceedings,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092140615&partnerID=40&md5=eaf2d0be51ca9d94e7588e8efe7f20e4,"This research focuses on developing an ontology for representing knowledge about the surrounding environment of a building in an urban context, considering the geospatial objects and processes such as built environment, vegetation, population and so on. The ontology can be useful to create a knowledge management system for different experts involved in the process of the building renovation, to extend the information and stretch the domain from the individual building to the environment. Knowledge about what entities and attributes to select is captured based on literature and investigating the pilot demonstration sites. Such an ontology can help to structure the surrounding data to support processes in different stages of the renovation. The final goal is to support planners in decision making process namely in site planning and pre-data collection phase, energy modeling, comfort analysis and so on to control cost and quality. Moreover, it can be valuable in further studies of integrating data of various sources for construction purposes. Copyright © LDAC2020 for this paper by its authors.",Ontology; Residential building renovation; Surrounding environment,Data handling; Decision making; Geographic information systems; Knowledge based systems; Knowledge management; Linked data; Ontology; Quality control; Building renovation; Built environment; Comfort analysis; Decision making process; Geo-spatial objects; Knowledge management system; Pilot demonstrations; Surrounding environment; Buildings,Conference Paper
45,"Schlachter A., Rasmussen M.H., Karlshøj J.",A Linked Building Data Approach to Site Planning and Managing Temporary Construction Items,2021,CEUR Workshop Proceedings,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124431052&partnerID=40&md5=ab71e8d8103ed43e507b5ec354b79f4e,"Building Information Modeling (BIM) has brought great benefits to the construction industry by gathering all information in a project and making it available to the involved stakeholders. However, BIM has predominantly generated value in the design phase of a project, while the potential benefits in the construction phase have been disregarded for many years and are now gaining importance. Trending advancements try to utilize existing BIM data, e.g by linking a digital building model with planning efforts of the construction project and create new knowledge to improve construction. In this paper, we are interested in exploring how semantic models and Linked Building Data (LBD) can support value creation in the construction phase. The presented use case tries to answer the question how the planning of Temporary Construction Items (TCIs) can be improved by semantically describing and classifying TCIs in an ontology that allows to utilize TCI information with BIM data. TCIs only experience little attention in the current planning of construction projects but have a critical impact on the outcome of a project. Thus, the creation of an ontology in this field shall lead to a better and more automated consideration of TCIs in construction planning. Here, we follow the recommendation of the W3C - LBD community group to extend or develop new ontologies and propose the TCI ontology3 as the main contribution. We first introduce the TCI ontology and its relation to other ontologies. Then we demonstrate the value of the ontology by answering competency questions and finally provide a proof of concept of planning TCIs by utilizing the new ontology. The proposal of the TCI ontology is accompanied by a second ontology for Location-Based Scheduling (LBS) to consider the time dimension of planning. The main focus, however, lies on the development and presentation of the TCI ontology whereas the LBS ontology will be further developed in future research. © 2021 Copyright for this paper by its authors.",BIM; Linked building data; Ontology; Temporary construction items,Architectural design; Classification (of information); Construction; Construction industry; Semantics; Building Information Modelling; Construction phase; Design phase; Linked building data; Location based; Modeling data; Ontology's; Site planning; Temporary construction; Temporary construction item; Ontology,Conference Paper
303,"Shen Z., Issa R.R.A., O'Brien W.",A Model for Integrating Construction Design and Schedule Data,2003,Towards a Vision for Information Technology in Civil Engineering,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-1642341274&partnerID=40&md5=bb4308d5234a930768a473047330e5f6,"The difficulty of timely retrieval of useful information from heterogeneous data sources is a major cause of low productivity in the construction industry. The goal of this research is to provide a new methodology to handle the data-heterogeneity problems encountered in a construction project. This research proposes a tree-structured product model, which binds design knowledge, cost data and schedule data together, as a feasible solution for the data integration problem in construction projects. The methodology uses the knowledge representation of construction projects based on an ontology. Meta-data are used to describe the conceptual structure of the project knowledge. The concept of views is used to answer particular queries from different domains. A general methodology is under development to support queries about a particular construction project from different user perspectives based on heterogeneous construction data sources in a dynamic environment. The research is composed of two major parts: (1) organize the heterogeneous construction data into a tree structure; and (2) retrieve information and obtain domain views by specifying the ways of traversing the tree. The future goal is to develop a prototype that will support some of the major functions needed in today's construction projects. Functional examples are used to demonstrate the validity of the proposed methodology.",,Data-heterogeneity; Ontology; Computer aided design; Computer aided manufacturing; Computer software; Construction industry; Contracts; Data reduction; Managers; Metadata; Project management; Standardization; Information retrieval,Conference Paper
120,"Zhang B., Li X., Xiao J.",A Primary Study of Environmental Impact Assessment for RC Column Using Ontological Theory,2018,ICCREM 2018: Sustainable Construction and Prefabrication - Proceedings of the International Conference on Construction and Real Estate Management 2018,10.1061/9780784481738.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052641397&doi=10.1061%2f9780784481738.002&partnerID=40&md5=4f89a34ad80d2bf53eeb3cd89cba848f,"Building structural design plays an important role in reducing embodied environmental impact (EI) of buildings as it decides building material and engineering quantities. Existing tools that assist structural designers in reducing EI are mainly software for assessing EI of material consumption, while EI happening in construction phase, which is related to engineering quantities, is out of the assessment scope. To better support structural designers in achieving a balance between structural requirements and environmental protection, this paper builds an ontology framework for assessing the embodied EI of building structures. The ontology is based on a building environmental performance assessment model-BEPAS, and takes account of EI related both to material consumption and construction activities. The EI of a reinforced concrete column was assessed and served as a case study to test the correctness and application of the constructed ontology. © 2018 American Society of Civil Engineers.",,Apartment houses; Construction industry; Environmental impact assessments; Environmental management; Office buildings; Ontology; Reinforced concrete; Structural design; Sustainable development; Building structural; Construction activities; Embodied environmental impact; Environmental performance assessment; Material consumption; Ontological theories; Reinforced concrete column; Structural requirements; Environmental impact,Conference Paper
14,"Xu Z., Wang J., Zhu H.",A Semantic-Based Methodology to Deliver Model Views of Forward Design for Prefabricated Buildings,2022,Buildings,10.3390/buildings12081158,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137355645&doi=10.3390%2fbuildings12081158&partnerID=40&md5=a30cc6acf66a92e185927b137f563fa7,"Contemporary engineering in the construction field has put forward higher requirements on the value utilization of building information models, and as the prefabricated building is the core of construction industrialization, using BIM (Building Information Model) technology to realize the forward design of prefabricated buildings and maximize the value of BIM is in urgent demand in the current construction industry. However, in the application process of forward design, there is a lack of standardized implementation guidance and mature technical support, leading to many problems such as a redundancy of model information, heterogeneity of data information, and low efficiency of transmission. Based on this, this paper proposes a model view delivery method of forward design for prefabricated buildings. Firstly, a simplified assembly model and an assembly knowledge model are designed and extended with IFC (Industry Foundation Classes), then we realize the knowledge visualization expression by combining with an ontology semantic system. For the model view of a prefabricated building domain, this paper realizes the reusable concept module by ontology IDM (Information Delivery Manual) and properties selection of knowledge graphs, and then completes the model view delivery through data mapping and IfcDoc (Ifc Documentation Generator) tool output. Finally, the implementation model of information delivery management for forward design is built with model view delivery as the central link. © 2022 by the authors.",assembly model; BIM; forward design; knowledge graph; model view definition,,Article
296,"Rezgui Y., Meziane F.",A Web Services Implementation of a User-Centered Knowledge Management Platform for the Construction Industry,2005,International Journal of Intelligent Information Technologies (IJIIT),10.4018/jiit.2005100101,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85001759497&doi=10.4018%2fjiit.2005100101&partnerID=40&md5=ad34831f93ee9de6867ead24233722ae,"The research described in this paper aims at specifying and developing an open model-based infrastructure and a set of tools that promote consistent knowledge management within collaborative environments in the construction sector. The specified solution emerged from a comprehensive analysis of the business and information/knowledge management practices of four construction organizations and makes use of a construction-specific ontology for specifying adaptive mechanisms that can organize documents according to their content and interdependencies while maintaining their overall consistency. The proposed Web-based infrastructure includes services allowing the creation, capture, indexing, retrieval, and dissemination of knowledge. It also promotes the integration of third-party services, including proprietary and legacy tools. The Web-services model is used as the underlying middleware technology that supports the solution. The research is sponsored by the European Commission under the Framework V Programme (Information Society and Technology). © 2005, IGI Global. All rights reserved.",Inernet-based services; information engineering; knowledge management; knowledge-based systems,,Article
187,"Chasey A.D., Agrawal N.",A case study on the social aspect of sustainability in construction,2013,"ICSDEC 2012: Developing the Frontier of Sustainable Design, Engineering, and Construction - Proceedings of the 2012 International Conference on Sustainable Design and Construction",10.1061/9780784412688.065,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887334274&doi=10.1061%2f9780784412688.065&partnerID=40&md5=2afa80447742e6987bbe928d7550c2d8,"The contemporary philosophy of Sustainability is based on three concerns of human ecology: economy, environment, and social equity. The trend today is to make this tri-dimensional concept into a more useable science. Industries generally have well-defined mechanisms for operating under the Economic aspect. While most of them, including construction, have different methods for comprehending the dynamics of the environmental aspect, progress on the social front has been mostly inadequate. This paper focuses on the social aspect of Sustainability in the context of the construction industry and will explore various issues in the life cycle that impacts the applicability of the Sustainability philosophy in general or its social agenda in particular. A case study of an advanced technology facility project catalogues how social sustainability can be part of the project life-cycle through a framework for understanding, formulating and benchmarking the social issues in construction. This research is limited by the case study approach in the Advanced Technology Facility sector, but does provide insight into how social sustainability can affect project outcomes. © 2013 American Society of Civil Engineers.",,Advanced technology; Case study approach; Economic aspects; Environmental aspects; Project outcomes; Social agendas; Social sustainability; Sustainability philosophies; Construction industry; Economic and social effects; Ontology; Project management; Research; Social aspects; Sustainable development,Conference Paper
