Scopus refine results values

"Your query : ((TITLE-ABS-KEY(reus*) AND TITLE-ABS-KEY(structural AND *)) AND ( LIMIT-TO ( SUBJAREA,""ENGI"" ) OR LIMIT-TO ( SUBJAREA,""MATE"" ) OR LIMIT-TO ( SUBJAREA,""ENVI"" ) OR LIMIT-TO ( SUBJAREA,""MULT"" ) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) )  AND ( LIMIT-TO ( EXACTKEYWORD,""Reusability"" ) OR LIMIT-TO ( EXACTKEYWORD,""Reuse"" ) OR LIMIT-TO ( EXACTKEYWORD,""Building Materials"" ) OR LIMIT-TO ( EXACTKEYWORD,""Buildings"" ) OR LIMIT-TO ( EXACTKEYWORD,""Circular Economy"" ) OR LIMIT-TO ( EXACTKEYWORD,""Structural Component"" ) OR LIMIT-TO ( EXACTKEYWORD,""Structural Elements"" ) ) )"


Number of results : 1622

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","311","2023","15","Brütting, J.","12","Agricultural and Biological Sciences","33","Article","1120","final","1592","Chemical Engineering Journal","54","Reusability","1071","Ministry of Education China","62","National Natural Science Foundation of China","246","China","401","Journal","1177","English","1622"
"Gold","106","2022","262","Fivet, C.","11","Arts and Humanities","23","Conference Paper","432","aip","30","Journal Of Cleaner Production","31","Reuse","226","Chinese Academy of Sciences","25","Fundamental Research Funds for the Central Universities","39","United States","214","Conference Proceeding","343","Japanese","4"
"Hybrid Gold","53","2021","243","Fujita, M.","11","Biochemistry, Genetics and Molecular Biology","31","Review","51",,,"Chemosphere","30","Adsorption","184","Delft University of Technology","19","National Key Research and Development Program of China","30","India","210","Book Series","71","German","2"
"Bronze","64","2020","167","Iwata, M.","9","Business, Management and Accounting","48","Book Chapter","11",,,"Applied Surface Science","29","Scanning Electron Microscopy","167","King Saud University","16","National Science Foundation","25","Italy","76","Trade Journal","22","Polish","1"
"Green","205","2019","141","Bulbul Sonmez, H.","8","Chemical Engineering","284","Short Survey","4",,,"Journal Of Environmental Chemical Engineering","27","Structural Design","162","Harbin Institute of Technology","15","China Postdoctoral Science Foundation","23","Germany","70","Book","9","Spanish","1"
,,"2018","117","Lam, D.","7","Chemistry","357","Book","1",,,"ACS Applied Materials And Interfaces","24","Article","155","Deutsches Zentrum für Luft- und Raumfahrt DLR","14","National Research Foundation of Korea","23","Iran","70",,,,
,,"2017","93","Senatore, G.","7","Computer Science","119","Conference Review","1",,,"Journal Of Colloid And Interface Science","24","Recycling","141","Ecole Polytechnique Fédérale de Lausanne","14","Department of Science and Technology, Ministry of Science and Technology, India","20","United Kingdom","65",,,,
,,"2016","90","Albano, M.","6","Decision Sciences","14","Erratum","1",,,"Journal Of Materials Science Materials In Electronics","23","Catalyst Activity","125","College of Sciences","12","Horizon 2020 Framework Programme","20","Australia","55",,,,
,,"2015","53","Haas, C.","6","Earth and Planetary Sciences","91","Note","1",,,"Proceedings Of The International Astronautical Congress Iac","23","Building Materials","120","Tsinghua University","12","Priority Academic Program Development of Jiangsu Higher Education Institutions","19","South Korea","53",,,,
,,"2014","70","Kizil, S.","6","Economics, Econometrics and Finance","15",,,,,"ACS Sustainable Chemistry And Engineering","18","Fourier Transform Infrared Spectroscopy","117","NASA Langley Research Center","11","Conselho Nacional de Desenvolvimento Científico e Tecnológico","18","Turkey","50",,,,
,,"2013","51","Marchetti, M.","6","Energy","157",,,,,"Iop Conference Series Earth And Environmental Science","18","X Ray Diffraction","111","Gebze Teknik Üniversitesi","11","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","18","Japan","48",,,,
,,"2012","33","Sippel, M.","5","Engineering","990",,,,,"Industrial And Engineering Chemistry Research","17","Photocatalytic Activity","108","South China University of Technology","11","European Commission","17","Spain","47",,,,
,,"2011","30","Stappert, S.","5","Environmental Science","461",,,,,"Journal Of Hazardous Materials","17","Stability","107","Shandong University","11","Engineering and Physical Sciences Research Council","16","Saudi Arabia","43",,,,
,,"2010","26","Zhou, K.","5","Health Professions","3",,,,,"Engineering Structures","16","Sustainable Development","106","Northwestern Polytechnical University","10","Natural Science Foundation of Jiangsu Province","16","Canada","41",,,,
,,"2009","25","Abdel-Maksoud, M.A.","4","Immunology and Microbiology","1",,,,,"Advanced Materials Research","15","Photocatalysis","104","Daneshgahe Elm va Sanat e Iran","10","Australian Research Council","14","Brazil","40",,,,
,,"2008","58","Biggs, R.","4","Materials Science","622",,,,,"Ceramics International","14","Buildings","101","Sapienza Università di Roma","10","European Regional Development Fund","13","Netherlands","37",,,,
,,"2007","10","Bijlaard, F.S.K.","4","Mathematics","54",,,,,"Construction And Building Materials","14","Light","96","Southeast University","9","Council of Scientific and Industrial Research, India","12","France","33",,,,
,,"2006","20","Blosser, M.L.","4","Medicine","46",,,,,"Journal Of Alloys And Compounds","14","Catalysis","91","Kanagawa University","9","Science and Engineering Research Board","11","Pakistan","28",,,,
,,"2005","18","Bradford, M.A.","4","Multidisciplinary","2",,,,,"Lecture Notes In Civil Engineering","14","Degradation","90","Donghua University","9","King Saud University","10","Malaysia","25",,,,
,,"2004","14","Bussler, L.","4","Neuroscience","2",,,,,"New Journal Of Chemistry","14","Wastewater Treatment","89","Indian Space Research Organization","9","Ministry of Education of the People's Republic of China","10","Belgium","23",,,,
,,"2003","19","Chen, H.M.","4","Pharmacology, Toxicology and Pharmaceutics","6",,,,,"Resources Conservation And Recycling","14","Circular Economy","88","Vrije Universiteit Brussel","9","University Grants Commission","10","Portugal","23",,,,
,,"2002","8","De Temmerman, N.","4","Physics and Astronomy","273",,,,,"Applied Catalysis B Environmental","13","Catalysts","87","UNSW Sydney","9","Natural Sciences and Engineering Research Council of Canada","9","Switzerland","23",,,,
,,"2001","4","Delfini, A.","4","Social Sciences","50",,,,,"Journal Of Materials Chemistry A","13","Structural Component","87","Hunan University","9","Chinese Academy of Sciences","8","Russian Federation","20",,,,
,,"2000","7","Hopkinson, P.","4",,,,,,,"Microporous And Mesoporous Materials","12","Nanocomposites","86","Nanjing University","9","Fundação para a Ciência e a Tecnologia","8","Egypt","19",,,,
,,"1999","5","Karl, S.","4",,,,,,,"Proceedings Of SPIE The International Society For Optical Engineering","12","Nanoparticles","77","Yeungnam University","8","Horizon 2020","8","Finland","14",,,,
,,"1998","3","Khan, S.S.","4",,,,,,,"Applied Mechanics And Materials","11","Photodegradation","76","Lockheed Martin Corporation","8","Japan Society for the Promotion of Science","8","Greece","14",,,,
,,"1997","2","Maleki, A.","4",,,,,,,"Journal Of Building Engineering","11","Construction Industry","74","The University of Manchester","8","Ministry of Science, ICT and Future Planning","8","Taiwan","14",,,,
,,"1996","16","Okla, M.K.","4",,,,,,,"Sustainability Switzerland","11","Computer Software Reusability","71","University of Waterloo","8","Natural Science Foundation of Shandong Province","8","Poland","13",,,,
,,"1995","8","Ozan Aydin, G.","4",,,,,,,"Building And Environment","10","Dyes","70","Sichuan University","8","Iran Nanotechnology Initiative Council","7","Thailand","13",,,,
,,"1994","3","Pandey, O.P.","4",,,,,,,"Materials Chemistry And Physics","10","Reusable Launch Vehicles","70","Air Force Research Laboratory","8","Natural Science Foundation of Hunan Province","7","Czech Republic","12",,,,
,,"1993","4","Pendleton, E.","4",,,,,,,"Materials Today Proceedings","10","Water Treatment","70","Yamaguchi University","8","Deutsche Forschungsgemeinschaft","6","Hong Kong","12",,,,
,,"1992","2","Qiang, X.","4",,,,,,,"Science Of The Total Environment","10","Aromatic Compounds","68","Chongqing University","8","Iran National Science Foundation","6","Mexico","12",,,,
,,"1986","1","Raju, L.L.","4",,,,,,,"Journal Of Molecular Liquids","9","Efficiency","68","Guangxi University","8","Ministerio de Ciencia, Innovación y Universidades","6","Singapore","12",,,,
,,"1983","1","Walbridge, S.","4",,,,,,,"Materials Letters","9","Environmental Impact","67","Tarbiat Modares University","8","National Basic Research Program of China (973 Program)","6","South Africa","12",,,,
,,"1967","1","Wang, Y.","4",,,,,,,"Structural Engineer","9","Life Cycle","67","Faculteit Civiele Techniek en Geowetenschappen, TU Delft","8","National Science Fund for Distinguished Young Scholars","6","Sweden","12",,,,
,,"1966","1","Yeung, J.","4",,,,,,,"ACS Applied Nano Materials","8","Structural Elements","67","Thapar Institute of Engineering &amp; Technology","7","Natural Science Foundation of Shanghai","6","Denmark","11",,,,
,,"1965","1","Zeng, G.","4",,,,,,,"Bioresource Technology","8","Silica","66","King Abdulaziz University","7","Natural Science Foundation of Zhejiang Province","6","Romania","11",,,,
,,,,"Zhang, L.C.","4",,,,,,,"Journal Of Solid State Chemistry","8","Oxidation","65","CNRS Centre National de la Recherche Scientifique","7","Research Fund for Coal and Steel","6","Austria","9",,,,
,,,,"Zinadini, S.","4",,,,,,,"Materials","8","Transmission Electron Microscopy","63","University of Bradford","7","Türkiye Bilimsel ve Teknolojik Araştirma Kurumu","6","Nigeria","7",,,,
,,,,"AbdElgawad, H.","3",,,,,,,"SAE Technical Papers","8","X Ray Photoelectron Spectroscopy","63","Nanjing University of Science and Technology","7","U.S. Department of Energy","6","Tunisia","7",,,,
,,,,"Ajayebi, A.","3",,,,,,,"Journal Of Porous Materials","7","Structural Stabilities","62","Politecnico di Torino","7","Deanship of Scientific Research, King Saud University","5","Ukraine","7",,,,
,,,,"Alaraidh, I.A.","3",,,,,,,"Lecture Notes In Mechanical Engineering","7","Titanium Dioxide","62","Indian Institute of Science","7","Fundação de Amparo à Pesquisa do Estado de Minas Gerais","5","Colombia","6",,,,
,,,,"Ali, A.K.","3",,,,,,,"Materials Science In Semiconductor Processing","7","Water Pollution","62","Central South University","7","Ministerio de Economía y Competitividad","5","Cyprus","6",,,,
,,,,"Ataei, A.","3",,,,,,,"Waste Management","7","Chemistry","61","Nanjing Tech University","7","National Institutes of Health","5","Indonesia","6",,,,
,,,,"Balkenende, R.","3",,,,,,,"Environmental Pollution","6","High Resolution Transmission Electron Microscopy","59","Huazhong University of Science and Technology","7","National Research Foundation","5","Serbia","6",,,,
,,,,"Bergsagel, D.","3",,,,,,,"Environmental Science And Pollution Research","6","Priority Journal","59","University of Chinese Academy of Sciences","7","Program for New Century Excellent Talents in University","5","Viet Nam","6",,,,
,,,,"Blades, E.L.","3",,,,,,,"Journal Of Chemical Technology And Biotechnology","6","Morphology","58","Tongji University","7","Russian Science Foundation","5","Argentina","5",,,,
,,,,"Bontempi, E.","3",,,,,,,"Journal Of Materials Science","6","Catalyst","57","Dalian University of Technology","6","Sichuan University","5","Norway","5",,,,
,,,,"Byon, C.","3",,,,,,,"Matec Web Of Conferences","6","Synthesis (chemical)","57","University of Shanghai for Science and Technology","6","Tarbiat Modares University","5","Iraq","4",,,,
,,,,"Calderini, C.","3",,,,,,,"Materials Research Bulletin","6","Organic Pollutants","56","Hong Kong Polytechnic University","6","University Grants Committee","5","Ireland","4",,,,
,,,,"Chang, F.","3",,,,,,,"Polymers","6","PH","56","The University of Adelaide","6","Consejo Nacional de Ciencia y Tecnología","4","Jordan","4",,,,
,,,,"Chen, B.","3",,,,,,,"44th AIAA ASME ASCE AHS ASC Structures Structural Dynamics And Materials Conference","5","Controlled Study","53","Soochow University","6","Department of Science and Technology, Government of Kerala","4","Luxembourg","4",,,,
,,,,"Clark, B.","3",,,,,,,"Collection Of Technical Papers AIAA ASME ASCE AHS ASC Structures Structural Dynamics And Materials Conference","5","Energy Gap","51","Vellore Institute of Technology","6","European Social Fund","4","United Arab Emirates","4",,,,
,,,,"Cochran, R.","3",,,,,,,"Composites Part B Engineering","5","Azo Dyes","50","RMIT University","6","Fundação de Amparo à Pesquisa do Estado de São Paulo","4","Chile","3",,,,
,,,,"Coluzzi, P.","3",,,,,,,"Energy And Buildings","5","Design","50","Periyar University","6","Instituto Nacional de Ciência e Tecnologia para Excitotoxicidade e Neuroproteção","4","Ethiopia","3",,,,
,,,,"Dai, X.","3",,,,,,,"International Journal Of Advanced Manufacturing Technology","5","Architectural Design","49","Hokkaido University","6","Ministry of Education","4","Hungary","3",,,,
,,,,"De Wilde, W.P.","3",,,,,,,"International Journal Of Environmental Analytical Chemistry","5","Iron Compounds","49","Università degli Studi di Brescia","6","Ministry of Science and ICT, South Korea","4","Israel","3",,,,
,,,,"Debacker, W.","3",,,,,,,"International Journal Of Environmental Science And Technology","5","Sustainability","49","National Aeronautics and Space Administration","6","Natural Science Foundation of Guangdong Province","4","Qatar","3",,,,
,,,,"Ding, B.","3",,,,,,,"International Journal Of Space Structures","5","Adsorption Capacities","48","National University of Singapore","6","Natural Science Foundation of Hubei Province","4","Slovenia","3",,,,
,,,,"Dumont, E.","3",,,,,,,"Iop Conference Series Materials Science And Engineering","5","Launch Vehicles","48","University of Science and Technology of China","6","Natural Science Foundation of Shaanxi Province","4","Syrian Arab Republic","3",,,,
,,,,"Flipsen, B.","3",,,,,,,"Journal Of Applied Polymer Science","5","Particle Size","47","Qingdao University of Science and Technology","6","Natural Science Research of Jiangsu Higher Education Institutions of China","4","Algeria","2",,,,
,,,,"Francesconi, D.","3",,,,,,,"Journal Of Physical Chemistry C","5","Structural Analysis","47","Georgia Institute of Technology","6","Sichuan Province Science and Technology Support Program","4","Brunei Darussalam","2",,,,
,,,,"Griffin, K.","3",,,,,,,"Langmuir","5","Carbon","46","Technical University of Munich","6","Smoking Research Foundation","4","Bulgaria","2",,,,
,,,,"Hajjar, J.F.","3",,,,,,,"Nanotechnology","5","Graphene","46","Beijing University of Chemical Technology","6","Universiti Malaya","4","Croatia","2",,,,
,,,,"Iqbal, F.","3",,,,,,,"Proceedings Of The Institution Of Civil Engineers Engineering Sustainability","5","Irradiation","46","Aalborg University","6","Alexander von Humboldt-Stiftung","3","Ecuador","2",,,,
,,,,"Jesionowski, T.","3",,,,,,,"Water Science And Technology","5","Kinetics","46","University of Delaware","6","Central South University","3","Ghana","2",,,,
,,,,"Joustra, J.","3",,,,,,,"Wit Transactions On The Built Environment","5","Mechanical Properties","44","Politecnico di Milano","6","Deanship of Scientific Research, King Faisal University","3","Kazakhstan","2",,,,
,,,,"Keller, P.","3",,,,,,,"Advanced Powder Technology","4","Optical Properties","44","Universiti Malaya","6","Defence Research and Development Organisation","3","Lebanon","2",,,,
,,,,"Khalid, M.","3",,,,,,,"Bulletin Of Materials Science","4","Photocatalytic Performance","44","Università Politecnica delle Marche","6","Department of Biotechnology, Government of West Bengal","3","Lithuania","2",,,,
,,,,"Kim, H.","3",,,,,,,"Environmental Technology United Kingdom","4","Synthesis","44","Hebei University of Technology","6","Deutscher Akademischer Austauschdienst","3","New Zealand","2",,,,
,,,,"Kolstein, H.","3",,,,,,,"Green Chemistry","4","Water Pollutant","44","Saft","6","Directorate for Engineering","3","Bahrain","1",,,,
,,,,"Kozma, A.","3",,,,,,,"IABSE Congress Ghent 2021 Structural Engineering For Future Societal Needs","4","Construction","43","The Royal Institute of Technology KTH","5","Economic and Social Research Council","3","Bangladesh","1",,,,
,,,,"Liu, X.","3",,,,,,,"International Journal Of Building Pathology And Adaptation","4","Desorption","43","National Taiwan University","5","Energimyndigheten","3","Bhutan","1",,,,
,,,,"Madhan, D.","3",,,,,,,"Journal Of Constructional Steel Research","4","Metal Ions","43","Universitat Politècnica de Catalunya","5","European Research Council","3","Cameroon","1",,,,
,,,,"McConnell, J.","3",,,,,,,"Journal Of Environmental Management","4","Reusable Rockets","43","Universidade de São Paulo","5","Fujian Agriculture and Forestry University","3","Iceland","1",,,,
,,,,"Mohebaldin, A.","3",,,,,,,"Journal Of Inorganic And Organometallic Polymers And Materials","4","Organometallics","42","Kyoto University","5","Guangzhou Science and Technology Program key projects","3","Kenya","1",,,,
,,,,"Morzhukhina, A.V.","3",,,,,,,"Journal Of Structural And Construction Engineering","4","Unclassified Drug","42","NASA Marshall Space Flight Center","5","H2020 Marie Skłodowska-Curie Actions","3","Kuwait","1",,,,
,,,,"Munawar, T.","3",,,,,,,"Journal Of Structural Engineering United States","4","Composite Materials","41","University of Leeds","5","Higher Education Commision, Pakistan","3","Latvia","1",,,,
,,,,"Nanan, S.","3",,,,,,,"Key Engineering Materials","4","Heterojunctions","41","Universiteit Antwerpen","5","Indian Space Research Organisation","3","Macao","1",,,,
,,,,"Nenarokomov, A.V.","3",,,,,,,"Materials Science Forum","4","Concretes","40","Taiyuan University of Technology","5","Iran University of Science and Technology","3","Nepal","1",,,,
,,,,"Nijgh, M.P.","3",,,,,,,"Materials Today Communications","4","Metals","40","Czech Technical University in Prague","5","Islamic Azad University","3","Oman","1",,,,
,,,,"Odenbreit, C.","3",,,,,,,"Nanoscale Advances","4","Photocatalytic Activities","40","SRM Institute of Science and Technology","5","King Abdulaziz University","3","Panama","1",,,,
,,,,"Okazaki, T.","3",,,,,,,"Proceedings Of The ASME Design Engineering Technical Conference","4","Cost Effectiveness","39","Beijing Institute of Technology","5","King Fahd University of Petroleum and Minerals","3","Philippines","1",,,,
,,,,"Pastore, R.","3",,,,,,,"Process Safety And Environmental Protection","4","Finite Element Method","39","Khon Kaen University","5","Korea Institute of Science and Technology","3","Slovakia","1",,,,
,,,,"Pongiglione, M.","3",,,,,,,"Reactive And Functional Polymers","4","Heavy Metals","39","Xi'an Jiaotong University","5","Ministarstvo Prosvete, Nauke i Tehnološkog Razvoja","3","Sri Lanka","1",,,,
,,,,"Pudukudy, M.","3",,,,,,,"Waste Management And Research","4","Nanocatalysts","39","Technische Universität Dresden","5","Ministerio de Educación, Cultura y Deporte","3","Uruguay","1",,,,
