,Authors,Article Title,Document Type,Author Keywords,Abstract,DOI,DOI Link
132,"Qi, JD; Ding, L; Lim, S",A Decision-Making Framework to Support Urban Heat Mitigation by Local Governments,Article,,"Local governments have made extensive efforts to mitigate urban overheating, cool streetscapes and cities, and protect vulnerable people. However, there is uncertainty about which urban heat mitigation strategies (UHMSs) can provide better solutions for a specific urban context. There is a compelling need for local governments to automate the decision-making process and optimise the combination of UHMSs to maximise the mitigation outcomes for their cities. We develop a novel decision-making framework that incorporates artificial intelligence (AI) techniques into urban heat mitigation in the built environment to enable an automated process of decision making. The novel decision-making framework comprises: the ontology-based knowledge representation of UHMSs and their relationships with urban contexts and performance assessment to share knowledge in urban heat mitigation domain; sensitivity analysis of the environmental, social and economic performance of UHMSs to get key variables for UHMSs; and genetic algorithm-based multi-objective optimisation of UHMSs. The novel decision-making framework enables generating the context-based optimised UHMS combinations to support local governments' decision-making. The research outcomes will advance interdisciplinary knowledge about using AI techniques in the decision-making process for urban heat mitigation.",10.1016/j.resconrec.2022.106420,0.0
172,"Garcia, S; Romao, L",A Design Tool for Generic Multipurpose Chair Design,Proceedings Paper,,"Product classes share the same basic abstract layout, despite their great diversity. The present paper intends to (de) code the variety of types embedded in the class of multipurpose chairs. The contribution of this research is the development of a generative design tool, to be used at the conceptual chair design stage. A framework of five stages is proposed: (1) sample definition, considering chairs with a large diversity of types; (2) analysis of the syntax and semantics of the class through ontological classification; (3) development of a generic shape grammar, innovatively applied to product design; (4) implementation of a digital tool, that provides an interface to manipulate the chair components visualized in a 3D digital model; and (5) user evaluation of the program, in order to draw conclusions on the usability and usefulness of the tool and to collect inputs for further developments.",10.1007/978-3-662-47386-3_33,0.0
173,"Psyllidis, A; Bozzon, A; Bocconi, S; Bolivar, CT",A Platform for Urban Analytics and Semantic Data Integration in City Planning,Proceedings Paper,,"This paper presents a novel web-based platform that supports the analysis, integration, and visualization of large-scale and heterogeneous urban data, with application to city planning and decision-making. Motivated by the non-scalable character of conventional urban analytics methods, as well as by the interoperability challenges present in contemporary data silos, the illustrated system - coined SocialGlass - leverages the combined potential of diverse urban data sources. These include sensor and social media streams (Twitter, Instagram, Foursquare), publicly available municipal records, and resources from knowledge repositories. Through data science, semantic integration, and crowdsourcing techniques the platform enables the mapping of demographic information, human movement patterns, place popularity, traffic conditions, as well as citizens' and visitors' opinions and preferences about specific venues in a city. The paper further demonstrates an implemented prototype of the platform and its deployment in real-world use cases for monitoring, analyzing, and assessing city-scale events.",10.1007/978-3-662-47386-3_2,0.0
169,"Cursi, S; Simeone, D; Toldo, I",A Semantic Web Approach for Built Heritage Representation,Proceedings Paper,,"In a built heritage process, meant as a structured system of activities aimed at the investigation, preservation, and management of architectural heritage, any task accomplished by the several actors involved in it is deeply influenced by the way the knowledge is represented and shared. In the current heritage practice, knowledge representation and management have shown several limitations due to the difficulty of dealing with large amount of extremely heterogeneous data. On this basis, this research aims at extending semantic web approaches and technologies to architectural heritage knowledge management in order to provide an integrated and multidisciplinary representation of the artifact and of the knowledge necessary to support any decision or any intervention and management activity. To this purpose, an ontology-based system, representing the knowledge related to the artifact and its contexts, has been developed through the formalization of domain-specific entities and relationships between them.",10.1007/978-3-662-47386-3_21,0.0
127,"Xu, Z; Wang, JL; Zhu, HX",A Semantic-Based Methodology to Deliver Model Views of Forward Design for Prefabricated Buildings,Article,,"Contemporary engineering in the construction field has put forward higher requirements on the value utilization of building information models, and as the prefabricated building is the core of construction industrialization, using BIM (Building Information Model) technology to realize the forward design of prefabricated buildings and maximize the value of BIM is in urgent demand in the current construction industry. However, in the application process of forward design, there is a lack of standardized implementation guidance and mature technical support, leading to many problems such as a redundancy of model information, heterogeneity of data information, and low efficiency of transmission. Based on this, this paper proposes a model view delivery method of forward design for prefabricated buildings. Firstly, a simplified assembly model and an assembly knowledge model are designed and extended with IFC (Industry Foundation Classes), then we realize the knowledge visualization expression by combining with an ontology semantic system. For the model view of a prefabricated building domain, this paper realizes the reusable concept module by ontology IDM (Information Delivery Manual) and properties selection of knowledge graphs, and then completes the model view delivery through data mapping and IfcDoc (Ifc Documentation Generator) tool output. Finally, the implementation model of information delivery management for forward design is built with model view delivery as the central link.",10.3390/buildings12081158,0.0
26,"Rezgui, Y; Meziane, F",A Web Services Implementation of a User-Centered Knowledge Management Platform for the Construction Industry,Article,,"The research described in this paper aims at specifying and developing an open model-based infrastructure and a set of tools that promote consistent knowledge management within collaborative environments in the construction sector. The specified solution emerged from a comprehensive analysis of the business and information/ knowledge management practices of four construction organizations and makes use of a construction-specific ontology for specifying adaptive mechanisms that can organize documents according to their content and interdependencies while maintaining their overall consistency. The proposed Webbased infrastructure includes services allowing the creation, capture, indexing, retrieval, and dissemination of knowledge. It also promotes the integration of thirdparty services, including proprietary and legacy tools. The Web-services model is used as the underlying middleware technology that supports the solution. The research is sponsored by the European Commission under the Framework V Programme (Information Society and Technology).",10.4018/jiit.2005100101,0.0
153,"Abdelmegid, MA; O'Sullivan, M; Gonzalez, VA; Walker, CG; Poshdar, M",A case study on the use of a conceptual modeling framework for construction simulation,Article,,"Construction simulation has been an active area of research in the last six decades. Nevertheless, there has been a gap between academia and industry in realizing the capabilities of simulation to support decision-making in construction. One of the well-recognized reasons is the difficulty of undertaking comprehensive simulation studies by construction practitioners, who usually lack sufficient knowledge and skills to adequately build simulation models. Efforts to bridge this gap have been focused on simplifying the computer coding and model implementation stages of construction simulation studies with limited research on the early stage of defining the model and abstracting the system, i.e., conceptual modeling. The conceptual modeling stage is known to be one of the most difficult tasks in a simulation study. Thus, several frameworks to support building conceptual models have been proposed in simulation literature. This study contributes to the research efforts to promote simulation in the construction industry through the adoption of a conceptual modeling framework. It demonstrates the application of the proposed conceptual modeling framework in a case study of piling operations. The findings of this paper reinforced the significance of conceptual modeling by confirming the role of the conceptual model as a communication link between stakeholders. Moreover, the conceptual model was used as a specification document for developing a flexible model that can be replicated in other settings. The use of a documented conceptual model assisted in managing the overall simulation study efficiently, which, in turn, lead to reductions in time and effort for different modeling activities.",10.1177/00375497211056087,0.0
99,"Baek, S; Jung, W; Han, SH","A critical review of text-based research in construction: Data source, analysis method, and implications",Review,,"The advancement of natural language processing and text mining techniques facilitate automatic non-trivial pattern extraction and knowledge discovery from text data. However, text-based research has received less attention compared to image- and sensor-based research in the construction industry. Hence, this paper performs a comprehensive review to understand the current state and future insights of text analytics focusing on the data source and analysis method. This study identifies various kinds of text data sources from project documents as well as open data in the websites. In addition, the review finds that the ontology- and rule-based approach has been dominant, at the same time, recent research has attempted to apply the state-of-the-art machine learning methods. It is envisioned that there are potential advancements in construction engineering and management based on the latest text analysis methods along with the enriched data by the digital transformation.",10.1016/j.autcon.2021.103915,0.0
32,"Xu, S; Liu, KC; Tang, LCM; Li, WZ","A framework for integrating syntax, semantics and pragmatics for computer-aided professional practice: With application of costing in construction industry",Article,,"Producing a bill of quantity is a knowledge-based, dynamic and collaborative process, and evolves with variances and current evidence. However, within the context of information system practice in BIM, knowledge of cost estimation has not been represented, nor has it been integrated into the processes based on BIM. This paper intends to establish an innovative means of taking data from the BIM linked to a project, and using it to create the necessary items for a bill of quantity that will enable cost estimation to be undertaken for the project. Our framework is founded upon the belief that three components are necessary to gain a full awareness of the domain which is being computerised; the information type which is to be assessed for compatibility (syntax), the definition for the pricing domain (semantics), and the precise implementation environment for the standards being taken into account (pragmatics). In order to achieve this, a prototype is created that allows a cost item for the bill of quantity to be spontaneously generated, by means of the semantic web ontology and a forward chain algorithm. Within this paper, 'cost items' signify the elements included in a bill of quantity, including details of their description, quantity and price. As a means of authenticating the process being developed, the authors of this work effectively implemented it in the production of cost items. In addition, the items created were contrasted with those produced by specialists. For this reason, this innovative framework introduces the possibility of a new means of applying semantic web ontology and forward chain algorithm to construction professional practice resulting in automatic cost estimation. These key outcomes demonstrate that, decoupling the professional practice into three key components of syntax, semantics and pragmatics can provide tangible benefits to domain user. (C) 2016 Published by Elsevier B.V.",10.1016/j.compind.2016.08.004,0.0
54,"Park, CS; Lee, DY; Kwon, OS; Wang, X","A framework for proactive construction defect management using BIM, augmented reality and ontology-based data collection template",Article,,"In construction process, defects occur inevitably and repeatedly. It is one of the primary causes of project schedule and cost overruns. Many studies on defect causation analysis and management system have been conducted to facilitate defect measures and rectifications as well as to reduce the reoccurrence of the defect. However, those studies did not sufficiently consider the relationship of defect information flow in the construction process, which resulted in reactive rather than proactive defect management plan. This paper investigates the issues and needs of current defect management practices in the construction industry. It also presents a conceptual system framework for construction defect management that integrates ontology and augmented reality (AR) with building information modeling (BIM). The following three main technical solutions are proposed in the system framework: 1) defect data collection template to assure data quality and accuracy; 2) defect domain ontology to search and retrieve project or work-specific defect information; and 3) AR-based Defect Inspection System to support field defect management. It is envisaged that the system framework and solutions could enable proactive reduction of the defect occurrence during the construction process and that could greatly improve current defect management practices in the construction industry. (C) 2012 Elsevier B.V. All rights reserved.",10.1016/j.autcon.2012.09.010,0.0
