,0
0,Roof Type of building [2.33]
1,Geometry of building [2.43]
2,Number of apartments of building [2.76]
3,Building footprint Area [3.14]
4,Number of stories of building [3.19]
5,Location of building [3.43]
6,"Type of use of building (Office, Housing …) [3.48]"
7,Period of construction of building [3.62]
8,"Type of Intervention (Demolition, Refurbishement...) [3.71]"
9,Surroundings and access of building [3.86]
10,Type of supporting structure of building [4.0]
11,Facade Type of building [4.1]
12,Year of construction of building [4.14]
13,"Start/ Enddate of Intervention (Demolition, Refurbishement...) [4.57]"
