"social factors"
"architectural factors"
"Aesthetic factors"
"market  / economic factors"
"process-oriented factors"
"higher-level / meta-factors"
"Logistical factors"
"Locational factors"
"Temporal factors"
"physical factor"
"Technical factors"
"mechanical factor,"
"Describing factors"
"Quality Factors"
"Quantity factors"
"Ecological factors (CO2, energy)"
"Ecological factor (pollutants, health)"
"chemical factors"
"Deconstructability factors"
"Specification factors"
"material propertie factors"
