,Unnamed: 0.1,Unnamed: 0,Authors,Title,Year,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Type,Article Title,Keywords Plus,Publication Date,Publication Year,DOI Link,Use in Thesis,Priority,Use for Thesis
0,2,83,"Bertin I., Mesnil R., Jaeger J.-M., Feraille A., Le Roy R.",A BIM-based framework and databank for reusing load-bearing structural elements,2020.0,10.3390/SU12083147,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084547037&doi=10.3390%2fSU12083147&partnerID=40&md5=baeed248a596eaed5814397fae95138e,"In a context of intense environmental pressure where the construction sector has the greatest impact on several indicators, the reuse of load-bearing elements is the most promising by avoiding the production of waste, preserving natural resources and reducing greenhouse gas emissions by decreasing embodied energy. This study proposes a methodology based on a chain of tools to enable structural engineers to anticipate future reuse. This methodology describes the design of reversible assemblies, the addition of complementary information in the building information modeling (BIM), reinforced traceability, and the development of a material bank. At the same time, controlling the environmental impacts of reuse is planned by carrying out a life cycle assessment (LCA) at all stages of the project. Two scenarios for reuse design are applied with the toolchain proposed. A. ""design from a stock"" scenario, which leads to 100% of elements being reused, using only elements from stock. B. ""design with a stock"" scenario, which seeks to integrate as many reused elements available in the stock as possible. The case study of a high-rise building deconstructed to rebuild a medium-rise building demonstrated that the developed toolchain allowed the inclusion of all reuse elements in a new structural calculation model. © 2020 by the authors.",Building circular economy; Building information modeling (BIM); Design for reuse; Embodied energy; Greenhouse gas emissions; Life cycle assessment (LCA); Reuse of materials; Sustainable construction,bearing capacity; building construction; database; design method; greenhouse gas; life cycle analysis; loading test; structural analysis,Article,,,,,,,,2,Reuse of structural/ load bearing elements and BIM
1,14,41,"Rakhshan K., Morel J.-C., Daneshkhah A.",A probabilistic predictive model for assessing the economic reusability of load-bearing building components: Developing a Circular Economy framework,2021.0,10.1016/j.spc.2021.01.031,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100375074&doi=10.1016%2fj.spc.2021.01.031&partnerID=40&md5=aa912f8810061cac77df6b30ce5e3aee,"The reuse of load-bearing building components has the potential to promote the circular economy in the building sector. One recent aspect of the efforts to improve reuse rates in buildings is estimating the reusability of the structural elements. This study develops a probabilistic predictive model using advanced supervised machine learning methods to evaluate the economic reusability of the load-bearing building elements. The results of sensitivity analysis and visualization techniques used in this study reveal that the most important economic factor is the need to purchase reused elements early in a project, which could have cash flow implications. The other most important factors are the potential financial risks, the procurement process, and the labour cost. This study unveils that the relationship between variables is not linear, and none of the identified factors could alone determine if an element is reusable or not. This study concludes that the complex interdependencies of factors affecting reuse cause a high level of uncertainty about the feasibility of reusing the load-bearing building structural components from an economic aspect. Nonetheless, this paper reveals that by using the probability theory foundations and combining it with advanced supervised machine learning methods, it is possible to develop tools that could reliably estimate the economic reusability of these elements based on affecting variables. Therefore, the authors suggest utilizing the approach developed in this research to promote the circularity of materials in different subsectors of the construction industry. © 2021 Institution of Chemical Engineers",Building structure; Economic reusability; Gaussian process regression; K-nearest neighbors; Random forest; Supervised machine learning,Bearings (machine parts); Building components; Construction industry; Economic analysis; Predictive analytics; Probability; Reusability; Sensitivity analysis; Supervised learning; Wages; Building structural; Economic factors; Predictive modeling; Probability theory; Procurement process; Structural elements; Supervised machine learning; Visualization technique; Learning systems,Article,,,,,,,,1,Economic reusability of load bearing elements - set of information for reuse
2,15,87,"Sanchez B., Rausch C., Haas C., Saari R.",A selective disassembly multi-objective optimization approach for adaptive reuse of building components,2020.0,10.1016/j.resconrec.2019.104605,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075759267&doi=10.1016%2fj.resconrec.2019.104605&partnerID=40&md5=6fa907511d8ad5a3bea4f24cdc69c385,"Adaptive reuse of buildings plays a key role in the transition from a resource-based economy and towards a Circular Economy (CE) in the construction industry. Adaptive reuse has the potential to maximize the residual utility and value of existing assets through green design methods such as selective disassembly planning. Studies in the field of selective disassembly are scarce and there is no evidence of established methodologies for the optimization of the environmental and financial benefits. A multi-objective analysis is key to obtaining several effective selective disassembly plans for the adaptive reuse of an existing asset through the combination of different deconstruction methods. The analysis is carried out in terms of the physical, environmental, and economic constraints of the deconstruction methods per building component. The Sequential Disassembly Planning for Buildings (SDPB) method is used in order to generate the optimized disassembly plans for retrieving target components. At the end, a weighted multi-objective optimization analysis is incorporated to generate the set of noninferior solutions that minimizes environmental impacts and building cost. The results show that different complete disassembly plans exist for all the possible combinations. The possible combinations are driven by the deconstruction methods per component, as well as the dismantling interdependence. The method described in this study can be used to improve the project outcomes according to specific goals and constraints (e.g. environmental, economic, technical). The results of this study improve the decision-making process for adaptive reuse building projects by adding comprehensive quantitative analysis towards sustainable management and conservation of resources. © 2019 Elsevier B.V.",Adaptive reuse; Building components reuse; Circular economy; Green design; Multi-objective optimization; Selective disassembly planning,Building components; Conservation; Construction industry; Decision making; Ecodesign; Economic analysis; Environmental impact; Historic preservation; Project management; Sustainable development; Adaptive re use; Circular economy; Decision making process; Deconstruction methods; Disassembly planning; Multi-objective analysis; Selective-disassembly; Sustainable management; Multiobjective optimization; architectural design; environmental economics; multiobjective programming; optimization; recycling; structural component; sustainable development; article; decision making; economic aspect; environmental impact; multiobjective optimization; quantitative analysis,Article,,,,,,,,2,"selective disassembly for reuse of building components. Look for information for disassembly, read conclusion, otherwise discard"
6,71,101,"Bertin I., Lebrun F., Braham N., Le Roy R.","Construction, deconstruction, reuse of the structural elements: The circular economy to reach zero carbon",2019.0,10.1088/1755-1315/323/1/012020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073000967&doi=10.1088%2f1755-1315%2f323%2f1%2f012020&partnerID=40&md5=b08b68408c474fc2262cacc3ce86e378,"The research work presented aims at setting up an infinite cycle of use of materials by their reuse and answering in particular to the problems of circular economy. Structural work and foundations represent the majority of the embodied energy of a building. The research effort is therefore focused on the structural elements. Reuse is here defined as the reuse of an element without transformation, unlike recycling which induces a new industrial cycle. It is therefore about reducing the consumption of materials and lowering GHG emissions. Today, it is impossible in France to reuse structures because of responsibilities, insurance and lack of traceability. How to make possible the reuse of structural components in order to reach a low carbon building? The challenge of this work is to find the best structural configuration making the components reuse easier at the EOL. The methodology we are implementing aims to design the structural elements by increasing the BIM parameters (6D, LCA), to attach the mechanical information, material durability, ageing to each object of the digital mock-up. A digital and physical traceability makes it possible to follow the evolution of the element over the years and to feed a database. At the end of its life the database is accessible and searchable for the design of a future building. A development of tools and gateways will then allow from a model of calculation to go to query the database to find an element resulting from the deconstruction that can be reused in the future structure. © 2019 IOP Publishing Ltd. All rights reserved.",,Carbon; Database systems; Emission control; Greenhouse gases; Query processing; Structural design; Sustainable development; Circular economy; Low-Carbon Buildings; Material durability; Research efforts; Structural component; Structural configurations; Structural elements; Structural works; Architectural design,Conference Paper,,,,,,,,3,Read Conclusion and method. Probably too braod.
8,107,15,"Fadai A., Stephan D.",Ecological performance of reusable load-bearing constructions,2022.0,10.1088/1755-1315/1078/1/012123,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139134436&doi=10.1088%2f1755-1315%2f1078%2f1%2f012123&partnerID=40&md5=6060a19bb941edac559d7c8373396e9b,"This study provides an overview of sustainable reusable load-bearing constructions as a contribution to the debate over whether building construction provides the building industry with the best and most environmentally friendly qualities. By contrasting their building-specific features, it demonstrates the benefits and drawbacks of particular structural elements and envelope solutions and ecological aspects using various system boundaries of life-cycle assessment (LCA). Following a careful consideration of ecological factors and sustainable circular economy criteria, a structural component that is sustainably optimized is defined. This component should be chosen based on external conditions. By selecting environmentally friendly building materials and proper connecting procedures that enable separability, resource-efficient and sustainable buildings can be achieved. Both the selection of load-bearing elements and the necessary insulating material have a significant impact on the ecological performance and reusability options of the components. The elements of homogeneity, separability, and pollutantfreeness play a significant influence in the reuse process, namely in terms of details and construction type in general, as well as the ways of reusing and recycling them. Sustainable solutions for load-bearing building components can be created by simultaneously investigating environmentally friendly building materials and the structure of the components. This paper illustrates how the natural resources can be used both optimally and sustainably. It presents a conceptual framework for scenario development of the LCA of load-bearing structures, their effect on the design and decision-making process. There is a potential of increasing total resource efficiency at the building level with a suitable combination of the material components employed at the component level. Because of this, the overall energy efficiency and its consequent ecological impacts are the main topics of this study. © 2022 Institute of Physics Publishing. All rights reserved.",Deconstruction; Recycling; Reduce; Resource Efficiency; Reusable Construction; Reuse; Structural Components; Sustainable Architecture,,Conference Paper,,,,,,,,3,Might help to underline why using steel? Due to it's environmental footprint.
10,118,146,"Hoxha E., Fivet C.",Environmental benefits when reusing load-bearing components in office buildings: A case study,2018.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086590390&partnerID=40&md5=a285c6b50f3a669f0ef6b238c8802148,"This case study applies life-cycle assessment methods to the preliminary design of an office building in order to quantify the benefits achieved when reusing its load-bearing components. Results show that the production of the load-bearing system would account for 40% of the global warming potential indicator. The slabs are responsible for 65% of the environmental impacts among all structural elements and should be considered for reuse first. Compared to traditional constructions built from first-use material, a fictitious reuse of undamaged load-bearing components over three consecutive use cycles would reduce the global warming potential indicator by 25%. The global warming potential of reuse is eventually computed according to three repartition methods, highlighting the need to separate the life-cycle footprints related to production, use, and end-of-life more systematically. © PLEA 2018.All rights reserved.",Building life cycle assessment; Net zero energy building; Reuse,Environmental impact; Global warming; Office buildings; Environmental benefits; Global warming potential; Life Cycle Assessment (LCA); Load-bearing components; Load-bearing systems; Preliminary design; Structural elements; Traditional constructions; Life cycle,Conference Paper,,,,,,,,3,Introduction and Context - underline why important to reuse strucutral elements (in terms of CO2-savings)
11,119,188,"Zygomalas I., Baniotopoulos C.",Environmental impact assessment of end-of-life scenarios for steel buildings,2016.0,10.1080/19648189.2015.1036125,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955332802&doi=10.1080%2f19648189.2015.1036125&partnerID=40&md5=e7dfb3ea37addcc30fc5b65bfad08b8d,"Environmental sustainability requires all business sectors to decrease the environmental impact associated with the delivery of their services and products. An efficient response from the building sector requires research aimed at the minimisation of the environmental impact of buildings throughout their life cycle, from construction to demolition. The end of a buildings service life can critically influence the total environmental impact, particularly with building technologies such as steel construction. The purpose of the current research was the assessment of the environmental impact caused by different end-of-life scenarios as can be applied to steel buildings. An existing residential steel building is used for the calculations, while the results allow for the comparison between the different end scenarios concerning the main structural materials used, namely the structural steel. Conclusions drawn include the formation of a clear perspective on the environmental impact benefits that can be achieved at the end of a steel buildings life cycle and the positive effects of the steel construction technology as applied to building projects in terms of environmental sustainability. The increased potential of the reuse and relocation scenarios in terms of environmental sustainability are also highlighted. © 2015 Taylor & Francis.",end scenarios; environmental impact assessment; life cycle; life cycle assessment (LCA); steel buildings; structural steel,Building materials; Buildings; Construction; Environmental impact assessments; Environmental technology; Life cycle; Steel construction; Sustainable development; Building projects; Building technologies; Construction technologies; end scenarios; Environmental sustainability; Life Cycle Assessment (LCA); Steel buildings; Structural steels; Environmental impact,Article,,,,,,,,3,Introduction and Context - underline why important to reuse structural elements (here steel)
15,146,11,"Kim S., Kim S.-A.",Framework for designing sustainable structures through steel beam reuse,2020.0,10.3390/su12229494,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096054530&doi=10.3390%2fsu12229494&partnerID=40&md5=d9841cfa83eddaa3a6f3de3d54074dda,"The architecture, engineering, and construction sector requires carbon-intensive materials, such as steel, in the construction process and generates a large amount of waste in the life cycle. This causes global warming and waste problems. The demand for the reuse of construction materials is increasing, although it is not the convention, to reduce the environmental impact. Although the sustainable effect of the reuse of materials has been proven in several studies, materials are not always reused in practice, owing to the lack of an information system for reusable materials and the economic uncertainty. In this study, we propose a framework for designing structures using reusable steel beams. The design framework consists of a material bank and a design support tool. The material bank provides information on reusable materials based on the building information modeling. The design support tool generates efficient material procurement plans and provides information about the environmental and economic impact of the project. In a case study used to verify the framework, CO2 emissions were reduced by up to 77% through material reuse, which was consistent with the results of previous studies. However, owing to the cost of processing reusable materials, the overall cost was found to increase by up to about 40%. Therefore, an economic analysis over the entire life cycle when using reusable materials needs to be done. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",Building information modeling; Design for reuse; Life cycle assessment; Life cycle cost; Material bank; Reuse,carbon emission; construction material; economic analysis; economic impact; environmental impact; global warming; life cycle analysis; recycling; steel; sustainability; uncertainty analysis,Article,,,,,,,,2,"Reuse of steel elements, Context Switzerland. Read conclusion "
16,166,14,"Lebosse M., Halin G., Besanfon F., Fuchs A.",Incorporating BIM Practices into Reuse Process of Timber: Propositions of a digital workflow and tool for reclaiming structural pieces of wood,2022.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139777282&partnerID=40&md5=eadabb1cbc86d4925fca6f6864c97596,"In the framework ofa doctoral thesis, we investigate with a digital approach, methods, practices and tools that could support the reuse process of materials, specifically timber resources. We have structured this paper around the study of a digital workflow and tool. More than supplying the thesis working tools, their role is to achieve on-site assessment of wooden structural elements, to reintegrate them into new constructions projects as new timber productsfrom the market. The context of our research is French AEC (Architecture, Engineering and Construction) sector, where we lead interviews and take part in construction projects (case studies). However, we lean as well on the literature review of materials reuse and timber assessment. © 2022, Education and research in Computer Aided Architectural Design in Europe. All rights reserved.",BIM; Circular Economy of Wood; Deconstruction Assessment; Digital Tools and Workflow; Reclaimed Timber; Reuse,,Conference Paper,,,,,,,,2,"Reuse of structural elements, Timber. Interesting: information needed for Reuse of timber elements. Read conclusion, method."
18,202,190,"Keller P., McConnell J., Thostenson E.T., Schumacher T.",Methodology for construction stress evaluation for reuse of structural steel,2016.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019004892&partnerID=40&md5=1c85b6b13b61e961fe6487d21b0cf3e9,"Reuse of structural steel is uncommon despite significant environmental advantages that could be achieved via this practice. The most commonly known reason for this fact is the lack of information about stress history in used structural steel members. To address this deficiency, prior to construction, selected steel members of a steel-framed building were instrumented before they are delivered to the construction site. Continuous strain data was collected during the entire erecting process of the new building using a wireless sensor network to obtain novel information on construction-induced stresses. The collected data will be used to assess the magnitude of construction induced stresses. These stresses are assumed to deviate from design assumptions the most and are therefore the greatest concern for reusing structural steel.",Buildings; Construction; Field monitoring; Reuse; Steel; Strain; Temperature; Wireless sensor network,Building materials; Buildings; Steel; Steel construction; Strain; Sustainable development; Temperature; Wireless sensor networks; Construction sites; Field monitoring; Novel information; Reuse; Steel framed buildings; Stress evaluations; Structural steel members; Structural steels; Construction,Conference Paper,,,,,,,,2,Reuse of structural steel elements - information about stress
