,Unnamed: 0,Authors,Title,Year,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Type,Article Title,Keywords Plus,Publication Date,Publication Year,DOI Link
8,87,"Daneshfar M., Hartmann T., Rabe J.",A GIS-based Ontology for Representing the Surrounding Environment of Buildings to Support Building Renovation,2020.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092140615&partnerID=40&md5=eaf2d0be51ca9d94e7588e8efe7f20e4,"This research focuses on developing an ontology for representing knowledge about the surrounding environment of a building in an urban context, considering the geospatial objects and processes such as built environment, vegetation, population and so on. The ontology can be useful to create a knowledge management system for different experts involved in the process of the building renovation, to extend the information and stretch the domain from the individual building to the environment. Knowledge about what entities and attributes to select is captured based on literature and investigating the pilot demonstration sites. Such an ontology can help to structure the surrounding data to support processes in different stages of the renovation. The final goal is to support planners in decision making process namely in site planning and pre-data collection phase, energy modeling, comfort analysis and so on to control cost and quality. Moreover, it can be valuable in further studies of integrating data of various sources for construction purposes. Copyright © LDAC2020 for this paper by its authors.",Ontology; Residential building renovation; Surrounding environment,Data handling; Decision making; Geographic information systems; Knowledge based systems; Knowledge management; Linked data; Ontology; Quality control; Building renovation; Built environment; Comfort analysis; Decision making process; Geo-spatial objects; Knowledge management system; Pilot demonstrations; Surrounding environment; Buildings,Conference Paper,,,,,,
14,362,"Rezgui Y., Meziane F.",A Web Services Implementation of a User-Centered Knowledge Management Platform for the Construction Industry,2005.0,10.4018/jiit.2005100101,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85001759497&doi=10.4018%2fjiit.2005100101&partnerID=40&md5=ad34831f93ee9de6867ead24233722ae,"The research described in this paper aims at specifying and developing an open model-based infrastructure and a set of tools that promote consistent knowledge management within collaborative environments in the construction sector. The specified solution emerged from a comprehensive analysis of the business and information/knowledge management practices of four construction organizations and makes use of a construction-specific ontology for specifying adaptive mechanisms that can organize documents according to their content and interdependencies while maintaining their overall consistency. The proposed Web-based infrastructure includes services allowing the creation, capture, indexing, retrieval, and dissemination of knowledge. It also promotes the integration of third-party services, including proprietary and legacy tools. The Web-services model is used as the underlying middleware technology that supports the solution. The research is sponsored by the European Commission under the Framework V Programme (Information Society and Technology). © 2005, IGI Global. All rights reserved.",Inernet-based services; information engineering; knowledge management; knowledge-based systems,,Article,,,,,,
17,38,"Baek S., Jung W., Han S.H.","A critical review of text-based research in construction: Data source, analysis method, and implications",2021.0,10.1016/j.autcon.2021.103915,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114159730&doi=10.1016%2fj.autcon.2021.103915&partnerID=40&md5=21e4581ca845fa8ed281b81b649232d2,"The advancement of natural language processing and text mining techniques facilitate automatic non-trivial pattern extraction and knowledge discovery from text data. However, text-based research has received less attention compared to image- and sensor-based research in the construction industry. Hence, this paper performs a comprehensive review to understand the current state and future insights of text analytics focusing on the data source and analysis method. This study identifies various kinds of text data sources from project documents as well as open data in the websites. In addition, the review finds that the ontology- and rule-based approach has been dominant, at the same time, recent research has attempted to apply the state-of-the-art machine learning methods. It is envisioned that there are potential advancements in construction engineering and management based on the latest text analysis methods along with the enriched data by the digital transformation. © 2021 Elsevier B.V.",Construction; Data source; Natural language processing; Review; Text analysis method; Text mining; Text-based research; Unstructured text data,Construction; Construction industry; Data mining; Learning algorithms; Learning systems; Metadata; Open Data; Project management; Reviews; Construction data; Critical review; Data-source; Language processing; Natural languages; Text data; Text-analysis methods; Text-based research; Text-mining; Unstructured text data; Natural language processing systems,Review,,,,,,
24,27,"Jiang X., Wang S., Liu Y., Xia B., Skitmore M., Nepal M., Ghanbaripour A.N.",A method for the ontology-based risk management of PPP construction projects,2022.0,10.1108/CI-02-2022-0029,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134948949&doi=10.1108%2fCI-02-2022-0029&partnerID=40&md5=b412446a8a00d03e14d8f65c3daa35be,"Purpose: With the increasing complexity of public–private partnership (PPP) projects, the amount of data generated during the construction process is massive. This paper aims to develop a new information management method to cope with the risk problems involved in dealing with such data, based on domain ontologies of the construction industry, to help manage PPP risks, share and reuse risk knowledge. Design/methodology/approach: Risk knowledge concepts are acquired and summarized through PPP failure cases and an extensive literature review to establish a domain framework for risk knowledge using ontology technology to help manage PPP risks. Findings: The results indicate that the risk ontology is capable of capturing key concepts and relationships involved in managing PPP risks and can be used to facilitate knowledge reuse and storage beneficial to risk management. Research limitations/implications: The classes in the risk knowledge ontology model constructed in this research do not yet cover all the information in PPP project risks and need to be further extended. Moreover, only the framework and basic methods needed are developed, while the construction of a working ontology model and the relationship between implicit and explicit knowledge is a complicated process that requires repeated modifications and evaluations before it can be implemented. Practical implications: The ontology provides a basis for turning PPP risk information into risk knowledge to allow the effective sharing and communication of project risks between different project stakeholders. It can also have the potential to help reduce the dependence on subjectivity by mining, using and storing tacit knowledge in the risk management process. Originality/value: The apparent suitability of the nine classes of PPP risk knowledge (project model, risk type, risk occurrence stage, risk source, risk consequence, risk likelihood, risk carrier, risk management measures and risk case) is identified, and the proposed construction method and steps for a complete domain ontology for PPP risk management are unique. A combination of criteria- and task-based evaluations is also developed for assessing the PPP risk ontology for the first time. © 2022, Emerald Publishing Limited.",Domain ontology; Project management; Public–private partnership; Risk knowledge; Risk management; Rule-based reasoning,Construction industry; Digital storage; Information management; Ontology; Project management; Risk assessment; Construction projects; Domain ontologies; Ontology model; Ontology-based; Project risk; Public/private partnerships; Risk knowledge; Risk ontologies; Risks management; Rule-based reasoning; Risk management,Article,,,,,,
31,104,"Zhong B., Wu H., Li H., Sepasgozar S., Luo H., He L.",A scientometric analysis and critical review of construction related ontology research,2019.0,10.1016/j.autcon.2018.12.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060345120&doi=10.1016%2fj.autcon.2018.12.013&partnerID=40&md5=36e5c5214448eee0244171720d4f584b,"There is a wide range of literature on adopting ontology to solve construction problems, but no review of existing studies has systematically analyzed and visualized the trends in ontology research. This study reviews ontology research mainly published in the Scopus database from 2007 to 2017 with the combination of scientometric analysis and critical review. Scientometric analysis (e.g. co-author, co-word, co-citation, and clusters) objectively visualized the research status quo while a critical review was used to identify the research themes and challenges of ontology research in the construction industry. The results identified a large network of co-authors in this field to understand collaboration relationships. Over half the papers (53%) were published by the following three countries: the United States, the United Kingdom, and Canada. The top co-occurring keywords were “project management” at which ontology facilitates knowledge management and information retrieval. When the time factor was taken into consideration, keywords naturally evolved from “project management” and “knowledge management” to “building information modeling” and “compliance control” with the successful adoption of information techniques in the construction industry. Four research themes were identified with the combination of cluster analysis and critical review: “Domain ontology” “Industry foundation classes” “Automated compliance checking” and “Building information modeling”. This review provides an in-depth understanding of existing ontology research and indicates the emerging trends in this research domain. © 2019 Elsevier B.V.",CiteSpace; Construction industry; Ontology; Research trends; Scientometrics,Architectural design; Cluster analysis; Compliance control; Construction industry; Information theory; Knowledge management; Ontology; Automated compliance checking; Building Information Model - BIM; Citespace; In-depth understanding; Industry Foundation Classes - IFC; Information techniques; Research trends; Scientometrics; Project management,Review,,,,,,
41,348,"Hu J., Liao W.H., Dai Y., Guo H.",A study on ontology-based modeling technologies for the construction machinery conceptual design knowledge management,2006.0,10.4028/0-87849-999-7.361,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745632101&doi=10.4028%2f0-87849-999-7.361&partnerID=40&md5=8e18f02542c14a06c957474d6d5062d2,"Few existing systems can support the reuse of conceptual design knowledge due to the lack of satisfying modeling technologies. In the present study, we investigated the ontology-based modeling technologies and apply them to develop a framework of conceptual design knowledge management. The practicability and validity of our framework were then examined in a Construction Machinery Design Knowledge Management System.",Conceptual design knowledge; Construction machinery; Knowledge management framework; Ontology-based modeling,Computer aided design; Construction industry; Knowledge engineering; Machine design; Mathematical models; Conceptual design knowledge; Construction machinery; Knowledge management framework; Ontology-based modeling; Machine components,Conference Paper,,,,,,
53,73,"Mirarchi C., Lucky M.N., Ciuffreda S., Signorini M., Lupica Spagnolo S., Bolognesi C., Daniotti B., Pavan A.",An approach for standardization of semantic models for building renovation processes,2020.0,10.5194/isprs-archives-XLIII-B4-2020-69-2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091582854&doi=10.5194%2fisprs-archives-XLIII-B4-2020-69-2020&partnerID=40&md5=1e39a96d62a06233f97cc95774a4c14f,"The design and maintenance of buildings and infrastructures relies on digital tools such as Computer-Aided Design (CAD), Building Information Modelling (BIM) methods, Geographic Information System (GIS) datasets and other kinds of digital representation of knowledge. The innovations in digital technologies in Architecture, Engineering, Construction and Operations (AECO) sector are not just related to the enhancement of consolidated processes, but they open new collaboration methods and integration with other Information and Communication Technologies (ICT) such as Internet of Things (IoT), additive manufacturing, automation, augmented reality and artificial intelligence. As domain-specific software solutions are expanding their features over different sources and datasets, the need for integration and standardization of information storage and exchange arises. Semantic Web technologies are one of the emerging solutions for solving such issues, as they offer the possibility to combine data from diverse data models and multiple domains using the web. Among the ontologies developed in the last decade for the construction sector, one specific reference should be made on the ifcOWL, an IFC-based ontology representing the most used data schema industry. Nonetheless, from the standardization point of view, so far ontologies have not been considered among the standard methods for information exchange in the AEC, unlike in other sectors (e.g. ISO 15926 was firstly developed for the integration of life cycle data for process plants of oil and gas facilities). This paper aims at showing a standardization and harmonization perspective for ontologies in the AECO industry, starting from the results achieved in the BIM4EEB project. © 2020 Authors.",BIM; linked data; Ontologies; Semantic modelling; Standardization,3D printers; Artificial intelligence; Augmented reality; Computer aided design; Construction industry; Digital devices; Digital storage; Integration; Internet of things; Life cycle; Ontology; Standardization; Building Information Modelling; Construction sectors; Digital representations; Digital technologies; Information and Communication Technologies; Information exchanges; Internet of Things (IOT); Semantic Web technology; Architectural design,Conference Paper,,,,,,
54,254,"Schwinn M., Kuhn N., Richter S.",An approach to a graphical query editor: For ontology-based knowledge management,2011.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862183201&partnerID=40&md5=39d3e51ef7c01687cc5616ffc3af0aa1,"The OnToBau research project aims to provide a way to classify, archive and effectively use business knowledge with the assistance of an ontology-based knowledge archive for small and medium companies of the construction industry. This archive is intended to pro-actively provide users with information which will assist them in their daily business process handling. The targeted system consists of four main parts. In this paper we mainly discuss a component for querying ontologies easily. We claim that such a component should allow graphical queries in order to be suitable for non-experienced users in our application domain and we present our approach to a visual query system and sketch how this can be embedded in the worker's environment. This graphical interface will allow a knowledge worker to actively search for information in an ontology and is a first step to a personal agent.",Ambient user support; Graphical query language; Knowledge management; Ontology; Visual query system,Application domains; Business knowledge; Business Process; Graphical interface; Graphical query; Graphical query languages; Knowledge workers; Ontology-based; Personal Agent; Querying ontologies; User support; Visual query system; Construction industry; Information analysis; Knowledge management; Ontology; Query languages; Management science,Conference Paper,,,,,,
66,379,"Katranuschkov P., Gehre A., Scherer R.J.",An ontology framework to access IFC model data,2003.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942699959&partnerID=40&md5=9215876983f434209a06f8b517075da7,"In the last decade several research and development projects have shown that product data technology (PDT) can successfully and beneficially replace the traditional document-centred approach to project realisation. Today, with the development of the IFC project model by the IAI, the product modelling paradigm is being rapidly introduced in commercial software as well. However, actual PDT application in the AEC domain is still limited to CAD data exchange and some basic project-centred data management facilities. There is a great need of human-centred product model services supporting the engineer with additional knowledge about the models, providing customisable user-friendly capabilities for management and modification of the data, and enabling structured access to the information on the project(s) he is working on. These issues have motivated the development of an ontology framework that can serve as advanced user gateway to product model data. The suggested approach draws upon recent ICT achievements, especially regarding IFC environments. In this paper we present the rationale, the principal design, and the technical structure of the ontology framework based on the XML schema specification. Further on, we explain its software realisation, provide examples of its current application and outline possibilities for its further development and envisaged broader usage. Reported is research work performed in conjunction with the EU ISTforCE project (IST-1999-11508).",Engineering Data Browser; IFC; Model-Based eWork; Ontology; XML Schema,Computer aided design; Information management; Information technology; Mathematical models; Product development; Project management; XML; Data exchange; Data management; Engineering data browsers; Ontology; Construction industry,Article,,,,,,
73,195,"Das M., Cheng J.C.P., Law K.H.",An ontology-based web service framework for construction supply chain collaboration and management,2015.0,10.1108/ECAM-07-2014-0089,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942112325&doi=10.1108%2fECAM-07-2014-0089&partnerID=40&md5=85358bfe3d24642ce2270dfb669b4023,"Purpose - The purpose of this paper is to present a framework for integrating construction supply chain in order to resolve the data heterogeneity and data sharing problems in the construction industry. Design/methodology/approach - Standardized web service technology is used in the proposed framework for data specification, transfer, and integration. Open standard SAWSDL is used to annotate web service descriptions with pointers to concepts defined in ontologies. NoSQL database Cassandra is used for distributed data storage among construction supply chain stakeholders. Findings - Ontology can be used to support heterogeneous data transfer and integration through web services. Distributed data storage facilitates data sharing and enhances data control. Practical implications - This paper presents examples of two ontologies for expressing construction supply chain information - ontology for material and ontology for purchase order. An example scenario is presented to demonstrate the proposed web service framework for material procurement process involving three parties, namely, project manager, contractor, and material supplier. Originality/value - The use of web services is not new to construction supply chains (CSCs). However, it still faces problems in channelizing information along CSCs due to data heterogeneity. Trust issue is also a barrier to information sharing for integrating supply chains in a centralized collaboration system. In this paper, the authors present a web service framework, which facilitates storage and sharing of information on a distributed manner mediated through ontology-based web services. Security is enhanced with access control. A data model for the distributed databases is also presented for data storage and retrieval. © Emerald Group Publishing Limited.",Collaboration; Construction supply chain; Data mediation; Ontology; Semantic web services; Supply chain integration,Access control; Construction industry; Data integration; Data Sharing; Data transfer; Digital storage; Information dissemination; Integration; Ontology; Purchasing; Semantic Web; Storage (materials); Storage as a service (STaaS); Supply chains; Web services; Websites; Collaboration; Construction supply chain; Data mediation; Design/methodology/approach; Distributed data storages; Supply-chain integration; Web service description; Web service technology; Distributed database systems,Article,,,,,,
74,237,"Saba F., Mohamed Y.",An ontology-driven framework for enhancing reusability of distributed simulation modeling of industrial construction processes,2013.0,10.1139/cjce-2011-0489,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884482197&doi=10.1139%2fcjce-2011-0489&partnerID=40&md5=8a342733717e4d24b59ea23d358600f8,"This paper describes an ontology-driven framework for developing distributed simulation modeling of construction processes. The research described in the paper is motivated by the necessity of knowledge sharing between distributed simulation modeling collaborators, and reuse and portability challenges in construction simulation models. Our approach addresses these challenges through ontological modeling and linking of construction simulation modeling components including (i) ontology of construction process, (ii) ontology of simulation world view, and (iii) ontology of distributed simulation modeling application tool. Within the paper, ontology driven approach and mapping of ontologies for information transference between simulation components has been described. Another discussed application of ontologies is structuring of simulation modeling development through use of reusable elements. A large-scale distributed simulation model of industrial construction processes has been outlined to illustrate the application of the approach.",Industrial construction; Ontology; Reusability; Simulation modeling,Computer simulation; Computer software reusability; Construction; Reusability; Application of ontologies; Construction process; Construction simulation; Distributed simulation modeling; Industrial construction; Knowledge-sharing; Ontological modeling; Simulation components; Ontology; construction; construction industry; construction method; modeling; simulation,Article,,,,,,
75,92,"Di Martino B., Mirarchi C., Ciuffreda S., Pavan A.",Analysis of Existing Open Standard Framework and Ontologies in the Construction Sector for the Development of Inference Engines,2020.0,10.1007/978-3-030-22354-0_77,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068437624&doi=10.1007%2f978-3-030-22354-0_77&partnerID=40&md5=f1b93ed42a255dbd8152cadb3d74b008,"The definition of shared dictionaries able to facilitate communication in the construction sector has been an open issue long since. The advent of ICT highlighted the existing issues imposing new challenges to allow the communication between systems. Nowadays, the digital transformation in the construction sector is led by Building Information Modelling. Several efforts have been spent both in research and industry developing open standards like the industry foundation classes and related ontologies to empower interoperability. However, this paper highlights the obstacles limiting use and exchange of information at the state of the art. © 2020, Springer Nature Switzerland AG.",,Industrial research; Ontology; Building Information Modelling; Construction sectors; Digital transformation; Exchange of information; Industry Foundation Classes - IFC; Open Standards; State of the art; Construction industry,Conference Paper,,,,,,
82,19,"Sadeghineko F., Kumar B.",Application of semantic Web ontologies for the improvement of information exchange in existing buildings,2022.0,10.1108/CI-03-2021-0058,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111498307&doi=10.1108%2fCI-03-2021-0058&partnerID=40&md5=c1b72786cc6a3f3f09580f13efc7970b,"Purpose: Facilitating the information exchange and interoperability between stakeholders during the life-cycle of an asset can be one of the fundamental necessities for developing an enhanced information exchange framework. Such a framework can also improve the successful accomplishment of building projects. This paper aims to use Semantic Web technologies for facilitating information exchange within existing building projects. Design/methodology/approach: In real-world building projects, the construction industry’s information supply chain may initiate from near scratch when new building projects are started resulting in diverse data structures represented in unstructured data sources, like Excel spreadsheets and documents. Large-scale data generated throughout a building's life-cycle requires exchanging and processing during an asset's Operation and Maintenance (O&M) phase. Building information modelling (BIM) processes and related technologies can address some of the challenges and limitations of information exchange and interoperability within new building projects. However, the use of BIM in existing and retrofit assets has been hampered by the challenges surrounding the limitations of existing technologies. Findings: The aim of this paper is twofold. Firstly, it briefly outlines the framework previously developed for generating semantically enriched 3D retrofit models. Secondly, a framework is proposed focussing on facilitating the information exchange and interoperability for existing buildings. Semantic Web technologies and standards, such as Web Ontology Language and existing AEC domain ontologies are used to enhance and improve the proposed framework. Originality/value: The proposed framework is evaluated by implementing an example application and the Resource Description Framework data produced by the previously developed framework. The proposed approach makes a valuable contribution to the asset/facilities management (AM/FM) domain. It should be of interest to various FM practices for existing assets, such as the building information/knowledge management for design, construction and O&M stages of an asset’s life-cycle. © 2021, Emerald Publishing Limited.",Building Information Modelling (BIM); Industry Foundation Classes (IFC); Information exchange and interoperability; Point Cloud Data (PCD); Resource Description Framework (RDF); Semantic Web technologies; Web Ontology Language (OWL),Construction; Construction industry; Information dissemination; Interoperability; Life cycle; Ontology; Retrofitting; Semantic Web; Spreadsheets; Structural design; Supply chains; Building Information Modelling; Design/methodology/approach; Information exchange framework; Information supply chain; Operation and maintenance; Resource description framework; Semantic Web ontologies; Semantic Web technology; Architectural design,Article,,,,,,
88,120,Schneider G.F.,"Automated ontology matching in the architecture, engineering and construction domain - A case study",2019.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068745492&partnerID=40&md5=a1e14cac474203f77af6e1a7a75e83c0,"The ontology-based modelling of the built environment is deemed promising to successfully integrate disparate knowledge silos and has gained significant attraction in industry and academia. This interest has led to a proliferating number of ontologies and the manual definition of schema level alignments among them is a tedious task. Hence, this paper explores the possibilities of automated ontology matching methods in this regard. This work compares manually created and automatically generated alignments of six domain ontologies to the building topology ontology. The initial findings of this case study indicate that current state of the art ontology matching tools are in principle capable of detecting automatically correct alignments and that their is a strong need to define domain specific benchmarks. © 2019 CEUR-WS. All rights reserved.",Architecture; Automated Ontology Matching; Building Topology Ontology; Construction; Engineering; Facility Management; Heterogeneity,"Architecture; Automation; Construction; Data handling; Engineering; Linked data; Office buildings; Topology; Architecture , engineering and constructions; Automatically generated; Built environment; Domain ontologies; Facility management; Heterogeneity; Ontology matching; State of the art; Ontology",Conference Paper,,,,,,
101,63,"El Asri H., Jebbor F., Benhlima L.",Building a Domain Ontology for the Construction Industry: Towards Knowledge Sharing,2021.0,10.1007/978-3-030-73882-2_97,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111245375&doi=10.1007%2f978-3-030-73882-2_97&partnerID=40&md5=42c7a11122be6466d9950c186a6fa9ec,"As the construction industry has crucial interplays with many related fields, all in a constant state of flux, the use of a domain ontology to capture various relevant entries from related subdomains has become of paramount importance. The purpose of this article is to conceptualize the utility of ontologies in the construction industry as a solution for inter-sectorial transactions. Thereafter, upon presenting the process of ontology development, a real-life company was taken as a case study to implement the developed ontology. The purpose behind this study is to fully automate the generation of a domain ontology from Excel to OWL files. The methodology and process followed are thoroughly explained in the paper. The process is meant to be generic in such a way it could be reused in other projects for other industries, provided that the data is hierarchical and presented under Excel. © 2021, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Construction; Domain ontology; Knowledge sharing,,Conference Paper,,,,,,
103,53,"Sauter E.M., Lemmens R.L.G., Pauwels P.",CEO & CAMO ontologies: A circulation medium for materials in the construction industry,2019.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063937015&partnerID=40&md5=4abd842f3cffd7a9ba96ebfe58b486e3,"This paper evaluates the potential of semantic technologies to facilitate building material circulation in the construction industry within the Circular Economy (CE) context. It suggests building material passports as a data source for the materials to be circulated and then integrates them by means of Linked Data.A common language is proposed to combine and re-use the material data in the CE with the creation of two ontologies: Circular Exchange Ontology (CEO) and the Circular Materials and Activities Ontology (CAMO). The ontologies annotate materials under a CE classification scheme and describe the elements required for material exchange to occur: actors, the activities they perform and the referents of these activities (resources, products, tools and waste).An evaluation of the ontologies is made by means of use case-driven SPARQL queries. Further, a wide-scale evaluation addresses how a decentralized data ecosystem can enable users to publish information and dynamically interact with different repositories to exchange materials. Results indicate that these ontologies can foster a circulation medium between diverse construction industry resources. Future work contemplates validation of both ontologies in a real-world-setting with computer scientists and companies in the construction sector in the Benelux area. © 2019 Taylor & Francis Group, London",,Building materials; Construction industry; Life cycle; Semantics; Circular economy; Classification scheme; Common languages; Computer scientists; Construction sectors; Material circulation; Real world setting; Semantic technologies; Ontology,Conference Paper,,,,,,
