,Item Type,Author,Title,Publication Title,ISSN,DOI,Abstract Note,Date,Notes,Use in Thesis,Priority,Use for Thesis
0,journalArticle,"Benachio, Gabriel Luiz Fritz; Freitas, Maria do Carmo Duarte; Tavares, Sergio Fernando",Circular economy in the construction industry: A systematic literature review,Journal of Cleaner Production,09596526,10.1016/j.jclepro.2020.121046,"The Construction Industry is responsible for over 30% of the extraction of natural resources, as well as 25% of solid waste generated in the world. This happens because the construction sector mostly adopts a linear economic model of “take, make, dispose”, using materials to the construction of buildings and disposing them at the end of life, since they are assembled for one time use and don’t retain potential for reuse. Over the last decades, a paradigm shift has been occurring in the industry at large, with the adoption of a Circular Economy model, that aims at keeping the materials in a closed loop to retain their maximum value, therefore with a greater potential of reducing the waste generation and resources extraction for the Construction Industry. This article aims at ﬁnding the recent developments of how Circular Economy can be used inside the construction industry. To achieve this goal, a systematic literature review was conducted, including 45 articles that were divided into six areas of research: development of Circular Economy, reuse of materials, material stocks, Circular Economy in the built environment, LCA analysis and material passport. An analysis of the content of these articles was made and the knowledge gaps in this area were identiﬁed, as well as table with known Circular Economy practices for the Construction Industry was created divided by life cycle stages. Finally, a discussion of each area of research and their ﬁndings is made.",2020-07,,,2.0,Introduction - Explanation of CE and role of Reuse
1,journalArticle,"Aldebei, Faisal; Dombi, Mihály",Mining the Built Environment: Telling the Story of Urban Mining,Buildings,2075-5309,10.3390/buildings11090388,"Materials are continuously accumulating in the human-built environment since massive amounts of materials are required for building, developing, and maintaining cities. At the end of their life cycles, these materials are considered valuable sources of secondary materials. The increasing construction and demolition waste released from aging stock each year make up the heaviest, most voluminous waste outﬂow, presenting challenges and opportunities. These material stocks should be utilized and exploited since the reuse and recycling of construction materials would positively impact the natural environment and resource efﬁciency, leading to sustainable cities within a grander scheme of a circular economy. The exploitation of material stock is known as urban mining. In order to make these materials accessible for future mining, material quantities need to be estimated and extrapolated to regional levels. This demanding task requires a vast knowledge of the existing building stock, which can only be obtained through labor-intensive, time-consuming methodologies or new technologies, such as building information modeling (BIM), geographic information systems (GISs), artiﬁcial intelligence (AI), and machine learning. This review paper gives a general overview of the literature body and tracks the evolution of this research ﬁeld.",2021-09-01,,,1.0,Introduction - Context for Research
2,document,"Heinrich, Matthias",Material flows of the German building sector,,,,"According to estimates of the German Federal Ministry for the Environment, the German building stock contains around 10.5 billion tonnes of mineral building materials, around 220 million tonnes of timber products and around 100 million tonnes of metals. Due to continuous building activities, especially renovation and retrofit measures, it is estimated that this raw material stock will grow by a further 20 % until 2050 [1]. Every year more than 450 million tonnes (5.6 t/person) of mineral raw materials (e.g. sand, gravel) and more than 15.5 million tonnes (194 kg/person) of metals (e.g. steel, aluminium, copper) are required within the sector for maintaining and constructing new buildings. The focus of this paper is the analysis of construction related raw material flows using material flow analysis (MFA) in Germany. To provide system control options in a circular economy, a deeper knowledge about material flows and stocks is required. A large range of statistical data (e.g. production, import/export, waste etc.) was evaluated and disaggregated, to investigate the impact and self-supply potential through secondary materials, of the German building industry. Currently, the demand cannot be covered by recycled materials leaving the building sector and further primary raw materials are needed. Potentially, only 18 % of the mineral raw materials can be substituted by recycled construction waste. In contrast, for steel and aluminium the substitution rate has reached levels over 40 %.",,,,3.0,Introduction - Context Steel Reuse and Material Flows
3,document,"Gobbo, Emilie; Ghyoot, Michaël; Paduart, Anne; Nasseredine, Mona",REUSE IN ENVIRONMENTAL IMPACT ASSESSMENT TOOLS A prospective report,,,,"Actors in the construction industry are increasingly	 required	 to	take	 into	account	 the	environmental impacts of building projects. Initially seen mostly	(if	not	only)	through	the	lens	of	energy	efficiency during the use phase, this concern is now being extended to include the whole life cycle of buildings	 and	their	 components.	 More	 specifically, the environmental impacts arising from the manufacturing of building materials have become a major point of attention. Since the production stage of the building materials can comprise up to 50% of all the environmental impacts of new and low energy buildings throughout their whole life-cycle [Douguet, 2021], this represents important leverage to minimise the environmental damage of the construction industry. In this regard, reusing1 building materials and components	 is	a	particularly	 efficient	 strategy	 for cutting down these impacts. Indeed, reusing existing elements prevents having to produce new ones and, therefore, avoids all the impacts related to their manufacture. Most of the time, the operations needed to reclaim a material (cleaning, sorting,	 restoring,	 etc.)	 are	quite	 light	 and	mostly	 labour-intensive (rather than energy-intensive). Reuse also fosters a local economy and enables the preservation of the cultural value embedded in building materials. Over the last few years, various organisations have	 developed	 different	 tools	 aimed	 at	assisting	 project developers in assessing (and by extension improving) the environmental impact of their building, including regarding the choice of building materials and components. In this report, we analyse environmental impact assessment (EIA) tools from a triple perspective: Introduction 1. Set the general context and understand how they work. 2. Understand if and how they model the environmental	 impacts	 and	 benefits	 of	 reusing building materials. 3. Learn from good practices to foster the further adoption of reuse practices by construction professionals. The report is a deliverable of the FCRBE project, an Interreg NWE project aiming at developing reuse practices within the construction industry.	 More	 specifically,	 it	is	part	 of	a	facet	 of	 this project addressing the roll-out of reuse practices in the long term. For the construction industry to adopt more systematically reuse practices, it needs a general context favourable to reuse. This entails, among other things: • The development and implementation of reuse-friendly public policies (addressed in the FCRBE deliverable LT 1.1) • An	acknowledgement	 of	the	benefits	 of	 reuse strategies in green building rating systems (addressed in the FCRBE deliverable LT 1.3) • A close incorporation of reuse considerations in environmental-impact modelling and decision-making tools used by project developers (the topic of the present report).",,,,3.0,Introduction - Why Reuse is important and it's impact
4,document,,"INTERREG - Digital products, services and tools supporting the recovery of building materials sourced from deconstruction operations",,,,"This report consists in a review of digital products, services and tools already available in the market or in development that support the recovery of building materials sourced from deconstruction operations. Every product, service or tool is briefly explained with the help of information such as used technologies, explanation on how the products can help the recovery of reclaimed product, etc. This review does not pretend to be exhaustive, but hopes to give an overview of what new digital technologies can bring to the world of repair, reclaim, reuse and recycle.",,,,2.0,Introduction - Context of digitization and Reuse
5,book,"Mulhall, Douglas; Braungart, Michael; Hansen, Katja",Creating buildings with positive impacts,,,,No Abstract,2019,,,3.0,tbd
6,journalArticle,"Durmisevic, Elma",Dynamic and Circular Buildings by High Transformation and Reuse Capacity - Elma Durmisevic,,,,No Abstract,2016,,,1.0,Reusability
7,journalArticle,"Durmisevic, Elma",REVERSIBLE BUILDINGS,,,,No Abstract,,,,1.0,Reusability
8,journalArticle,"Sassanelli, Claudio; Rosa, Paolo; Rocca, Roberto; Terzi, Sergio",Circular economy performance assessment methods: A systematic literature review,Journal of Cleaner Production,0959-6526,10.1016/j.jclepro.2019.05.019,"The depletion of resources and the downgrading of the environment, driven by globalization and consumerism phenomena, is worldwide pushing the interest on the Circular Economy (CE) concept. Supposed to substitute the end-of-life notion with restoration and closed-loop product lifecycles, CE wants to eliminate wastes, retain the value embedded into products and materials, foster the use of renewable energies and eliminate toxic chemicals. However, the measurement and assessment of circularity performances are not yet a common practice in companies. To this aim, the paper wants to detect, through a systematic literature review, which are the existing CE performance assessment methods proposed in literature and, based on key findings, develop a positioning framework for measuring and assessing the circularity degree of a company.",2019-08-20,,,3.0,Introduction - Explanation of CE
9,conferencePaper,"Durmisevic, Elma",Systemic view on Reuse Potential of building elements components and systems - Comprehensive Framework for assessing Reuse Potential of Building Elements,,,,"The physical impact of the increasing building mass in industrial and developing parts of the world is undeniable. In Europe, the building industry accounts for 38 percent of the total waste production, 40 percent of the CO2 emissions and 50 percent of all natural resources used within the building sector. (EIB 2015) Such negative impact of the construction sector is primarily related to the fact that built environment has been optimized for a linear system and one end of life option, demolition. The design of building products with high reuse potential is a necessity to move towards a construction industry that (1) creates building products with an increasing resource productivity; (2) is less dependent on virgin resources and; (3) contributes to the elimination of the concept of waste. As part of the EU Buildings as Material Banks project this paper will discuss the broader framework of a tool that will be able to assess reuse potential of building and its components and enhance their future environmental and economic value propositions. Due to the systemic nature of the tool the paper will showcase several case projects and the assessment of reuse potential indicators, measuring functional, technical and material dependences on three levels of a building’s composition (i.e. building, system, and component). Further to this the relation will be made between indicators of reuse potential with different value propositions based on which the framework for measuring environmental and economic impact of different reuse options will be established. Finally the paper will elaborate on gaps between design related data and existing capacity of Building Information Modeling (BIM) for the purpose of integrating the Reuse Potential Tool with BIM .",2017-06-23,,,1.0,Reusability
