Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Zhao M., Lv X., Jia Y.","57899589500;55577496200;36461346000;","Development and performance of direct unsymmetrical dimethylhydrazine fuel cells",2022,"Electrochemistry Communications","142",,"107372","","",,,"10.1016/j.elecom.2022.107372","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138464414&doi=10.1016%2fj.elecom.2022.107372&partnerID=40&md5=8a41a6c0ed4b75ea09e0d409379bb165","Xi'an High Technology Institute, Xi'an, 710025, China","Zhao, M., Xi'an High Technology Institute, Xi'an, 710025, China; Lv, X., Xi'an High Technology Institute, Xi'an, 710025, China; Jia, Y., Xi'an High Technology Institute, Xi'an, 710025, China","In this paper, a direct unsymmetrical dimethylhydrazine/H2O2 fuel cell based on a Nafion membrane and Pt/C catalyst is developed, focusing on the effects of different operating parameters on the cell performance, including the cell operating temperature, the concentration of added electrolyte (NaOH, H2SO4), the concentration of oxidant (H2O2), and the volume flow rate of the feed. The experimental results show that the direct unsymmetrical dimethylhydrazine fuel cell reaches a maximum power density of 129 mW.cm−2 at a current density of 234 mA.cm−2, a limiting current density of about 420 mA.cm−2, and an open circuit voltage of up to 1.37 V. The cell performance reaches a good state at a NaOH concentration of 2.0 M and 5.0 M in the low and high current density region, respectively. This study provides a new pathway to the reuse of highly concentrated unsymmetrical dimethylhydrazine waste fluid generated in military and space launch missions. © 2022 The Author(s)","Fuel cell Unsymmetrical dimethylhydrazine Hydrogen peroxide Cell performance","Current density; Electrolytes; Open circuit voltage; Sodium hydroxide; Steel beams and girders; Cell performance; Cell-based; Cells operating temperature; Dimethylhydrazine; Fuel cell unsymmetrical dimethylhydrazine hydrogen peroxide cell performance; Nafion membrane; Operating parameters; Performance; Pt/C catalysts; Volume flow rate; Fuel cells",Article,"Final","",Scopus,2-s2.0-85138464414
"Ibragimov A., Zinoveva E., Rosinsky S., Gnedina L.","57189524528;57205226545;57351510900;57200283960;","Prefabricated Steel Structures with a Corrugated Web (Part 2. Load-Bearing Capacity of a Steel Beam with a Profiled Sheet Web)",2022,"Lecture Notes in Civil Engineering","170",,,"347","358",,,"10.1007/978-3-030-79983-0_33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119839477&doi=10.1007%2f978-3-030-79983-0_33&partnerID=40&md5=a9dbd2dc9df68bfc33469ab4ea4b68ea","Moscow State University of Civil Engineering, Yaroslavskoe shosse, 26, Moscow, 129337, Russian Federation","Ibragimov, A., Moscow State University of Civil Engineering, Yaroslavskoe shosse, 26, Moscow, 129337, Russian Federation; Zinoveva, E., Moscow State University of Civil Engineering, Yaroslavskoe shosse, 26, Moscow, 129337, Russian Federation; Rosinsky, S., Moscow State University of Civil Engineering, Yaroslavskoe shosse, 26, Moscow, 129337, Russian Federation; Gnedina, L., Moscow State University of Civil Engineering, Yaroslavskoe shosse, 26, Moscow, 129337, Russian Federation","In the first part of the article, prefabricated metal structures with a corrugated wall are considered. The urgency of their development, new improvements to existing beam structures and their application is substantiated. Proposed beams which made of a composite I-beam, but with a split section of individual elements. Particular attention is paid to collapsible products and the possibility of their delivery to the installation site in “unrolled” form, assembly and installation at the construction site, dismantling (if necessary) and reuse. Fastening between themselves is carried out on self-tapping screws or bolts, which allows assembly at the installation site. To increase the rigidity of the profiled sheet wall without significant changes in the geometric parameters, including the wall thickness, it will be sufficient to use additional profiled sheet layers for strengthening. This article discusses the bearing capacity of such beams. The software package ANSYS was used. The geometric model of the beam has been created. To check the functionality of the program, an initial calculation was made. The calculation of ten options of the beam has been made. The first three options consider three types of profiled sheet used as a wall of I-beam. Based on the calculation results, the second version of the profiled sheet was selected for the next four calculation options for different corrugation heights and three calculation options for different spans. The results of calculating all 10 options are summarized in a single table for ease of analysis. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.","ANSYS software package; Bearing capacity; Corrugated sheet; Corrugated wall; Displacements; Normal and shear stresses; Prefabricated steel structures; Profiled sheet; Stress–strain state","Shear stress; Software packages; Steel structures; ANSYS software package; Corrugated sheets; Corrugated wall; Corrugated web; Displacement; Installation site; Normal and shear stress; Prefabricated steel structure; Profiled sheet; Stress strain state; Bearing capacity",Conference Paper,"Final","",Scopus,2-s2.0-85119839477
"Su Y., Dai Y., Liu Y.","57252984600;7401513514;56444062200;","A hybrid parallel Harris hawks optimization algorithm for reusable launch vehicle reentry trajectory optimization with no-fly zones",2021,"Soft Computing","25","23",,"14597","14617",,3,"10.1007/s00500-021-06039-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114598383&doi=10.1007%2fs00500-021-06039-y&partnerID=40&md5=8cab7be401c9944ac0a348c2d528ae80","School of Aerospace Engineering and Applied Mechanics, Tongji University, Shanghai, 200092, China","Su, Y., School of Aerospace Engineering and Applied Mechanics, Tongji University, Shanghai, 200092, China; Dai, Y., School of Aerospace Engineering and Applied Mechanics, Tongji University, Shanghai, 200092, China; Liu, Y., School of Aerospace Engineering and Applied Mechanics, Tongji University, Shanghai, 200092, China","Reentry trajectory optimization is a critical optimal control problem for reusable launch vehicle (RLV) with highly nonlinear dynamic characteristics and complex constraints. In this paper, a hybrid parallel Harris hawks optimization (HPHHO) algorithm is proposed to address the problem. HPHHO aims to enhance the performance of existing Harris hawks optimization (HHO) algorithm by three strategies including oppositional learning, smoothing technique and parallel optimization mechanism. At the beginning of each iteration, the opposite population is calculated from the current population by the oppositional learning strategy. Following that, the individuals in the two populations are arranged in ascending order on the basis of the fitness function values, and the top half of the resulting population is selected as the initial population. The selected initial population is divided into two equal subpopulations which are assigned to the differential evolution and the HHO algorithm, respectively. The both algorithms operate in parallel to search and update the solutions of each subpopulation simultaneously. Then the solutions are smoothed for each iteration by the smoothing technique to reduce fluctuations. As a result, the optimal solution obtained by the parallel optimization mechanism avoids falling into local optima. The performance of HPHHO is evaluated by 4 CEC 2005 benchmark functions and 3 constrained continuous optimal control problems, showing better efficiency and robustness in terms of performance metrics, convergence rate and stability. Finally, the simulation results show that the proposed algorithm is very effective, practical and feasible in solving the RLV reentry trajectory optimization problem. © 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.","Hybrid parallel Harris hawks optimization; Oppositional learning; Parallel optimization mechanism; Reentry trajectory optimization; Smoothing technique","Aerodynamics; Benchmarking; Evolutionary algorithms; Launch vehicles; Optimal control systems; Optimization; Reentry; Reusability; Reusable rockets; Steel beams and girders; Trajectories; Differential Evolution; Nonlinear dynamic characteristics; Optimal control problem; Optimization algorithms; Parallel optimization; Re-usable launch vehicles (RLV); Reentry trajectory optimizations; Reusable launch vehicles; Iterative methods",Article,"Final","",Scopus,2-s2.0-85114598383
"Lam D., Yang J., Wang Y., Dai X., Sheehan T., Zhou K.","7201749620;57251405700;57203668865;36730858000;55357730300;56274217600;","New composite flooring system for the circular economy",2021,"Steel and Composite Structures","40","5",,"649","661",,1,"10.12989/scs.2021.40.5.649","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115235232&doi=10.12989%2fscs.2021.40.5.649&partnerID=40&md5=ecdb0f3bcd40c0625ce6d1b4b2333724","Department of Civil and Structural Engineering, Faculty of Engineering and Informatics, University of Bradford, Bradford, United Kingdom; Department of Mechanical, Aerospace & Civil Engineering, University of Manchester, United Kingdom","Lam, D., Department of Civil and Structural Engineering, Faculty of Engineering and Informatics, University of Bradford, Bradford, United Kingdom; Yang, J., Department of Civil and Structural Engineering, Faculty of Engineering and Informatics, University of Bradford, Bradford, United Kingdom; Wang, Y., Department of Mechanical, Aerospace & Civil Engineering, University of Manchester, United Kingdom; Dai, X., Department of Civil and Structural Engineering, Faculty of Engineering and Informatics, University of Bradford, Bradford, United Kingdom; Sheehan, T., Department of Civil and Structural Engineering, Faculty of Engineering and Informatics, University of Bradford, Bradford, United Kingdom; Zhou, K., Department of Civil and Structural Engineering, Faculty of Engineering and Informatics, University of Bradford, Bradford, United Kingdom","Circular economy is an economic system aimed at minimizing wastes and making the most of the current resources. This regenerative approach contrasts with the traditional linear economy, which has been adopted by the construction industry. Developing new construction technologies for sustainable built environment is a top priority for the construction industry throughout the world. Much of the environmental impact from the construction industry is associated with the consumption of resources and generation of waste. The construction industry in Europe consumes over 70,000 million tonnes of materials each year and generates over 250 million tonnes of waste. Composite flooring formed by connecting the concrete slabs to the supporting steel beams has been widely used for many years and is well established as one of the most efficient floor systems in multi-storey steel frame building structures. However, shear connectors are welded through the steel decking to the steel beams and cast into the concrete; this made deconstruction and reuse of these components almost impossible. A new composite flooring system which allows for the reuse of the steel beams and composite floor slabs is developed and tested to assess its potential and suitability for reuse. This paper presents the results of a series of full-scale beam tests and demonstrates the reusability of this new form of composite flooring systems. Simplified hand calculations are also provided and compared against beam tests. Copyright © 2021 Techno-Press, Ltd.","Circular economy; Composite beam tests; Demountable shear connectors; Design for deconstruction; Design to Eurocodes; Reusable composite floor system","Composite structures; Concrete slabs; Construction industry; Environmental impact; Floors; Reusability; Steel beams and girders; Built environment; Circular economy; Composite floor slabs; Composite flooring; Full scale beam tests; New constructions; Shear connector; Steel frame buildings; Industrial economics",Article,"Final","",Scopus,2-s2.0-85115235232
"Zhao Z.","57273349300;","Deepening Research on the Engineering Application of Transverse Supported Beam Method [横承式便梁法工程应用深化研究]",2021,"Journal of Railway Engineering Society","38","7",,"28","34",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115786179&partnerID=40&md5=964f41eddf2237dfb1756ffab0fec5c8","China Railway Hohhot Group Co. Ltd, Hohhot, 010010, China","Zhao, Z., China Railway Hohhot Group Co. Ltd, Hohhot, 010010, China","Research purposes: At present, the traditional D-Beam convenient method is often used to reinforce the existing railway jacking framed bridge, but it has some problems such as difficult construction of manual digging pile, high safety risk, poor geological adaptability and small overall stiffness of reinforcement system. In this paper, the technical idea of transverse-supported beam method with bored pile piers of outside railway lines and transverse bearing beam jointly supporting temporary beam is researched deeply, bored pile piers combined with steel beam supporting D beam is used for railway reinforcement, successfully completed the project of Baiyin road passing through Beijing-Baotou railway and Jining-Baotou railway, which has accumulated engineering practical experience for the application of the transverse-supported beam method. Research conclusions:(1) The transverse-supported beam method can realize rapid installation, demolition and reuse, significantly improve the stiffness and stability of the line reinforcement system, ensure the construction quality and safety, and greatly improve the operation safety during the construction period. (2) The transverse-supported beam method adopts the construction method of single line single hole integral assembly and overall transverse movement in place, the transverse bearing beam is used as the assembly platform and transverse moving track of the beam, which has simple process and low requirements for equipment. (3) The transverse-supported beam method can solve the technical problem that the overhead system supported by conventional manual hole digging pile can not be implemented in the case of complex geological conditions, high groundwater level, thick medium sand layer and easy to form quicksand during construction. (4) Referring to the technical ideas of the transverse-supported beam method, the railway reinforcement technology method of Baiyin road crossing Beijing-Baotou railway and Jining-Baotou railway overpass project has accumulated engineering practical experience for the extensive application of the transverse-supported beam method. © 2021, Editorial Department of Journal of Railway Engineering Society. All right reserved.","Baiyin road overpass project; Bored pile piers; Jacking frame bridge; Reinforcement of existing railway; Transverse-supported beam method","Construction equipment; Geology; Groundwater; Piers; Piles; Reinforcement; Roads and streets; Safety engineering; Stiffness; Baiyin road overpass project; Beam methods; Bored pile pier; Bored-pile; Existing railway; Frame bridges; Jacking frame bridge; Reinforcement of existing railway; Supported beams; Transverse-supported beam method; Railroads",Article,"Final","",Scopus,2-s2.0-85115786179
"Huang Y., Jia Y., Hou R., Huang Z., Shen K., Jin G., Hou L.","57785069600;36461346000;56260898100;55729526300;57221802049;36159519200;55621875100;","Photocatalytic degradation of unsymmetrical dimethylhydrazine on TiO2/SBA-15 under 185/254 nm vacuum-ultraviolet",2021,"RSC Advances","11","39",,"24172","24182",,6,"10.1039/d1ra03599a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111091169&doi=10.1039%2fd1ra03599a&partnerID=40&md5=1308daff15016ee7d78a81cc59ab5efb","Xi'an High Technology Institute, Xi'an, 710025, China","Huang, Y., Xi'an High Technology Institute, Xi'an, 710025, China; Jia, Y., Xi'an High Technology Institute, Xi'an, 710025, China; Hou, R., Xi'an High Technology Institute, Xi'an, 710025, China; Huang, Z., Xi'an High Technology Institute, Xi'an, 710025, China; Shen, K., Xi'an High Technology Institute, Xi'an, 710025, China; Jin, G., Xi'an High Technology Institute, Xi'an, 710025, China; Hou, L., Xi'an High Technology Institute, Xi'an, 710025, China","In this work, TiO2/SBA-15 was synthesizedviaanin situhydrothermal method and was used for vacuum-ultraviolet (VUV) photocatalytic degradation of unsymmetrical dimethylhydrazine (UDMH) for the first time. Compared with photocatalysis under UV irradiation, VUV photocatalysis exhibited higher photodegradation efficiency due to the synergetic effect of direct photolysis, indirect photooxidation and photocatalytic oxidation. The synthesized TiO2/SBA-15 catalysts exhibited ordered mesoporous structure and anatase phase TiO2. Titanium content, initial pH and substrate concentration impacted degradation efficiency of UDMH in the VUV photocatalysis process. Among the prepared catalysts, TiO2/SBA-15 with the molar ratio of Ti/Si = 1 : 3 (TS-2) showed the best photocatalytic activity under VUV light, with the rate constant of 0.02511 min−1, which is 1.91 times that with VUV/P25. The superior photocatalytic activity of TS-2 is mainly related to the good balance between the specific surface area and TiO2contents. The photodegradation efficiency decreases with the increase in the initial UDMH concentration and the maximum degradation rate was obtained at pH 9.0. In the VUV/TS-2 process, ˙OH played a more important role in the degradation of UDMH than ˙O2−and the degradation pathways contained bond breaking, amidation, isomerisation and oxidation reactions. The TS-2 also showed good reusability with the rate constant maintained at above 90% after five cycles and exhibited satisfactory degradation efficiency in tap water. © The Royal Society of Chemistry 2021.",,"Catalysts; Degradation; Efficiency; Irradiation; Molar ratio; Oxide minerals; Photocatalytic activity; Photolysis; Photooxidation; Rate constants; Reusability; Steel beams and girders; Titanium alloys; Titanium dioxide; Degradation efficiency; Ordered mesoporous structures; Photo catalytic degradation; Photocatalysis process; Photocatalytic oxidations; Photodegradation efficiency; Substrate concentrations; Unsymmetrical dimethylhydrazine; Photodegradation",Article,"Final","",Scopus,2-s2.0-85111091169
"Kim S., Kim S.-A.","57219913583;25927159900;","Design optimization of noise barrier tunnels through component reuse: Minimization of costs and CO2 emissions using multi-objective genetic algorithm",2021,"Journal of Cleaner Production","298",,"126697","","",,6,"10.1016/j.jclepro.2021.126697","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103313460&doi=10.1016%2fj.jclepro.2021.126697&partnerID=40&md5=750867ea6cf576c461895c657ef4b8b9","Department of Convergence Engineering for Future City, Sungkyunkwan University, 2066 Seobu-ro, Suwon, 16419, South Korea","Kim, S., Department of Convergence Engineering for Future City, Sungkyunkwan University, 2066 Seobu-ro, Suwon, 16419, South Korea; Kim, S.-A., Department of Convergence Engineering for Future City, Sungkyunkwan University, 2066 Seobu-ro, Suwon, 16419, South Korea","Reuse is known to be an effective method to increase the sustainability of the architecture, engineering, and construction industries, which account for a majority of CO2 emissions and waste generation. However, despite the environmental benefits involved, additional costs and increased design difficulty limit the application of reuse. This paper proposes an optimal design method that minimizes the CO2 emissions and costs of the noise barrier tunnel. In the proposed method, information on reusable steel beams from the building information modeling data of the noise barrier tunnel is extracted, and the optimization problem is defined. In addition, designs and component procurement plans aiming to minimize CO2 emissions and costs are derived using a multi-objective genetic algorithm. The results of the case study show that depending on the situation, CO2 emissions are reduced from 1% to 92% and costs are reduced by up to 25% relative to the case without reuse. As in previous studies, CO2 emission could be reduced herein through reuse, but an increase in costs was observed in some cases. This study contributes to the literature by providing optimal alternatives for designers through an optimal design method integrating strategies to overcome barriers to the practice of reuse. The case study results also highlight the need for an assessment through the entire life cycle, including the modification and inspection processes of reusable components that are generally excluded. © 2021 Elsevier Ltd","Life cycle assessment; Life cycle cost; Multi-objective optimization; Noise barrier tunnel; Reuse","Carbon dioxide; Construction industry; Genetic algorithms; Life cycle; Optimal systems; Sustainable development; Tunnels; Case-studies; CO$-2$/ emission; Component reuse; Design optimization; Multi-objectives optimization; Multiobjective genetic algorithms; Noise barrier tunnel; Noise barriers; Optimal design methods; Reuse; Multiobjective optimization",Article,"Final","",Scopus,2-s2.0-85103313460
"Hosseini S.M., Mashiri F., Mirza O.","57216369947;6603394480;24077006700;","Parametric study of innovative bolted shear connectors using 3D finite element modelling",2021,"Journal of Constructional Steel Research","179",,"106565","","",,7,"10.1016/j.jcsr.2021.106565","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100965549&doi=10.1016%2fj.jcsr.2021.106565&partnerID=40&md5=3ef37bc82705044fbfffcff0deb75543","School of Engineering, Western Sydney University, Second Ave, Kingswood, Sydney, NSW  2747, Australia","Hosseini, S.M., School of Engineering, Western Sydney University, Second Ave, Kingswood, Sydney, NSW  2747, Australia; Mashiri, F., School of Engineering, Western Sydney University, Second Ave, Kingswood, Sydney, NSW  2747, Australia; Mirza, O., School of Engineering, Western Sydney University, Second Ave, Kingswood, Sydney, NSW  2747, Australia","This paper describes an extensive numerical analysis and parametric studies conducted to evaluate the performance of shear connectors as a key component in the design of composite beams. The shear connector is essentially used to transfer shear forces across steel beams and concrete slabs in composite structures. However, conventional methods which rely mainly on the welded stud shear connector are not as efficient in terms of recycling and reusing building components. Therefore, to address the issues of deconstruction and materials reuse and to improve the structural performance of the composite beams, bolted shear connectors have been developed to replace the conventional welded stud. In order to further study their behaviour, the structural performance of the bolted shear connectors were simulated and compared with the welded studs using Abaqus software. A tridimensional numerical model was validated using previously conducted experimental tests and was used as a reference for the parametric study. Height to diameter ratio, friction coefficient of steel-concrete interface, and concrete strength were selected as the main variables for the parametric study, along with the effects of the bolt-hole clearance. The results of numerical simulation were used to develop shear stress and ductility criteria of the innovative shear connector for design rules. The results of parametric studies also showed that the load carrying capacity of composite beams using the bolted shear connectors is influenced by the bolt's height, the friction coefficient of contact surfaces and the concrete strength. © 2021","Bolted shear connector; Composite beam; Direct shear tests; Finite element modelling; Headed studs","ABAQUS; Composite beams and girders; Composite structures; Concrete beams and girders; Concrete slabs; Finite element method; Friction; Numerical models; Shear stress; Structural analysis; Studs (structural members); Welding; 3-d finite element modelling; Bolt-hole clearance; Conventional methods; Design of composites; Friction coefficients; Height-to-diameter ratio; Steel-concrete interface; Structural performance; Bolts",Article,"Final","",Scopus,2-s2.0-85100965549
"Bielak J., Will N., Becks H., Hegger J., Rempel S.","57193605292;6603797560;57289274300;7004366889;56490429300;","Rehabilitation of a 200 m long pedestrian bridge with carbon textile reinforced concrete",2021,"IABSE Congress, Ghent 2021: Structural Engineering for Future Societal Needs",,,,"101","108",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119081327&partnerID=40&md5=cd97fed293460232ef3a5febf7e2fc97","Institute of Structural Concrete, RWTH Aachen University, Aachen, Germany; University of Applied Sciences, Augsburg, Germany","Bielak, J., Institute of Structural Concrete, RWTH Aachen University, Aachen, Germany; Will, N., Institute of Structural Concrete, RWTH Aachen University, Aachen, Germany; Becks, H., Institute of Structural Concrete, RWTH Aachen University, Aachen, Germany; Hegger, J., Institute of Structural Concrete, RWTH Aachen University, Aachen, Germany; Rempel, S., University of Applied Sciences, Augsburg, Germany","The pedestrian and cyclist bridge Rheinsteg of the Rheinkraftwerk Albbruck-Dogern AG (RADAG) constructed in 1934 was on the verge of demolition due to severe corrosion damage. Replacing the defective slab with seven-centimeter thin carbon textile reinforced concrete allowed to maintain the self-weight and to reuse the existing main steel girders, bridge pillars, and foundations. This rehabilitation process globally saved time and cost compared to a new construction. As the existing steel superstructure was again connected monolithically to the new slab to maintain the same level of serviceability, full vertical cracking as well as loads from shrinkage and differential temperature caused by constraint were to be expected. The influence of vertical cracks and tension forces on shear capacity of TRC was investigated during the approval process. This paper presents the project with a focus on TRC and explains insights from the challenging construction on site. © 2021 IABSE Congress, Ghent 2021: Structural Engineering for Future Societal Needs. All rights reserved.","Bridge; Experimental investigation; Rehabilitation; Shear; Slabs; Tension; Textile reinforced concrete","Carbon; Corrosion; Footbridges; Shrinkage; Structural design; Textiles; Corrosion damage; Experimental investigations; Reuse; Self-weight; Severe corrosion; Shear; Slab; Steel girder; Tension; Textile reinforced concretes; Reinforced concrete",Conference Paper,"Final","",Scopus,2-s2.0-85119081327
"Li Q., Shao Z., Liao M.","56911198700;57218107187;8972758300;","A novel vibration-based fault detection approach of bolted engineering structures without reference",2021,"Proceedings of the ASME Turbo Expo","9B-2021",,"V09BT26A002","","",,,"10.1115/GT2021-58493","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115441440&doi=10.1115%2fGT2021-58493&partnerID=40&md5=1599ad50b6188c38589bf4e08b9c6c31","School of Power and Energy, Northwestern Polytechnical University, Xi'an, China","Li, Q., School of Power and Energy, Northwestern Polytechnical University, Xi'an, China; Shao, Z., School of Power and Energy, Northwestern Polytechnical University, Xi'an, China; Liao, M., School of Power and Energy, Northwestern Polytechnical University, Xi'an, China","Because of some advantages such as low cost, detachability and reusability, bolted joints are widely applied in various open beam-like engineering structures like steel beams and train rails and closed ring-type engineering structures like steel frames and oil pipelines to keep different structural components together. However, bolted engineering structures often encounter vibration-induced joint faults like self-loosening, crack, leakage and corrosion since they are generally subjected to external dynamic loads caused by vibration environments. Joint damages would seriously affect structures' reliability and durability, and increase maintenance costs. Therefore, fault detection of bolted engineering structures is very important and necessary. For beam-like and ring-type engineering structures with single excitation and multiple damaged bolted joints, various methods monitoring changes in nonlinear structural features have been developed. To avoid the use of structural features from benchmark structures for reference during the derivation of damage indicators, a novel vibration-based fault detection approach utilizing features from damaged structures only is proposed in this study. In the new method, the dynamic model of bolted engineering structures is simplified as a general MDOF model with nonlinear elements simulating nonlinear bolt loosening faults. By changing the value of related mass, three similar equations from the damaged structure are used to form one matrix, and then the singularity of matrix is used to detect the existence and position of faults. Results from simulations on the beam-like and ring-type models with multiple damages demonstrate that the proposed approach could be an effective tool to estimate the state of bolted engineering structures. © 2021 American Society of Mechanical Engineers (ASME). All rights reserved.","Beam-like structure; Bolted joint; Fault detection; Ring-type structure","Bolted joints; Bolts; Corrosion; Costs; Damage detection; Dynamic loads; Pipelines; Reusability; Beam-like structures; Damaged structures; Detection approach; Engineering structures; Faults detection; Low-costs; matrix; Ring-type structure; Structural feature; Type structures; Fault detection",Conference Paper,"Final","",Scopus,2-s2.0-85115441440
