Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Ghasemi F.","57302455900;","A step towards the theoretical model of dissipated and bifurcated order in the new international politics",2022,"Geopolitics Quarterly","18","65",,"327","352",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117532167&partnerID=40&md5=c4248b4862cf1105caec4c47ff5c1b2a","International Relations University of Tehran, Tehran, Iran","Ghasemi, F., International Relations University of Tehran, Tehran, Iran","Introduction There are developments that can change the world order. The transition of the international system from simple and linear to a complex and chaotic system, in the context of international multi-body systems, has brought new challenges to explain its order. International relations literature has studied order from a simple and classical perspective and the international system is perceived as a linear system, while this is a complex and chaotic. Complexity theory offers a new set of conceptual tools to help explain the global order. It constitutes a challenge to more traditional forms of theorizing in international politics and offers new ways of thinking about it. A new pattern of order is emerging, which can be conceptualized as the dissipative and bifurcated order. Methodology The most prominent methodological aspect of achieving this goal is to utilize the abductive model in theoretical inference and to utilize the complexity-chaos theory assumptions and its conceptualization in the complex international relations. The abduction methodology refers to some form of explanatory reasoning. It refers to the place of explanatory reasoning in generating hypotheses, and also in justifying them. Abduction is finding the best explanation. Chaos and complexity as two important characteristics of the international system lead to dissipative and bifurcated order as the best explanation of the new world order. Results and discussion Complexity theory offers a new set of conceptual tools to help explain the global order. It constitutes a challenge to more traditional forms of theorizing in international politics and offers new ways of thinking about it. A new pattern of order is emerging, which can be conceptualized as the dissipative and bifurcated order. This article seeks to provide a theoretical model for explaining the new order based on the element of complexity and its theories. In this regard, the author pioneers the dissipative and bifurcated order as an innovative theoretical model to the scientific community of international relations. This model is based on the ontology and epistemological foundations of complexity theory. Conclusions The article provides a new theoretical model in the framework of dissipative and bifurcated order by establishing a link between multibody and complex systems theory and international order. The model has the essential features as follows: The multibody system as main construction of new international order; Systemic pressures as the cause of bifurcation, and formation of dissipative structures and processes; Bifurcating and dissipation as the main response to systemic pressures; Feedback strategic stability and feedback strategic deadlock as a new concept to explain the balance of power and dynamic equilibrium; The layered hierarchy as one of the most important theoretical concepts to explain the new order. In this model, polarity is replaced by centrality. The order has two properties, including circularity, centrality-based and layered, nested hierarchy; The convergence of different sub-networks and their dynamics and forming a global nested network along with differentiated clusters; The dissipative and bifurcated control system as the main model of control; The equation of internal order and external disorder. This type of control system provides order by using internal capacities and creating branches in the external Oscillational equilibrium as the main route to evolution. © 2022, Iranian Association of Geopolitics. All rights reserved.","Bifurcated Balance of Power; Complexity; Dissipative and Bifurcated Order; New World Order",,Article,"Final","",Scopus,2-s2.0-85117532167
"van Bueren B.J.A., Iyer-Raniga U., Argus K., Leenders M.A.A.M.","57207963432;6506841502;57192310106;6602519421;","Closing the loopholes in circular economy definitions and assessments using ontological criteria, with a demonstration for Australia",2022,"Resources, Conservation and Recycling","186",,"106554","","",,,"10.1016/j.resconrec.2022.106554","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135693805&doi=10.1016%2fj.resconrec.2022.106554&partnerID=40&md5=c3ef4826ecc650d339b66da37f888320","Royal Melbourne Institute of Technology: RMIT University, Melbourn, Australia","van Bueren, B.J.A., Royal Melbourne Institute of Technology: RMIT University, Melbourn, Australia; Iyer-Raniga, U., Royal Melbourne Institute of Technology: RMIT University, Melbourn, Australia; Argus, K., Royal Melbourne Institute of Technology: RMIT University, Melbourn, Australia; Leenders, M.A.A.M., Royal Melbourne Institute of Technology: RMIT University, Melbourn, Australia","The burgeon concept of Circular Economy (CE) has fundamental issues hindering clarity and comprehensive assessments. This paper uses established ontological criteria to review and improve the CE definition and (assessment) frameworks. The review reveals that mainstream CE definitions and assessments are fuzzy, shift problems, oversimplified and not synchronized. This causes many loopholes that not lead towards sustainability. Therefore, an improved definition and framework is proposed, specifically for CE of XL to XS regions (scales from planetary to neighborhoods). A CE should strive towards self-sufficiency on each scale to avoid problems shifting to other regions or future society. The framework elaborates on a comprehensive systems-approach, which connects the triple bottom line across nine ecosystem processes, eight societal processes, and six economic production processes. The proposed definition and framework are demonstrated in an assessment of regional pressures and their impacts of Australia with 2020 data. The framework aims to better inform decision-makers on trade-offs between vital processes to minimize unintended problem shifting. The definition and framework have improved universal application for meaningful comparisons and optimization towards a sustainable CE in any region. © 2022 Elsevier B.V.","Assessments; Circular economy; Planetary boundaries; Problem shifting; Regional; Self-sufficiency; System boundaries","Economic and social effects; Ontology; Assessment; Australia; Circular economy; Comprehensive assessment; Neighbourhood; Planetary boundary; Problem shifting; Regional; Self-sufficiency; System boundary; Decision making; economic system; ecosystem management; self sufficiency; socioeconomic conditions; sustainability; article; Australia; economic aspect; ecosystem; neighborhood; Australia",Article,"Final","",Scopus,2-s2.0-85135693805
"Baghalzadeh Shishehgarkhaneh M., Keivani A., Moehler R.C., Jelodari N., Roshdi Laleh S.","57564441600;56902475000;55218102200;57942756100;57941454600;","Internet of Things (IoT), Building Information Modeling (BIM), and Digital Twin (DT) in Construction Industry: A Review, Bibliometric, and Network Analysis",2022,"Buildings","12","10","1503","","",,,"10.3390/buildings12101503","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140613480&doi=10.3390%2fbuildings12101503&partnerID=40&md5=c35cb99b2eb93b2e36b6c90adcac2bb6","Department of Construction Management, Tabriz Branch, Islamic Azad University, Tabriz, 5157944533, Iran; Department of Civil Engineering, Tabriz Branch, Islamic Azad University, Tabriz, 5157944533, Iran; Department of Civil Engineering, Faculty of Engineering, Monash University, Clayton, VIC  3800, Australia; Department of Computer Engineering, Tabriz Branch, Islamic Azad University, Tabriz, 5157944533, Iran; Department of Education Science, University of Tabriz, Tabriz, 5166616471, Iran","Baghalzadeh Shishehgarkhaneh, M., Department of Construction Management, Tabriz Branch, Islamic Azad University, Tabriz, 5157944533, Iran; Keivani, A., Department of Civil Engineering, Tabriz Branch, Islamic Azad University, Tabriz, 5157944533, Iran; Moehler, R.C., Department of Civil Engineering, Faculty of Engineering, Monash University, Clayton, VIC  3800, Australia; Jelodari, N., Department of Computer Engineering, Tabriz Branch, Islamic Azad University, Tabriz, 5157944533, Iran; Roshdi Laleh, S., Department of Education Science, University of Tabriz, Tabriz, 5166616471, Iran","The present study uses a bibliometric and systematic literature review (SLR) to examine the use of Building Information Modeling (BIM), the Internet of Things (IoT), and Digital Twins (DT) in the construction industry. The network visualization and other approaches based on the Web of Science (WOS) database and the patterns of research interactions were explored in 1879 academic publications using co-occurrence and co-citation investigations. Significant publications, conferences, influential authors, countries, organizations, and funding agencies have been recognized. Our study demonstrates that BIM, IoT, and DT in construction, Heritage BIM (HBIM), Smart Contracts, BIM, and Ontology, and VR and AR in BIM and DT are the main study themes. Finally, several prospective areas for future study are identified, including BIM and Metaverse technology, BIM and Artificial Intelligence (AI), Metaheuristic algorithms for optimization purposes in BIM, and the Circular Economy with BIM and IoT. © 2022 by the authors.","bibliometric; Building Information Modeling (BIM); Digital Twins (DT); Internet of Things (IoT); network analysis; systematic literature review (SLR)",,Review,"Final","",Scopus,2-s2.0-85140613480
"Santana S., Ribeiro A.","16242306000;57679902900;","Traceability Models and Traceability Systems to Accelerate the Transition to a Circular Economy: A Systematic Review",2022,"Sustainability (Switzerland)","14","9","5469","","",,1,"10.3390/su14095469","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129866499&doi=10.3390%2fsu14095469&partnerID=40&md5=4752c552fe507fa1cf14faf4dc77f482","Department of Economics, Management, Industrial Engineering and Tourism, University of Aveiro, Campus de Santiago, Aveiro, 3810-193, Portugal; Institute of Electronics and Informatics Engineering of Aveiro, University of Aveiro, Campus de Santiago, Aveiro, 3810-193, Portugal; Research Unit on Governance, Competitiveness and Public Policies, University of Aveiro, Campus de Santiago, Aveiro, 3810-193, Portugal","Santana, S., Department of Economics, Management, Industrial Engineering and Tourism, University of Aveiro, Campus de Santiago, Aveiro, 3810-193, Portugal, Institute of Electronics and Informatics Engineering of Aveiro, University of Aveiro, Campus de Santiago, Aveiro, 3810-193, Portugal, Research Unit on Governance, Competitiveness and Public Policies, University of Aveiro, Campus de Santiago, Aveiro, 3810-193, Portugal; Ribeiro, A., Department of Economics, Management, Industrial Engineering and Tourism, University of Aveiro, Campus de Santiago, Aveiro, 3810-193, Portugal, Institute of Electronics and Informatics Engineering of Aveiro, University of Aveiro, Campus de Santiago, Aveiro, 3810-193, Portugal","Research and implementation efforts and investment in the circular economy are rising sharply. With the high stakes associated with achievements in the field, an increasing emphasis on evaluation, transparency and accountability are to be expected. All require high-quality data, methodologies and tools that are able to improve results and to assess and document the implementation processes and outcomes. A challenging key issue in the implementation of a circular economy is ensuring coordination, control and transparency within a network of parties. Traceability models and systems are vital pillars of such an endeavor, but a preliminary search of the available literature revealed a rather unstable and fragmented research field and practice. The objective of this systematic review was to examine those studies discussing traceability models and traceability systems while connecting traceability capacities and outputs to implement the principles of the circular economy. The literature databases were searched on 6 January 2020, with an update for the entire year of 2020. Overall, 49 studies were included. By addressing eight specific research questions, we found that a link between traceability and the circular economy is yet to be established. Sound research and practice documentation are required to establish evidence regarding this connection, including methodologies that are able to support the design and implementation of business-and lifecycle-oriented, value-based traceability models and traceability systems, along with thorough evaluation methods and tools incorporating economic, social and environmental perspectives. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","circular economy; ontology; requirements; standard; systematic review; technology; traceability model; traceability system","accountability; design; economic analysis; investment; literature review; transparency",Review,"Final","",Scopus,2-s2.0-85129866499
"Mboli J.S., Thakker D., Mishra J.L.","57216256507;15062035000;55227598500;","An Internet of Things-enabled decision support system for circular economy business model",2022,"Software - Practice and Experience","52","3",,"772","787",,27,"10.1002/spe.2825","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082935791&doi=10.1002%2fspe.2825&partnerID=40&md5=a2026c7aabf00ada55d82cecc5490fc8","Faculty of Engineering and Informatics, University of Bradford, West Yorkshire, United Kingdom; Department of Electrical and Electronic Engineering, Faculty of Engineering, Taraba State University, Taraba, Nigeria; Leeds University Business School, University of Leeds, West Yorkshire, United Kingdom","Mboli, J.S., Faculty of Engineering and Informatics, University of Bradford, West Yorkshire, United Kingdom, Department of Electrical and Electronic Engineering, Faculty of Engineering, Taraba State University, Taraba, Nigeria; Thakker, D., Faculty of Engineering and Informatics, University of Bradford, West Yorkshire, United Kingdom; Mishra, J.L., Leeds University Business School, University of Leeds, West Yorkshire, United Kingdom","The traditional linear economy using a take-make-dispose model is resource intensive and has adverse environmental impacts. Circular economy (CE) which is regenerative and restorative by design is recommended as the business model for resource efficiency. While there is a need for businesses and organisations to switch from linear to CE, there are several challenges that needs addressing such as business models and the criticism of CE projects often being small scale. Technology can be an enabler toward scaling up CE; however, the prime challenge is to identify technologies that can allow predicting, tracking and proactively monitoring product's residual value to motivate businesses to pursue circularity decisions. In this paper, we propose an IoT-enabled decision support system (DSS) for CE business model that effectively allows tracking, monitoring, and analysing products in real time with the focus on residual value. The business model is implemented using an ontological model. This model is complemented by a semantic decision support system. The semantic ontological model, first of its kind, is evaluated for technical compliance. We applied DSS and the ontological model in a real-world use case and demonstrate viability and applicability of our approach. © 2020 John Wiley & Sons, Ltd.","circular economy; circular supply chain management; decision support systems; Industry 4.0; Internet of Things; semantic technology; zero waste","Environmental impact; Industry 4.0; Internet of things; Ontology; Semantics; Supply chain management; Waste management; Adverse environmental impacts; Business modeling; Circular economy; Decision support system (dss); Ontological modeling; Resource efficiencies; Semantic technologies; Zero waste; Decision support systems",Conference Paper,"Final","",Scopus,2-s2.0-85082935791
"Pacheco-López A., Somoza-Tornos A., Graells M., Espuña A.","57219454293;57190736981;6701703637;56866527000;","Integrated synthesis, modeling, and assessment of waste-to-resource alternatives",2022,"Computer Aided Chemical Engineering","51",,,"787","792",,,"10.1016/B978-0-323-95879-0.50132-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135332675&doi=10.1016%2fB978-0-323-95879-0.50132-6&partnerID=40&md5=16571a3f36abd83d5e5496fbf9d66ebf","Chemical Engineering Department, Universitat Politècnica de Catalunya, Escola d'Enginyeria de Barcelona Est, C/ Eduard Maristany 16, Barcelona, 08019, Spain; Renewable and Sustainable Energy Institute, University of Colorado Boulder, Boulder, CO  80303, United States","Pacheco-López, A., Chemical Engineering Department, Universitat Politècnica de Catalunya, Escola d'Enginyeria de Barcelona Est, C/ Eduard Maristany 16, Barcelona, 08019, Spain; Somoza-Tornos, A., Chemical Engineering Department, Universitat Politècnica de Catalunya, Escola d'Enginyeria de Barcelona Est, C/ Eduard Maristany 16, Barcelona, 08019, Spain, Renewable and Sustainable Energy Institute, University of Colorado Boulder, Boulder, CO  80303, United States; Graells, M., Chemical Engineering Department, Universitat Politècnica de Catalunya, Escola d'Enginyeria de Barcelona Est, C/ Eduard Maristany 16, Barcelona, 08019, Spain; Espuña, A., Chemical Engineering Department, Universitat Politècnica de Catalunya, Escola d'Enginyeria de Barcelona Est, C/ Eduard Maristany 16, Barcelona, 08019, Spain","To address the urgent need to transform the current economic paradigm towards a more circular one, this contribution proposes a framework for assisting the selection of the most promising waste-to-resource alternatives. An ontology-based approach is used to manage and centralize the knowledge across the different stages of this methodology. Feasible combinations of operations lead to processing routes connecting waste with products and the paths are assessed to pre-select the most suitable ones. Then, the network is optimized, and a set of configurations are obtained in order to maximize economic profit and minimize environmental impact. The performance of the proposed framework is illustrated through a case study for the treatment of mixed plastic waste. Results show how pyrolysis-based treatments lead to suitable options according to some specified objectives but also reveal the main drawbacks and conditions that these treatments should improve. The work also demonstrates how to efficiently assess a large number of options, and discusses how to build and improve new processing networks. © 2022 Elsevier B.V.","circular economy; integrated modeling; plastic waste; pyrolysis; sustainable development",,Book Chapter,"Final","",Scopus,2-s2.0-85135332675
"Ekman Burgman L.","57222667308;","What sewage sludge is and conflicts in Swedish circular economy policymaking",2022,"Environmental Sociology","8","3",,"292","301",,4,"10.1080/23251042.2021.2021603","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122513498&doi=10.1080%2f23251042.2021.2021603&partnerID=40&md5=66ed3913092a8f3ab1900999c2d51650","Department of Thematic Studies: Technology and Social Change, Linköping University, Linköping, Sweden","Ekman Burgman, L., Department of Thematic Studies: Technology and Social Change, Linköping University, Linköping, Sweden","Recycling nutrients from renewable sources, like sewage sludge, has been promoted as a step towards a circular economy by decreasing extraction and dependency on inorganic fertilizers. Implementation, however, is often controversial. In 2018, a Swedish governmental inquiry was commissioned to propose a complete ban on land application of sewage sludge to reduce soil pollution and increase phosphorus recovery. In 2020, the inquiry suggested two pathways, one to ban all land application, and one where agricultural land use should continuously be allowed. This paper is based on interviews with experts tied to the inquiry where they reference to sewage sludge, related objects, and future management. The inquiry’s inability to propose a coherent suggestion is analysed inspired by the concept of multiple ontology. Several ontological versions of sewage sludge emerge that unveil tensions between concepts of danger and cleanliness, pollution and naturalness, often captured in previous studies of waste. Some versions of sewage sludge conflict, which can explain the difficulty to establish an ontologically singular knowledge base for a transformation of sewage sludge from waste to resource. Though most of the experts agree that circular economy and nutrient recycling are good things, policymaking is caught in an ontological conundrum. © 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","circular economy; multiplicity; nutrient recycling; policymaking; Sewage sludge; waste to resource",,Article,"Final","",Scopus,2-s2.0-85122513498
"Heim H., Hopper C.","57218458555;57396434100;","Dress code: the digital transformation of the circular fashion supply chain",2022,"International Journal of Fashion Design, Technology and Education","15","2",,"233","244",,1,"10.1080/17543266.2021.2013956","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122247680&doi=10.1080%2f17543266.2021.2013956&partnerID=40&md5=68e6659f63eff71b6535f2491b221ddd","School of Design, Queensland University of Technology, Brisbane, Australia; Manchester Fashion Institute, Manchester Metropolitan University, Manchester, United Kingdom","Heim, H., School of Design, Queensland University of Technology, Brisbane, Australia, Manchester Fashion Institute, Manchester Metropolitan University, Manchester, United Kingdom; Hopper, C., School of Design, Queensland University of Technology, Brisbane, Australia","The overproduction and overconsumption of textile products has led to a call for systems and behavioural change towards a circular economy. Correct material flows through a circular system are difficult to achieve, but emerging technology may provide some answers. Among these technologies, blockchain, smart tags and non-fungible tokens (NFTs) are showing promising solutions. However, adopting technology gives rise to certain challenges. Observing the global trend in digital transformation, this paper investigates the adoption of blockchain and its associated technologies. Through interviews with designers and technology providers, it identifies the challenges specific to the small and medium enterprise sector. It finds a number of areas that require focus–some outside and some within the control of the business owner. These include the need for more effective communication channels between the information systems (IS) sector and fashion industry stakeholders if the digital transformation of the circular economy is to be effective. © The Textile Institute and Informa UK Ltd 2021.","Blockchain; circular economy; common data ontology; digital transformation; fashion supply chain; small and medium enterprise (SME)",,Article,"Final","",Scopus,2-s2.0-85122247680
"Raab J.","57202337234;","The unbearable circularity of easy ontology",2021,"Synthese","199","1-2",,"3527","3556",,,"10.1007/s11229-020-02946-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096806263&doi=10.1007%2fs11229-020-02946-z&partnerID=40&md5=c33beab10ec3e0e67f13f108198e4a61","University of Manchester, Manchester, M13 9PL, United Kingdom","Raab, J., University of Manchester, Manchester, M13 9PL, United Kingdom","In this paper, I argue that Amie Thomasson’s Easy Ontology rests on a vicious circularity that is highly damaging. Easy Ontology invokes the idea of application conditions that give rise to analytic entailments. Such entailments can be used to answer ontological questions easily. I argue that the application conditions for basic terms are only circularly specifiable showing that Thomasson misses her self-set goal of preventing such a circularity. Using this circularity, I go on to show that Easy Ontology as a whole collapses. © 2020, The Author(s).","Amie Thomasson; Application conditions; Circularity; Deflationary metaontology; Easy ontology",,Article,"Final","",Scopus,2-s2.0-85096806263
"Spreafico C., Spreafico M.","56099811600;57204507916;","Using text mining to retrieve information about circular economy",2021,"Computers in Industry","132",,"103525","","",,7,"10.1016/j.compind.2021.103525","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110551894&doi=10.1016%2fj.compind.2021.103525&partnerID=40&md5=63144c4a899f27eb2d7d3aed24188b09","University of Bergamo, Department of Management, Information and Production Engineering, Via Marconi 5, Dalmine, BG  24044, Italy; University of Bergamo, Department of Management, Information and Production Engineering, Via Marconi 5, Dalmine, BG  24044, Italy","Spreafico, C., University of Bergamo, Department of Management, Information and Production Engineering, Via Marconi 5, Dalmine, BG  24044, Italy; Spreafico, M., University of Bergamo, Department of Management, Information and Production Engineering, Via Marconi 5, Dalmine, BG  24044, Italy","This paper proposes a method of text mining to automatically retrieve knowledge from patents on how to recycle and reuse a waste. The main novelties are the introduction of a set of specific dependency patterns and the introduction of a partially revised TRIZ (Russian acronym for “Theory of Inventive Problem Solving”) ontology to classify the retrieved information. The proposed dependency patterns were manually extracted from a sample patents pool about waste recycling and reuse. The classification of the information is based on different classes: (1) what transformations can be carried out on the waste, (2) what technologies can be used to carry out these transformations, (3) what products can be obtained by transforming the waste, (4) what functions can be carried out by the waste, (5) with which technologies, and (6) on which entities. An automatic implementation of the proposed method, involving the manual check of the retrieved results, was tested through a case study about wood chip recycling and reuse. Compared to the dependency patterns from the literature, the proposed ones allowed to retrieve 28 % more pertinent information. This results mainly depends by better ability of the proposed patterns to better discriminate the relevant sentences from which to extract information, compared to the other patterns (i.e. + 40 %). The automatic classification of the information was also correctly performed: in almost each class, precision and recall were higher than 60 % and on average equal to 90 %. © 2021 Elsevier B.V.","Circular economy; Dependency patterns; Patents; Text mining","Patents and inventions; Recycling; Text mining; Wood products; Automatic classification; Automatic implementation; Circular economy; Different class; Extract informations; Precision and recall; Theory of inventive problem solving; Waste recycling; Classification (of information)",Article,"Final","",Scopus,2-s2.0-85110551894
