,Authors,Title,Year,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type
61,"Annappa V., Gaspar F., Mateus A., Vitorino J.",3D Printing for Construction Using Stone Sludge,2021,10.1007/978-3-030-35533-3_16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098009843&doi=10.1007%2f978-3-030-35533-3_16&partnerID=40&md5=355dd5713eebf9dea46698b0e1eddea3,"3D printing in construction is recognized by its flexibility in design, cost, and time. It is amplifying every day in terms of technology which provides new solution to several problems. The process of 3D printing with cement-based mixes does not use formwork and thus gives increased flexibility to designers, saves the cost of labor and materials and reduces waste. Printers have been used to construct structural elements and full-scale buildings. But construction has been dealing with one of the major issue, which is the waste management. Stone sludge is one of the most abundantly produced wastes in stone quarries which have been dumped in landfill with low percentage of reuse. This research paper focuses on integrating stone sludge waste from the transformation industry as raw material in the mortar, having the objective to do 3D printing in a cost-effective and affordable way. An experimental work was carried out to obtain convenient mixes to print, evaluating some physical and mechanical properties of casted samples and comparing stone sludge-based mortar with traditional mortar mixes. Mortar specimens were obtained using a robotic arm with an extrusion printing process. Six mortar types with different proportions of stone sludge and admixtures were tested in a systematic way to determine their printable properties. The outcome of the test is presented, discussing possible reasons, factors, and relations between the results obtained. The work carried out shows that it was possible to print using stone sludge with smooth and uniform surface. © 2021, Springer Nature Switzerland AG.",3D printing; Cementitious material; Stone sludge,,Book Chapter
29,"Liu R., Ren L., Wang F.",3D point cloud of single tree branches and leaves semantic segmentation based on modified pointnet network,2021,10.1088/1742-6596/2074/1/012026,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121457959&doi=10.1088%2f1742-6596%2f2074%2f1%2f012026&partnerID=40&md5=74c91e860bc07e5fd58d4664a3d455b2,"Semantic segmentation of single tree 3D point cloud is one of the key technologies in building tree model. It plays an important role in tree skeleton extraction, tree pruning, tree model reconstruction and other fields. Because the area of a single leaf is smaller than that of the whole tree, the segmentation of branches and leaves is a challenging problem. In view of the above problems, this paper first migrates PointNet to the tree branch and leaf point cloud segmentation, and proposes an automatic segmentation method based on improved PointNet. According to the difference of normal direction between leaves and branches, the point cloud information of three dimensions coordinates, color and normal vector is input into the point feature space. In data processing, increase the number of each block data, so that the network can better learn features. MLP is added to the original PointNet network to improve the ability of extracting and learning local features. In addition, in the process of feature extraction, jump connection is added to realize feature reuse and make full use of different levels of features. The original 1×1 filter of PointNet is replaced by 3×1 filter to improve the segmentation accuracy of tree point cloud. The focus loss function focal loss is introduced into the field of 3D point cloud to reduce the impact of the imbalance of point cloud samples on the results. The results show that the improved method improves the accuracy of tree branch point cloud segmentation compared with the original PointNet for branch and leaf segmentation. The segmentation accuracy of structural elements of branches and leaves is more than 88%, and MIoU is 48%. © 2021 Institute of Physics Publishing. All rights reserved.",Deep Learning; Leaves; Point Cloud; Point Cloud Segmentation; PointNet; Semantic Segmentation; Tree Branches,Data handling; Deep learning; Extraction; Forestry; Semantic Segmentation; Vector spaces; 3D point cloud; Deep learning; Leaf; Point cloud segmentation; Point-clouds; Pointnet; Semantic segmentation; Tree branches; Tree leaf; Tree modeling; Semantics,Conference Paper
83,"Bertin I., Mesnil R., Jaeger J.-M., Feraille A., Le Roy R.",A BIM-based framework and databank for reusing load-bearing structural elements,2020,10.3390/SU12083147,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084547037&doi=10.3390%2fSU12083147&partnerID=40&md5=baeed248a596eaed5814397fae95138e,"In a context of intense environmental pressure where the construction sector has the greatest impact on several indicators, the reuse of load-bearing elements is the most promising by avoiding the production of waste, preserving natural resources and reducing greenhouse gas emissions by decreasing embodied energy. This study proposes a methodology based on a chain of tools to enable structural engineers to anticipate future reuse. This methodology describes the design of reversible assemblies, the addition of complementary information in the building information modeling (BIM), reinforced traceability, and the development of a material bank. At the same time, controlling the environmental impacts of reuse is planned by carrying out a life cycle assessment (LCA) at all stages of the project. Two scenarios for reuse design are applied with the toolchain proposed. A. ""design from a stock"" scenario, which leads to 100% of elements being reused, using only elements from stock. B. ""design with a stock"" scenario, which seeks to integrate as many reused elements available in the stock as possible. The case study of a high-rise building deconstructed to rebuild a medium-rise building demonstrated that the developed toolchain allowed the inclusion of all reuse elements in a new structural calculation model. © 2020 by the authors.",Building circular economy; Building information modeling (BIM); Design for reuse; Embodied energy; Greenhouse gas emissions; Life cycle assessment (LCA); Reuse of materials; Sustainable construction,bearing capacity; building construction; database; design method; greenhouse gas; life cycle analysis; loading test; structural analysis,Article
69,"Abbiati G., Covi P., Tondini N., Bursi O.S., Stojadinović B.",A Real-Time Hybrid Fire Simulation Method Based on Dynamic Relaxation and Partitioned Time Integration,2020,10.1061/(ASCE)EM.1943-7889.0001826,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090425742&doi=10.1061%2f%28ASCE%29EM.1943-7889.0001826&partnerID=40&md5=7ae2ff16173df155f7e9e6c281bda8fb,"The use of simplified numerical substructures in hybrid fire simulation is clearly advantageous as long as the resulting simulation accuracy is sufficient. However, excluding geometrical and material nonlinearities from the numerical substructure might make a significant difference in internal force redistribution and reduce the simulation accuracy beyond acceptable levels. Also, materials at a high temperature very often exhibit time-dependent behavior, including strain-rate dependency, high-temperature creep, and stress relaxation, which prohibit the use of extended testing time scales. This standpoint motivated the development of the real-time hybrid fire simulation method presented in this paper. Dynamic relaxation is proposed to solve the static response of the hybrid numerical-experimental fire simulation. As an equivalent dynamic solution method, dynamic relaxation allows for coupling substructure equations of motion by using a partitioned time integration approach. Minimal data exchange between substructures and negligible computational overhead plus ease of reusability of verified finite-element software makes the proposed algorithm suitable for coordinating real-time hybrid fire simulations. The hybrid fire simulation of a virtual steel frame case study is reported as a validation example. © 2020 American Society of Civil Engineers.",Component-mode synthesis; Dynamic relaxation; Hybrid fire simulation; Partitioned time integration; Steel frame,Computer software reusability; Creep testing; Electronic data interchange; Equations of motion; Reusability; Strain rate; Stress relaxation; Computational overheads; Finite element software; High temperature creep; Internal force redistribution; Material non-linearity; Numerical experimental; Strain rate dependency; Time dependent behavior; Fires; algorithm; fire; simulation; software; static response; steel; strain rate; structural component,Article
286,"Ben Khalifa H., Khayati O., Ben Ghezala H.H.",A behavioral and structural components retrieval technique for software reuse,2008,10.1109/ASEA.2008.45,https://www.scopus.com/inward/record.uri?eid=2-s2.0-61649109331&doi=10.1109%2fASEA.2008.45&partnerID=40&md5=d433cab23d27c6be054526854fdacc36,"Software reuse is a crucial topic in the software community. It is considered as a promising way to improve software development productivity and quality. However, component reuse success is widely related to other activities such as the localization of components satisfying developer requirements. Current approaches for components retrieval are mostly limited to specific components (software components, source code, etc). To go beyond the limits of these approaches, we propose a structural and behavioral retrieval technique that takes in account the heterogeneity of the components repository (abstraction level, technology, domain, etc). The basic notion of our approach is to combine formal and semiformal specification used to describe component and then to make the retrieval process more efficient. © 2008 IEEE.",,Software engineering; Abstraction levels; Component reuse; Retrieval process; Semi-formal specifications; Software communities; Software components; Software development; Software reuse; Source codes; Specific components; Structural components; Computer software reusability,Conference Paper
120,"Ebad S.A., Ahmed M.",A comparison of functionality-based packaging using ga and adaptive knn clustering as two approaches to package software,2019,10.30534/ijatcse/2019/6781.42019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074532572&doi=10.30534%2fijatcse%2f2019%2f6781.42019&partnerID=40&md5=0acae4793b802dfed42f48ee5d25f9b7,"In large scale object-oriented (OO) software, package forms the essential structural component of the system. Packaging operation aims at grouping OO classes to provide well-identified functions to the rest of the software. It is meant to improve the software quality such as high maintainability and high reusability. Most of the packaging approaches are based on an optimal balance between cohesion and coupling quality attributes. In this article, we compare of two packaging approaches: functionality-based packaging relied on genetic algorithm, GA (measured with a metric named OverallPackaging) and adaptive k-nearest neighbor (A-KNN) clustering. The comparison was done in terms of cohesion and coupling at package level. Both approaches are applied on an open-source system called Trama. In term of cohesion and coupling at the package level, both approaches achieved good results compared with the original packaging of Trama. However, the A-KNN-based approach achieved better results than OverallPackaging. © 2019, World Academy of Research in Science and Engineering. All rights reserved.",Package cohesion; Package coupling; Search-based software engineering (SBSE); Software packaging,,Article
277,"da Rocha C.G., Sattler M.A.","A discussion on the reuse of building components in Brazil: An analysis of major social, economical and legal factors",2009,10.1016/j.resconrec.2009.07.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-71649091390&doi=10.1016%2fj.resconrec.2009.07.004&partnerID=40&md5=deb289405fc50fcefe190cbc7c19484b,"The construction industry is a major waste generator and consumer of natural resources. The importance of changing traditionally adopted attitudes (such as the discard of used materials components for recycling and reuse practices) in order to create a more sustainable production model is presented in the literature. The aim of this exploratory paper is to analyze major social, economical and legal factors, which can act as barriers or opportunities in the reuse of building components. The research strategy employed is a single-embedded case study. The main unit of analysis is the reuse process, investigated by the study of the demolition sector in the city of Porto Alegre (Brazil). The process is characterized; its main phases and agents are presented and described. The supply chain management (SCM) approach is used to model the reuse process. The article summarizes major factors, which influence the reuse process, pointed in the literature and compares those with the case study findings enabling the identification of some differences. The case study findings suggest that the reuse of building components is primarily supported by economical and social aspects such as the labor cost of deconstruction and demand for reused products. Although legal mechanisms may play an important role in promoting the reuse of building components, its potential was not observed in the case study. The article also provides a critical analysis of the current state of construction waste management in Porto Alegre on issues like legislation and responsibilities, considering recent changes in national regulations. Finally, the adoption of the SCM approach has showed to be useful for the analysis of ""close loop"" supply chains as it enabled the identification of additional factors that can influence the reuse process. © 2009 Elsevier B.V. All rights reserved.",Building components; Demolition; Recycling; Reuse; Supply chain,Close loop; Construction wastes; Critical analysis; Demolition sector; Labor costs; Legal factors; Legal mechanisms; Research strategy; Reuse; Reuse practices; Reuse process; Sustainable production; Unit of analysis; Waste generators; Building components; Construction industry; Cost accounting; Demolition; Employment; Laws and legislation; Recycling; Research; Social aspects; Supply chains; Wages; Waste management; Supply chain management; best management practice; building; construction industry; corporate strategy; critical analysis; demolition; numerical model; recycling; structural component; article; Brazil; building industry; building material; consumer; economic aspect; exploratory research; furniture; industrial waste; legal aspect; recycling; responsibility; social aspect; waste management; Brazil; Porto Alegre; Rio Grande do Sul; South America,Article
344,"Jensen J.E., Witzell W.E.",A fracture control program for the reusable space shuttle booster,1972,10.1016/0013-7944(72)90023-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0015489515&doi=10.1016%2f0013-7944%2872%2990023-9&partnerID=40&md5=5c322de54f703a8bf599695763924f7a,"This paper describes the preliminary results of structural design and analysis efforts, and the development of preliminary fracture control plans for the principal structural components of a large reusable space shuttle booster. Included are a description of the space shuttle system, its characteristics and requirements, selected approaches for fracture control, and proposed fracture control plans. The requirements of the NASA planned space shuttle vehicle for full reusability has increased the need for high reliability, precision, and development in the fracture control approach. For the space shuttle booster, it is essential that fracture control be applied to all critical structural components (i.e., tanks, aero, surfaces, thrust structure, etc.) and the fracture control approach to each component be based on its individual design conditions, design characteristics, and sensitivities to fatigue and flaw growth. Since the fracture control approach of pressure vessels is of most interest, the plan will concentrate on the main propellant tanks although other parts of the vehicle will be mentioned. The selected fracture control plan integrates the fracture control activities over the design, manufacturing, qualification, and operation phases of the space shuttle program. The various elements of the fracture control plan include design criteria, fracture mechanics analysis, proof testing, trade studies of safe-life and fail-safe design approaches and materials, provisions for maintenance and inspection, non-destructive evaluation, and a record of vehicle usage and discrepancies during its service life. © 1972.",,PRESSURE VESSELS - Failure; ROCKET ENGINES - Boosters; SPACE SHUTTLES,Article
2,"Su Y., Dai Y., Liu Y.",A hybrid parallel Harris hawks optimization algorithm for reusable launch vehicle reentry trajectory optimization with no-fly zones,2021,10.1007/s00500-021-06039-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114598383&doi=10.1007%2fs00500-021-06039-y&partnerID=40&md5=8cab7be401c9944ac0a348c2d528ae80,"Reentry trajectory optimization is a critical optimal control problem for reusable launch vehicle (RLV) with highly nonlinear dynamic characteristics and complex constraints. In this paper, a hybrid parallel Harris hawks optimization (HPHHO) algorithm is proposed to address the problem. HPHHO aims to enhance the performance of existing Harris hawks optimization (HHO) algorithm by three strategies including oppositional learning, smoothing technique and parallel optimization mechanism. At the beginning of each iteration, the opposite population is calculated from the current population by the oppositional learning strategy. Following that, the individuals in the two populations are arranged in ascending order on the basis of the fitness function values, and the top half of the resulting population is selected as the initial population. The selected initial population is divided into two equal subpopulations which are assigned to the differential evolution and the HHO algorithm, respectively. The both algorithms operate in parallel to search and update the solutions of each subpopulation simultaneously. Then the solutions are smoothed for each iteration by the smoothing technique to reduce fluctuations. As a result, the optimal solution obtained by the parallel optimization mechanism avoids falling into local optima. The performance of HPHHO is evaluated by 4 CEC 2005 benchmark functions and 3 constrained continuous optimal control problems, showing better efficiency and robustness in terms of performance metrics, convergence rate and stability. Finally, the simulation results show that the proposed algorithm is very effective, practical and feasible in solving the RLV reentry trajectory optimization problem. © 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",Hybrid parallel Harris hawks optimization; Oppositional learning; Parallel optimization mechanism; Reentry trajectory optimization; Smoothing technique,Aerodynamics; Benchmarking; Evolutionary algorithms; Launch vehicles; Optimal control systems; Optimization; Reentry; Reusability; Reusable rockets; Steel beams and girders; Trajectories; Differential Evolution; Nonlinear dynamic characteristics; Optimal control problem; Optimization algorithms; Parallel optimization; Re-usable launch vehicles (RLV); Reentry trajectory optimizations; Reusable launch vehicles; Iterative methods,Article
106,"Li G., Long X., Zhou M.",A new design method based on feature reusing of the non-standard cam structure for automotive panels stamping dies,2019,10.1007/s10845-017-1368-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033482801&doi=10.1007%2fs10845-017-1368-5&partnerID=40&md5=8f98b90f55fad5a81209dfba6126f222,"The cam die is one of the most complicated types of automotive panel stamping dies. It is hard to achieve parametric and automated design of the non-standard cam, which determines the quality and cost of die design. The cam design process is extremely complex and requires a great deal of professional knowledge. A new design system for non-standard cams based on the feature reuse and group assembly technology was researched and developed in this paper for automotive panel dies. Taking the advantage of the well-organized historical knowledge base and features database of non-standard cam design cases and the seamless integration with the NX platform, the system was able to generate designs of the die substructure with cam in the form of assembly, including the driver, slider, stripper, cam base, and types of standard components such as nitrogen cylinders, guide plates, stopper seats, return hooks, safety pulling plates, and other parts. Finally, an engineering example of a cam trimming die for body side outer panel verified the feasibility and validity of this system. Comparisons with different design methods demonstrate that the newly developed system shows excellent performance in the design of complex non-standard cams for automotive panels. © 2017, Springer Science+Business Media, LLC.",Feature reusing; Group assembly; Non-standard cams; NX; Stamping dies; Substructure,Cams; Dies; Knowledge based systems; Plates (structural components); Stamping; Assembly technology; Automotive panel; Feature reusing; Professional knowledge; Seamless integration; Stamping dies; Standard components; Substructure; Design,Article
