,Publication Type,Authors,Article Title,Document Type,Author Keywords,Keywords Plus,Abstract,Publication Date,Publication Year,DOI,DOI Link
127,J,"Ekman, P","'This scene is itself living': Buildings as landscapes in transatlantic human geography, 1870-1970",Article,built environment; history of geography; John Brinckerhoff (J. B.) Jackson; Friedrich Ratzel; Carl Sauer,ORIGIN; PLACE; HOUSE; LEBENSRAUM; TIME; RACE,"What do housesdoto the people who live with them? In what sense are houses themselves living things? If they live and act, how to conceive of the relationship between built and natural landscapes, and between environment and life more broadly? This article considers three moments at which human geographers have attempted to answer these questions without submitting to visions of environmental causation and constraint favoured by determinists, who dominated the discipline into the early 20th century. The article begins with the work of Carl Sauer, by 1925 the major American figure refuting environmental determinism at a theoretical level and recommending the study of housing as an articulate transcript of human action. It then looks back to the American writings of Friedrich Ratzel, one of several German scholars Sauer canonized, to illuminate a more vitalistic ontology of domestic architecture, and an urbanism, untapped by Sauer when filing his dissent. It then looks ahead to mid-century studies of vernacular architecture - by those of Sauer's students friendlier to urban life than he was, and by the critic and publisher J. B. Jackson - to assess how this inheritance informed critiques of industrial modernity in the post-war United States. The article observes certain continuities, despite manifest tensions, between 'old' and 'new' cultural geographies. It also routes a long-standing set of debates concerning the relationship of materiality to meaning - and of spatial to social form - through the case of human geography, a peculiar interstice in the broader constellation of disciplines.",JUL,2021.0,10.1177/0952695120936097,0.0
117,J,"Qi, JD; Ding, L; Lim, S",A Decision-Making Framework to Support Urban Heat Mitigation by Local Governments,Article,Urban heat mitigation strategies; Sensitive planning and design variables; Multi-objective optimisation; Urban contexts; Ontology,GREEN ROOFS; CLIMATE; ISLAND; WALLS,"Local governments have made extensive efforts to mitigate urban overheating, cool streetscapes and cities, and protect vulnerable people. However, there is uncertainty about which urban heat mitigation strategies (UHMSs) can provide better solutions for a specific urban context. There is a compelling need for local governments to automate the decision-making process and optimise the combination of UHMSs to maximise the mitigation outcomes for their cities. We develop a novel decision-making framework that incorporates artificial intelligence (AI) techniques into urban heat mitigation in the built environment to enable an automated process of decision making. The novel decision-making framework comprises: the ontology-based knowledge representation of UHMSs and their relationships with urban contexts and performance assessment to share knowledge in urban heat mitigation domain; sensitivity analysis of the environmental, social and economic performance of UHMSs to get key variables for UHMSs; and genetic algorithm-based multi-objective optimisation of UHMSs. The novel decision-making framework enables generating the context-based optimised UHMS combinations to support local governments' decision-making. The research outcomes will advance interdisciplinary knowledge about using AI techniques in the decision-making process for urban heat mitigation.",SEP,2022.0,10.1016/j.resconrec.2022.106420,0.0
207,C,"Garcia, S; Romao, L",A Design Tool for Generic Multipurpose Chair Design,Proceedings Paper,Multipurpose chairs; Ontology; Generic shape grammars; Generative design tool; User experience,SHAPE GRAMMARS,"Product classes share the same basic abstract layout, despite their great diversity. The present paper intends to (de) code the variety of types embedded in the class of multipurpose chairs. The contribution of this research is the development of a generative design tool, to be used at the conceptual chair design stage. A framework of five stages is proposed: (1) sample definition, considering chairs with a large diversity of types; (2) analysis of the syntax and semantics of the class through ontological classification; (3) development of a generic shape grammar, innovatively applied to product design; (4) implementation of a digital tool, that provides an interface to manipulate the chair components visualized in a 3D digital model; and (5) user evaluation of the program, in order to draw conclusions on the usability and usefulness of the tool and to collect inputs for further developments.",,2015.0,10.1007/978-3-662-47386-3_33,0.0
169,C,"Wei, R; Zhang, XH; Ding, LF; Ma, HM; Li, Q",A Knowledge-based Agent Prototype for Chinese Address Geocoding,Proceedings Paper,Address Geocoding; Address Validation; Knowledge Based Agent; Spatial Ontology; Inference Rules,,"Chinese address geocoding is a difficult problem to deal with due to intrinsic complexities in Chinese address systems and a lack of standards in address assignments and usages. In order to improve existing address geocoding algorithm, a spatial knowledge-based agent prototype aimed at validating address geocoding results is built to determine the spatial accuracies as well as matching confidence. A portion of human's knowledge of judging the spatial closeness of two addresses is represented via first order logic and the corresponding algorithms are implemented with the Prolog language. Preliminary tests conducted using addresses matching result in Beijing area showed that the prototype can successfully assess the spatial closeness between the matching address and the query address with 97% accuracy.",,2009.0,10.1117/12.813140,0.0
152,J,"Li, J; Hou, L; Wang, XY; Wang, J; Guo, J; Zhang, SH; Jiao, Y",A Project-based Quantification of BIM Benefits,Article,Building Information Modelling; Schedule; Resources; Costs,AUGMENTED REALITY; DESIGN; INFORMATION; MANAGEMENT; ONTOLOGY,"In the construction industry, research is being carried out to look for feasible methods and technologies to cut down project costs and waste. Building Information Modelling (BIM) is certainly currently a promising technology/method that can achieve this. The output of the construction industry has a considerable scale; however, the concentration of the industry and the level of informatization are still not high. There is still a large gap in terms of productivity between the construction industry and other industries. Due to the lack of first-hand data regarding how much of an effect can be genuinely had by BIM in real cases, it is unrealistic for construction stakeholders to take the risk of widely adopting BIM. This paper focuses on the methodological quantification (through a case study approach) of BIM's benefits in building construction resource management and real-time costs control, in contrast to traditional non-BIM technologies. Through the use of BIM technology for the dynamic querying and statistical analysis of construction schedules, engineering, resources and costs, the three implementations considered demonstrate how BIM can facilitate the comprehensive grasp of a project's implementation and progress, identify and solve the contradictions and conflicts between construction resources and costs controls, reduce project over-spends and protect the supply of resources.",AUG 22,2014.0,10.5772/58448,0.0
151,C,"Cursi, S; Simeone, D; Toldo, I",A Semantic Web Approach for Built Heritage Representation,Proceedings Paper,Built heritage; Knowledge-based model; Ontology-based systems; Building information modeling; Semantic web technologies,,"In a built heritage process, meant as a structured system of activities aimed at the investigation, preservation, and management of architectural heritage, any task accomplished by the several actors involved in it is deeply influenced by the way the knowledge is represented and shared. In the current heritage practice, knowledge representation and management have shown several limitations due to the difficulty of dealing with large amount of extremely heterogeneous data. On this basis, this research aims at extending semantic web approaches and technologies to architectural heritage knowledge management in order to provide an integrated and multidisciplinary representation of the artifact and of the knowledge necessary to support any decision or any intervention and management activity. To this purpose, an ontology-based system, representing the knowledge related to the artifact and its contexts, has been developed through the formalization of domain-specific entities and relationships between them.",,2015.0,10.1007/978-3-662-47386-3_21,0.0
146,J,"Xu, Z; Wang, JL; Zhu, HX",A Semantic-Based Methodology to Deliver Model Views of Forward Design for Prefabricated Buildings,Article,BIM; forward design; assembly model; knowledge graph; model view definition,BIM IMPLEMENTATION; DATA EXCHANGE; INTEROPERABILITY; CONSTRUCTION,"Contemporary engineering in the construction field has put forward higher requirements on the value utilization of building information models, and as the prefabricated building is the core of construction industrialization, using BIM (Building Information Model) technology to realize the forward design of prefabricated buildings and maximize the value of BIM is in urgent demand in the current construction industry. However, in the application process of forward design, there is a lack of standardized implementation guidance and mature technical support, leading to many problems such as a redundancy of model information, heterogeneity of data information, and low efficiency of transmission. Based on this, this paper proposes a model view delivery method of forward design for prefabricated buildings. Firstly, a simplified assembly model and an assembly knowledge model are designed and extended with IFC (Industry Foundation Classes), then we realize the knowledge visualization expression by combining with an ontology semantic system. For the model view of a prefabricated building domain, this paper realizes the reusable concept module by ontology IDM (Information Delivery Manual) and properties selection of knowledge graphs, and then completes the model view delivery through data mapping and IfcDoc (Ifc Documentation Generator) tool output. Finally, the implementation model of information delivery management for forward design is built with model view delivery as the central link.",AUG,2022.0,10.3390/buildings12081158,0.0
83,J,"Rezgui, Y; Meziane, F",A Web Services Implementation of a User-Centered Knowledge Management Platform for the Construction Industry,Article,information engineering; Inernet-based services; knowledge-based systems; knowledge management,,"The research described in this paper aims at specifying and developing an open model-based infrastructure and a set of tools that promote consistent knowledge management within collaborative environments in the construction sector. The specified solution emerged from a comprehensive analysis of the business and information/ knowledge management practices of four construction organizations and makes use of a construction-specific ontology for specifying adaptive mechanisms that can organize documents according to their content and interdependencies while maintaining their overall consistency. The proposed Webbased infrastructure includes services allowing the creation, capture, indexing, retrieval, and dissemination of knowledge. It also promotes the integration of thirdparty services, including proprietary and legacy tools. The Web-services model is used as the underlying middleware technology that supports the solution. The research is sponsored by the European Commission under the Framework V Programme (Information Society and Technology).",OCT-DEC,2005.0,10.4018/jiit.2005100101,0.0
204,J,"Abdelmegid, MA; O'Sullivan, M; Gonzalez, VA; Walker, CG; Poshdar, M",A case study on the use of a conceptual modeling framework for construction simulation,Article,Construction simulation; piling; conceptual modeling,DISCRETE-EVENT-SIMULATION; ONTOLOGY; SYSTEMS; MANAGEMENT; PROJECTS,"Construction simulation has been an active area of research in the last six decades. Nevertheless, there has been a gap between academia and industry in realizing the capabilities of simulation to support decision-making in construction. One of the well-recognized reasons is the difficulty of undertaking comprehensive simulation studies by construction practitioners, who usually lack sufficient knowledge and skills to adequately build simulation models. Efforts to bridge this gap have been focused on simplifying the computer coding and model implementation stages of construction simulation studies with limited research on the early stage of defining the model and abstracting the system, i.e., conceptual modeling. The conceptual modeling stage is known to be one of the most difficult tasks in a simulation study. Thus, several frameworks to support building conceptual models have been proposed in simulation literature. This study contributes to the research efforts to promote simulation in the construction industry through the adoption of a conceptual modeling framework. It demonstrates the application of the proposed conceptual modeling framework in a case study of piling operations. The findings of this paper reinforced the significance of conceptual modeling by confirming the role of the conceptual model as a communication link between stakeholders. Moreover, the conceptual model was used as a specification document for developing a flexible model that can be replicated in other settings. The use of a documented conceptual model assisted in managing the overall simulation study efficiently, which, in turn, lead to reductions in time and effort for different modeling activities.",MAY,2022.0,10.1177/00375497211056087,0.0
128,J,"Baek, S; Jung, W; Han, SH","A critical review of text-based research in construction: Data source, analysis method, and implications",Review,Construction; Review; Text-based research; Natural language processing; Text mining; Unstructured text data; Data source; Text analysis method,KNOWLEDGE MANAGEMENT; MINING TECHNIQUE; CLASSIFICATION; BIM; RETRIEVAL; ONTOLOGY; SYSTEM; SAFETY; MODEL,"The advancement of natural language processing and text mining techniques facilitate automatic non-trivial pattern extraction and knowledge discovery from text data. However, text-based research has received less attention compared to image- and sensor-based research in the construction industry. Hence, this paper performs a comprehensive review to understand the current state and future insights of text analytics focusing on the data source and analysis method. This study identifies various kinds of text data sources from project documents as well as open data in the websites. In addition, the review finds that the ontology- and rule-based approach has been dominant, at the same time, recent research has attempted to apply the state-of-the-art machine learning methods. It is envisioned that there are potential advancements in construction engineering and management based on the latest text analysis methods along with the enriched data by the digital transformation.",DEC,2021.0,10.1016/j.autcon.2021.103915,0.0
