,Name,mean
0,Color of Assembly members,2.1904761904761907
1,Collateral warranties,3.0952380952380953
2,Function (Use) of Assembly,3.380952380952381
3,Date of production (age of Assembly),3.4761904761904763
4,Geometry,3.619047619047619
5,Assembly Certification,3.6666666666666665
6,Social (e.g. historic) value,3.6666666666666665
7,Location in Building,3.6666666666666665
8,Fire resistance properties of Assembly,3.7142857142857144
9,Exposition,3.9047619047619047
10,Material value of Assembly,3.9047619047619047
11,Cost of storage,4.0
12,Cost of transport,4.0
13,Coating of Assembly members,4.0476190476190474
14,Building physics properties of assembly,4.095238095238095
15,Cost of equivalent new members in Assembly,4.095238095238095
16,Embodied CO2 / CO2 eq. Saving,4.142857142857143
17,Compliance with norms of Assembly,4.142857142857143
18,Quantity of Assemblies,4.190476190476191
19,Dimension / Complexity,4.238095238095238
20,"Cost of rework (Cleaning, remanufacturing etc.)",4.238095238095238
21,Accessibility of Assembly,4.428571428571429
22,Hierarchy - Dependance and relation to other Assemblies or Elements,4.428571428571429
23,Condition - damage due to frost,4.523809523809524
24,Condition - damage due to corrosion,4.571428571428571
25,Condition - damage due to fatigue,4.571428571428571
26,Condition - damage due to earthquake,4.666666666666667
27,"Condition - damage due to organisms (bacteria, fungi, insects)",4.761904761904762
28,Condition - damage due to fire,4.809523809523809
29,Presence of hazardous substances,4.857142857142857
