,Name,mean
0,Roof Type of building,2.3333333333333335
1,Geometry of building,2.4285714285714284
2,Number of apartments of building,2.761904761904762
3,Building footprint Area,3.142857142857143
4,Number of stories of building,3.1904761904761907
5,Location of building,3.4285714285714284
6,"Type of use of building (Office, Housing …)",3.4761904761904763
7,Period of construction of building,3.619047619047619
8,"Type of Intervention (Demolition, Refurbishement...)",3.7142857142857144
9,Surroundings and access of building,3.857142857142857
10,Type of supporting structure of building,4.0
11,Facade Type of building,4.095238095238095
12,Year of construction of building,4.142857142857143
13,"Start/ Enddate of Intervention (Demolition, Refurbishement...)",4.571428571428571
